學年別,縣市別,總計校數計,總計校數公立,總計校數私立,總計班級數計,總計班級數公立,總計班級數私立,總計學生數計,總計學生數公立,總計學生數私立,總計上學年畢業生數計,總計上學年畢業生數公立,總計上學年畢業生數私立,國小補校校數計,國小補校校數公立,國小補校校數私立,國小補校班級數計,國小補校班級數公立,國小補校班級數私立,國小補校學生數計,國小補校學生數公立,國小補校學生數私立,國小補校上學年畢業生數計,國小補校上學年畢業生數公立,國小補校上學年畢業生數私立,國中補校校數計,國中補校校數公立,國中補校校數私立,國中補校班級數計,國中補校班級數公立,國中補校班級數私立,國中補校學生數計,國中補校學生數公立,國中補校學生數私立,國中補校上學年畢業生數計,國中補校上學年畢業生數公立,國中補校上學年畢業生數私立
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,513,510,3,1349,1340,9,21573,21317,256,5332,5291,41,294,294,-,780,780,-,13320,13320,-,2957,2957,-,219,216,3,569,560,9,8253,7997,256,2375,2334,41
99學年,臺北市,28,28,-,116,116,-,2027,2027,-,524,524,-,16,16,-,75,75,-,1404,1404,-,376,376,-,12,12,-,41,41,-,623,623,-,148,148,-
99學年,高雄市,31,31,-,81,81,-,976,976,-,223,223,-,21,21,-,52,52,-,499,499,-,84,84,-,10,10,-,29,29,-,477,477,-,139,139,-
99學年,臺北縣,88,88,-,295,295,-,6136,6136,-,1400,1400,-,56,56,-,203,203,-,4105,4105,-,877,877,-,32,32,-,92,92,-,2031,2031,-,523,523,-
99學年,宜蘭縣,14,14,-,42,42,-,585,585,-,107,107,-,10,10,-,24,24,-,287,287,-,46,46,-,4,4,-,18,18,-,298,298,-,61,61,-
99學年,桃園縣,41,40,1,121,118,3,2051,1949,102,605,586,19,23,23,-,69,69,-,1300,1300,-,342,342,-,18,17,1,52,49,3,751,649,102,263,244,19
99學年,新竹縣,7,7,-,15,15,-,137,137,-,54,54,-,5,5,-,9,9,-,88,88,-,36,36,-,2,2,-,6,6,-,49,49,-,18,18,-
99學年,苗栗縣,15,15,-,26,26,-,378,378,-,84,84,-,13,13,-,22,22,-,350,350,-,74,74,-,2,2,-,4,4,-,28,28,-,10,10,-
99學年,臺中縣,37,37,-,90,90,-,1528,1528,-,331,331,-,22,22,-,51,51,-,1090,1090,-,213,213,-,15,15,-,39,39,-,438,438,-,118,118,-
99學年,彰化縣,22,22,-,43,43,-,652,652,-,273,273,-,8,8,-,12,12,-,260,260,-,105,105,-,14,14,-,31,31,-,392,392,-,168,168,-
99學年,南投縣,11,11,-,27,27,-,340,340,-,112,112,-,5,5,-,14,14,-,218,218,-,52,52,-,6,6,-,13,13,-,122,122,-,60,60,-
99學年,雲林縣,23,23,-,42,42,-,499,499,-,134,134,-,11,11,-,25,25,-,314,314,-,62,62,-,12,12,-,17,17,-,185,185,-,72,72,-
99學年,嘉義縣,10,10,-,14,14,-,217,217,-,77,77,-,6,6,-,10,10,-,158,158,-,30,30,-,4,4,-,4,4,-,59,59,-,47,47,-
99學年,臺南縣,26,25,1,58,55,3,611,530,81,125,125,-,17,17,-,34,34,-,407,407,-,73,73,-,9,8,1,24,21,3,204,123,81,52,52,-
99學年,高雄縣,36,36,-,71,71,-,1126,1126,-,263,263,-,15,15,-,33,33,-,598,598,-,92,92,-,21,21,-,38,38,-,528,528,-,171,171,-
99學年,屏東縣,34,34,-,60,60,-,950,950,-,238,238,-,18,18,-,30,30,-,544,544,-,118,118,-,16,16,-,30,30,-,406,406,-,120,120,-
99學年,臺東縣,7,7,-,8,8,-,95,95,-,7,7,-,5,5,-,5,5,-,63,63,-,-,-,-,2,2,-,3,3,-,32,32,-,7,7,-
99學年,花蓮縣,9,8,1,23,20,3,321,248,73,70,48,22,3,3,-,9,9,-,142,142,-,26,26,-,6,5,1,14,11,3,179,106,73,44,22,22
99學年,澎湖縣,9,9,-,12,12,-,183,183,-,40,40,-,6,6,-,7,7,-,127,127,-,31,31,-,3,3,-,5,5,-,56,56,-,9,9,-
99學年,基隆市,22,22,-,60,60,-,619,619,-,139,139,-,12,12,-,34,34,-,414,414,-,93,93,-,10,10,-,26,26,-,205,205,-,46,46,-
99學年,新竹市,8,8,-,13,13,-,223,223,-,35,35,-,6,6,-,9,9,-,186,186,-,20,20,-,2,2,-,4,4,-,37,37,-,15,15,-
99學年,臺中市,19,19,-,87,87,-,1400,1400,-,333,333,-,9,9,-,33,33,-,512,512,-,132,132,-,10,10,-,54,54,-,888,888,-,201,201,-
99學年,嘉義市,4,4,-,12,12,-,132,132,-,43,43,-,1,1,-,3,3,-,48,48,-,18,18,-,3,3,-,9,9,-,84,84,-,25,25,-
99學年,臺南市,12,12,-,33,33,-,387,387,-,115,115,-,6,6,-,17,17,-,206,206,-,57,57,-,6,6,-,16,16,-,181,181,-,58,58,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,524,521,3,1393,1384,9,24031,23801,230,5673,5647,26,297,297,-,805,805,-,15379,15379,-,3341,3341,-,227,224,3,588,579,9,8652,8422,230,2332,2306,26
98學年,臺北市,28,28,-,117,117,-,2147,2147,-,595,595,-,16,16,-,75,75,-,1535,1535,-,447,447,-,12,12,-,42,42,-,612,612,-,148,148,-
98學年,高雄市,32,32,-,78,78,-,1028,1028,-,331,331,-,21,21,-,48,48,-,544,544,-,155,155,-,11,11,-,30,30,-,484,484,-,176,176,-
98學年,臺北縣,89,89,-,307,307,-,6907,6907,-,1583,1583,-,57,57,-,216,216,-,4829,4829,-,1042,1042,-,32,32,-,91,91,-,2078,2078,-,541,541,-
98學年,宜蘭縣,14,14,-,45,45,-,628,628,-,122,122,-,10,10,-,25,25,-,315,315,-,59,59,-,4,4,-,20,20,-,313,313,-,63,63,-
98學年,桃園縣,41,40,1,123,120,3,2367,2280,87,508,508,-,23,23,-,72,72,-,1557,1557,-,289,289,-,18,17,1,51,48,3,810,723,87,219,219,-
98學年,新竹縣,7,7,-,18,18,-,208,208,-,70,70,-,5,5,-,12,12,-,150,150,-,51,51,-,2,2,-,6,6,-,58,58,-,19,19,-
98學年,苗栗縣,15,15,-,27,27,-,433,433,-,75,75,-,13,13,-,23,23,-,403,403,-,69,69,-,2,2,-,4,4,-,30,30,-,6,6,-
98學年,臺中縣,37,37,-,92,92,-,1724,1724,-,399,399,-,22,22,-,52,52,-,1269,1269,-,259,259,-,15,15,-,40,40,-,455,455,-,140,140,-
98學年,彰化縣,27,27,-,50,50,-,696,696,-,212,212,-,13,13,-,16,16,-,272,272,-,59,59,-,14,14,-,34,34,-,424,424,-,153,153,-
98學年,南投縣,12,12,-,32,32,-,416,416,-,91,91,-,5,5,-,16,16,-,257,257,-,60,60,-,7,7,-,16,16,-,159,159,-,31,31,-
98學年,雲林縣,24,24,-,41,41,-,605,605,-,146,146,-,11,11,-,23,23,-,386,386,-,85,85,-,13,13,-,18,18,-,219,219,-,61,61,-
98學年,嘉義縣,12,12,-,16,16,-,210,210,-,83,83,-,6,6,-,10,10,-,152,152,-,40,40,-,6,6,-,6,6,-,58,58,-,43,43,-
98學年,臺南縣,27,26,1,60,57,3,785,712,73,171,171,-,17,17,-,35,35,-,557,557,-,100,100,-,10,9,1,25,22,3,228,155,73,71,71,-
98學年,高雄縣,37,37,-,71,71,-,1240,1240,-,269,269,-,16,16,-,33,33,-,691,691,-,156,156,-,21,21,-,38,38,-,549,549,-,113,113,-
98學年,屏東縣,36,36,-,62,62,-,1057,1057,-,250,250,-,19,19,-,32,32,-,589,589,-,105,105,-,17,17,-,30,30,-,468,468,-,145,145,-
98學年,臺東縣,3,3,-,4,4,-,44,44,-,13,13,-,1,1,-,1,1,-,13,13,-,-,-,-,2,2,-,3,3,-,31,31,-,13,13,-
98學年,花蓮縣,9,8,1,25,22,3,348,278,70,153,127,26,3,3,-,12,12,-,165,165,-,95,95,-,6,5,1,13,10,3,183,113,70,58,32,26
98學年,澎湖縣,9,9,-,13,13,-,202,202,-,19,19,-,5,5,-,7,7,-,123,123,-,8,8,-,4,4,-,6,6,-,79,79,-,11,11,-
98學年,基隆市,22,22,-,62,62,-,681,681,-,139,139,-,12,12,-,33,33,-,502,502,-,84,84,-,10,10,-,29,29,-,179,179,-,55,55,-
98學年,新竹市,8,8,-,17,17,-,260,260,-,49,49,-,6,6,-,11,11,-,216,216,-,29,29,-,2,2,-,6,6,-,44,44,-,20,20,-
98學年,臺中市,19,19,-,87,87,-,1455,1455,-,236,236,-,9,9,-,33,33,-,545,545,-,78,78,-,10,10,-,54,54,-,910,910,-,158,158,-
98學年,嘉義市,4,4,-,12,12,-,146,146,-,50,50,-,1,1,-,3,3,-,63,63,-,9,9,-,3,3,-,9,9,-,83,83,-,41,41,-
98學年,臺南市,12,12,-,34,34,-,444,444,-,109,109,-,6,6,-,17,17,-,246,246,-,62,62,-,6,6,-,17,17,-,198,198,-,47,47,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,535,532,3,1436,1427,9,25451,25227,224,6082,6013,69,302,302,-,833,833,-,16313,16313,-,3406,3406,-,233,230,3,603,594,9,9138,8914,224,2676,2607,69
97學年,臺北市,28,28,-,119,119,-,2246,2246,-,572,572,-,16,16,-,75,75,-,1612,1612,-,397,397,-,12,12,-,44,44,-,634,634,-,175,175,-
97學年,高雄市,32,32,-,82,82,-,1180,1180,-,350,350,-,21,21,-,51,51,-,637,637,-,179,179,-,11,11,-,31,31,-,543,543,-,171,171,-
97學年,臺北縣,89,89,-,319,319,-,7097,7097,-,1590,1590,-,57,57,-,226,226,-,4929,4929,-,1077,1077,-,32,32,-,93,93,-,2168,2168,-,513,513,-
97學年,宜蘭縣,14,14,-,46,46,-,696,696,-,166,166,-,10,10,-,26,26,-,377,377,-,80,80,-,4,4,-,20,20,-,319,319,-,86,86,-
97學年,桃園縣,41,40,1,130,127,3,2633,2551,82,677,655,22,23,23,-,80,80,-,1770,1770,-,386,386,-,18,17,1,50,47,3,863,781,82,291,269,22
97學年,新竹縣,7,7,-,16,16,-,175,175,-,77,77,-,5,5,-,10,10,-,126,126,-,68,68,-,2,2,-,6,6,-,49,49,-,9,9,-
97學年,苗栗縣,15,15,-,27,27,-,417,417,-,63,63,-,13,13,-,23,23,-,389,389,-,48,48,-,2,2,-,4,4,-,28,28,-,15,15,-
97學年,臺中縣,37,37,-,91,91,-,1711,1711,-,336,336,-,22,22,-,52,52,-,1257,1257,-,182,182,-,15,15,-,39,39,-,454,454,-,154,154,-
97學年,彰化縣,28,28,-,54,54,-,784,784,-,221,221,-,14,14,-,19,19,-,360,360,-,54,54,-,14,14,-,35,35,-,424,424,-,167,167,-
97學年,南投縣,13,13,-,32,32,-,459,459,-,104,104,-,6,6,-,17,17,-,314,314,-,55,55,-,7,7,-,15,15,-,145,145,-,49,49,-
97學年,雲林縣,28,28,-,45,45,-,652,652,-,147,147,-,14,14,-,27,27,-,437,437,-,46,46,-,14,14,-,18,18,-,215,215,-,101,101,-
97學年,嘉義縣,13,13,-,18,18,-,262,262,-,39,39,-,6,6,-,10,10,-,167,167,-,23,23,-,7,7,-,8,8,-,95,95,-,16,16,-
97學年,臺南縣,29,28,1,64,61,3,758,697,61,212,190,22,18,18,-,37,37,-,510,510,-,90,90,-,11,10,1,27,24,3,248,187,61,122,100,22
97學年,高雄縣,38,38,-,74,74,-,1449,1449,-,330,330,-,16,16,-,34,34,-,770,770,-,123,123,-,22,22,-,40,40,-,679,679,-,207,207,-
97學年,屏東縣,38,38,-,67,67,-,1249,1249,-,260,260,-,20,20,-,34,34,-,715,715,-,135,135,-,18,18,-,33,33,-,534,534,-,125,125,-
97學年,臺東縣,2,2,-,3,3,-,33,33,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,3,3,-,33,33,-,15,15,-
97學年,花蓮縣,9,8,1,23,20,3,359,278,81,102,77,25,3,3,-,10,10,-,166,166,-,32,32,-,6,5,1,13,10,3,193,112,81,70,45,25
97學年,澎湖縣,9,9,-,12,12,-,200,200,-,24,24,-,5,5,-,6,6,-,118,118,-,3,3,-,4,4,-,6,6,-,82,82,-,21,21,-
97學年,基隆市,22,22,-,64,64,-,775,775,-,140,140,-,11,11,-,33,33,-,569,569,-,89,89,-,11,11,-,31,31,-,206,206,-,51,51,-
97學年,新竹市,8,8,-,17,17,-,242,242,-,129,129,-,6,6,-,11,11,-,190,190,-,106,106,-,2,2,-,6,6,-,52,52,-,23,23,-
97學年,臺中市,19,19,-,86,86,-,1444,1444,-,350,350,-,9,9,-,32,32,-,589,589,-,150,150,-,10,10,-,54,54,-,855,855,-,200,200,-
97學年,嘉義市,4,4,-,12,12,-,167,167,-,54,54,-,1,1,-,3,3,-,66,66,-,16,16,-,3,3,-,9,9,-,101,101,-,38,38,-
97學年,臺南市,12,12,-,35,35,-,463,463,-,124,124,-,6,6,-,17,17,-,245,245,-,67,67,-,6,6,-,18,18,-,218,218,-,57,57,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
