學年別,縣市別,國小總計計,國小總計男,國小總計女,國小國立計,國小國立男,國小國立女,國小直轄市立計,國小直轄市立男,國小直轄市立女,國小縣市立計,國小縣市立男,國小縣市立女,國小私立計,國小私立男,國小私立女,國中總計計,國中總計男,國中總計女,國中國立計,國中國立男,國中國立女,國中直轄市立計,國中直轄市立男,國中直轄市立女,國中縣市立計,國中縣市立男,國中縣市立女,國中私立計,國中私立男,國中私立女
98學年,桃園縣,28685,14964,13721,-,-,-,-,-,-,28652,14946,13706,33,18,15,30068,15693,14375,-,-,-,-,-,-,27971,14490,13481,2097,1203,894
98學年,新竹縣,6891,3644,3247,-,-,-,-,-,-,6807,3593,3214,84,51,33,7217,3690,3527,-,-,-,-,-,-,6693,3396,3297,524,294,230
98學年,苗栗縣,6806,3591,3215,-,-,-,-,-,-,6806,3591,3215,-,-,-,7594,3929,3665,155,83,72,-,-,-,6683,3390,3293,756,456,300
98學年,臺中縣,21296,10978,10318,-,-,-,-,-,-,21145,10891,10254,151,87,64,24023,12460,11563,-,-,-,-,-,-,21395,10871,10524,2628,1589,1039
98學年,彰化縣,16965,8800,8165,-,-,-,-,-,-,16965,8800,8165,-,-,-,17350,9079,8271,-,-,-,-,-,-,16594,8664,7930,756,415,341
98學年,南投縣,6755,3528,3227,-,-,-,-,-,-,6483,3366,3117,272,162,110,7420,3854,3566,-,-,-,-,-,-,6927,3561,3366,493,293,200
98學年,雲林縣,8659,4495,4164,-,-,-,-,-,-,8521,4423,4098,138,72,66,9560,4982,4578,-,-,-,-,-,-,7183,3916,3267,2377,1066,1311
98學年,嘉義縣,6256,3275,2981,-,-,-,-,-,-,6256,3275,2981,-,-,-,5682,2932,2750,-,-,-,-,-,-,5211,2677,2534,471,255,216
98學年,臺南縣,12696,6696,6000,228,120,108,-,-,-,12468,6576,5892,-,-,-,13718,7255,6463,224,121,103,-,-,-,10953,5565,5388,2541,1569,972
98學年,高雄縣,14719,7685,7034,-,-,-,-,-,-,14680,7662,7018,39,23,16,15550,8143,7407,-,-,-,-,-,-,15253,7953,7300,297,190,107
98學年,屏東縣,10805,5609,5196,119,62,57,-,-,-,10686,5547,5139,-,-,-,12080,6225,5855,-,-,-,-,-,-,11240,5789,5451,840,436,404
98學年,臺東縣,2893,1468,1425,221,103,118,-,-,-,2648,1352,1296,24,13,11,3088,1660,1428,90,67,23,-,-,-,2962,1572,1390,36,21,15
98學年,花蓮縣,4160,2170,1990,159,88,71,-,-,-,3839,1999,1840,162,83,79,4915,2505,2410,-,-,-,-,-,-,4527,2298,2229,388,207,181
98學年,澎湖縣,989,509,480,-,-,-,-,-,-,989,509,480,-,-,-,1051,548,503,-,-,-,-,-,-,1051,548,503,-,-,-
98學年,基隆市,4633,2377,2256,-,-,-,-,-,-,4467,2279,2188,166,98,68,5496,2823,2673,-,-,-,-,-,-,4815,2425,2390,681,398,283
98學年,新竹市,5574,2932,2642,463,246,217,-,-,-,4952,2613,2339,159,73,86,6122,3152,2970,210,116,94,-,-,-,5458,2776,2682,454,260,194
98學年,臺中市,15673,8202,7471,168,86,82,-,-,-,14906,7785,7121,599,331,268,16490,8477,8013,-,-,-,-,-,-,14447,7501,6946,2043,976,1067
98學年,嘉義市,4050,2088,1962,162,76,86,-,-,-,3888,2012,1876,-,-,-,4880,2446,2434,-,-,-,-,-,-,4118,2025,2093,762,421,341
98學年,臺南市,9491,5018,4473,190,96,94,-,-,-,9029,4775,4254,272,147,125,11874,5978,5896,-,-,-,-,-,-,10111,5255,4856,1763,723,1040
98學年,金門縣,638,322,316,-,-,-,-,-,-,638,322,316,-,-,-,730,382,348,-,-,-,-,-,-,730,382,348,-,-,-
98學年,連江縣,84,45,39,-,-,-,-,-,-,84,45,39,-,-,-,99,41,58,-,-,-,-,-,-,99,41,58,-,-,-
97學年,總計,314200,163633,150567,2027,1036,991,49426,25536,23890,257975,134449,123526,4772,2612,2160,316080,164226,151854,1645,845,800,48601,25367,23234,237012,122484,114528,28822,15530,13292
97學年,臺北市,31400,16248,15152,315,162,153,29452,15198,14254,-,-,-,1633,888,745,32588,17041,15547,498,236,262,29089,15288,13801,-,-,-,3001,1517,1484
97學年,高雄市,20093,10400,9693,36,21,15,19974,10338,9636,-,-,-,83,41,42,21134,10999,10135,348,176,172,19512,10079,9433,-,-,-,1274,744,530
97學年,臺北縣,50306,26172,24134,-,-,-,-,-,-,49292,25624,23668,1014,548,466,50984,26401,24583,22,13,9,-,-,-,46059,23814,22245,4903,2574,2329
97學年,宜蘭縣,6527,3417,3110,-,-,-,-,-,-,6509,3403,3106,18,14,4,6901,3534,3367,-,-,-,-,-,-,6509,3290,3219,392,244,148
97學年,桃園縣,30828,16001,14827,-,-,-,-,-,-,30797,15981,14816,31,20,11,30090,15672,14418,-,-,-,-,-,-,28200,14610,13590,1890,1062,828
97學年,新竹縣,7586,3971,3615,-,-,-,-,-,-,7514,3934,3580,72,37,35,7174,3771,3403,-,-,-,-,-,-,6713,3517,3196,461,254,207
97學年,苗栗縣,7621,3928,3693,-,-,-,-,-,-,7621,3928,3693,-,-,-,7722,4046,3676,181,85,96,-,-,-,6738,3489,3249,803,472,331
97學年,臺中縣,23393,12283,11110,-,-,-,-,-,-,23217,12188,11029,176,95,81,24068,12770,11298,-,-,-,-,-,-,21530,11229,10301,2538,1541,997
97學年,彰化縣,18415,9605,8810,-,-,-,-,-,-,18415,9605,8810,-,-,-,17342,8924,8418,-,-,-,-,-,-,16793,8591,8202,549,333,216
97學年,南投縣,7197,3694,3503,-,-,-,-,-,-,6906,3526,3380,291,168,123,7583,3974,3609,-,-,-,-,-,-,7068,3660,3408,515,314,201
97學年,雲林縣,9356,5014,4342,-,-,-,-,-,-,9203,4920,4283,153,94,59,9311,4737,4574,-,-,-,-,-,-,6984,3728,3256,2327,1009,1318
97學年,嘉義縣,6483,3375,3108,-,-,-,-,-,-,6483,3375,3108,-,-,-,5663,2970,2693,-,-,-,-,-,-,5231,2710,2521,432,260,172
97學年,臺南縣,13964,7346,6618,188,91,97,-,-,-,13776,7255,6521,-,-,-,13856,7393,6463,280,148,132,-,-,-,10993,5604,5389,2583,1641,942
97學年,高雄縣,16205,8371,7834,-,-,-,-,-,-,16156,8341,7815,49,30,19,15360,8052,7308,-,-,-,-,-,-,15054,7853,7201,306,199,107
97學年,屏東縣,12044,6325,5719,131,64,67,-,-,-,11913,6261,5652,-,-,-,11885,6151,5734,-,-,-,-,-,-,11066,5717,5349,819,434,385
97學年,臺東縣,3056,1600,1456,236,115,121,-,-,-,2820,1485,1335,-,-,-,3025,1633,1392,92,69,23,-,-,-,2892,1545,1347,41,19,22
97學年,花蓮縣,4653,2418,2235,163,81,82,-,-,-,4290,2229,2061,200,108,92,4879,2516,2363,-,-,-,-,-,-,4478,2307,2171,401,209,192
97學年,澎湖縣,1061,548,513,-,-,-,-,-,-,1061,548,513,-,-,-,1068,550,518,-,-,-,-,-,-,1068,550,518,-,-,-
97學年,基隆市,5058,2655,2403,-,-,-,-,-,-,4871,2548,2323,187,107,80,5636,2851,2785,-,-,-,-,-,-,4967,2463,2504,669,388,281
97學年,新竹市,6164,3191,2973,415,209,206,-,-,-,5598,2897,2701,151,85,66,5897,3012,2885,224,118,106,-,-,-,5205,2640,2565,468,254,214
97學年,臺中市,17054,8881,8173,172,96,76,-,-,-,16314,8472,7842,568,313,255,16638,8498,8140,-,-,-,-,-,-,14567,7484,7083,2071,1014,1057
97學年,嘉義市,4320,2195,2125,165,89,76,-,-,-,4155,2106,2049,-,-,-,4613,2325,2288,-,-,-,-,-,-,3793,1893,1900,820,432,388
97學年,臺南市,10602,5554,5048,206,108,98,-,-,-,10250,5382,4868,146,64,82,11856,5995,5861,-,-,-,-,-,-,10297,5379,4918,1559,616,943
97學年,金門縣,710,390,320,-,-,-,-,-,-,710,390,320,-,-,-,709,366,343,-,-,-,-,-,-,709,366,343,-,-,-
97學年,連江縣,104,51,53,-,-,-,-,-,-,104,51,53,-,-,-,98,45,53,-,-,-,-,-,-,98,45,53,-,-,-
96學年,總計,318661,165720,152941,2089,1077,1012,50634,26310,24324,261254,135767,125487,4684,2566,2118,317975,165381,152594,1663,864,799,48975,25488,23487,237900,123352,114548,29437,15677,13760
96學年,臺北市,32233,16777,15456,364,172,192,30239,15682,14557,-,-,-,1630,923,707,32754,16997,15757,507,243,264,29387,15353,14034,-,-,-,2860,1401,1459
96學年,高雄市,20499,10679,9820,37,16,21,20395,10628,9767,-,-,-,67,35,32,21201,11058,10143,394,206,188,19588,10135,9453,-,-,-,1219,717,502
96學年,臺北縣,51887,26721,25166,-,-,-,-,-,-,50830,26169,24661,1057,552,505,52184,27279,24905,22,9,13,-,-,-,47108,24545,22563,5054,2725,2329
96學年,宜蘭縣,6542,3467,3075,-,-,-,-,-,-,6528,3459,3069,14,8,6,6897,3566,3331,-,-,-,-,-,-,6568,3348,3220,329,218,111
96學年,桃園縣,31070,16194,14876,-,-,-,-,-,-,31046,16180,14866,24,14,10,29180,15275,13905,-,-,-,-,-,-,27336,14231,13105,1844,1044,800
96學年,新竹縣,7436,3870,3566,-,-,-,-,-,-,7375,3841,3534,61,29,32,7034,3693,3341,-,-,-,-,-,-,6539,3398,3141,495,295,200
96學年,苗栗縣,7699,4007,3692,-,-,-,-,-,-,7699,4007,3692,-,-,-,7686,4070,3616,151,83,68,-,-,-,6761,3543,3218,774,444,330
96學年,臺中縣,23525,12211,11314,-,-,-,-,-,-,23359,12111,11248,166,100,66,24820,13044,11776,-,-,-,-,-,-,22110,11382,10728,2710,1662,1048
96學年,彰化縣,18152,9522,8630,-,-,-,-,-,-,18152,9522,8630,-,-,-,17919,9445,8474,-,-,-,-,-,-,17322,9100,8222,597,345,252
96學年,南投縣,7500,3857,3643,-,-,-,-,-,-,7217,3686,3531,283,171,112,7314,3844,3470,-,-,-,-,-,-,6999,3654,3345,315,190,125
96學年,雲林縣,9198,4786,4412,-,-,-,-,-,-,9093,4727,4366,105,59,46,9204,4720,4484,-,-,-,-,-,-,6766,3650,3116,2438,1070,1368
96學年,嘉義縣,6543,3403,3140,-,-,-,-,-,-,6543,3403,3140,-,-,-,5692,2998,2694,-,-,-,-,-,-,5238,2731,2507,454,267,187
96學年,臺南縣,14076,7312,6764,164,83,81,-,-,-,13912,7229,6683,-,-,-,14134,7401,6733,290,144,146,-,-,-,11027,5545,5482,2817,1712,1105
96學年,高雄縣,16270,8501,7769,-,-,-,-,-,-,16218,8477,7741,52,24,28,15346,7973,7373,-,-,-,-,-,-,15017,7773,7244,329,200,129
96學年,屏東縣,12204,6418,5786,136,65,71,-,-,-,12068,6353,5715,-,-,-,11858,6184,5674,-,-,-,-,-,-,11061,5751,5310,797,433,364
96學年,臺東縣,3106,1543,1563,239,120,119,-,-,-,2867,1423,1444,-,-,-,3071,1591,1480,70,52,18,-,-,-,2946,1508,1438,55,31,24
96學年,花蓮縣,4732,2428,2304,163,81,82,-,-,-,4403,2263,2140,166,84,82,4871,2527,2344,-,-,-,-,-,-,4512,2361,2151,359,166,193
96學年,澎湖縣,1018,535,483,-,-,-,-,-,-,1018,535,483,-,-,-,1097,566,531,-,-,-,-,-,-,1097,566,531,-,-,-
96學年,基隆市,5520,2897,2623,-,-,-,-,-,-,5343,2801,2542,177,96,81,5760,2941,2819,-,-,-,-,-,-,5057,2547,2510,703,394,309
96學年,新竹市,6170,3215,2955,459,264,195,-,-,-,5560,2881,2679,151,70,81,5941,3076,2865,229,127,102,-,-,-,5258,2711,2547,454,238,216
96學年,臺中市,17359,9096,8263,170,91,79,-,-,-,16595,8680,7915,594,325,269,16186,8161,8025,-,-,-,-,-,-,14105,7204,6901,2081,957,1124
96學年,嘉義市,4378,2248,2130,152,80,72,-,-,-,4226,2168,2058,-,-,-,4853,2460,2393,-,-,-,-,-,-,3913,1999,1914,940,461,479
96學年,臺南市,10711,5600,5111,205,105,100,-,-,-,10369,5419,4950,137,76,61,12165,6106,6059,-,-,-,-,-,-,10352,5399,4953,1813,707,1106
96學年,金門縣,736,380,356,-,-,-,-,-,-,736,380,356,-,-,-,715,360,355,-,-,-,-,-,-,715,360,355,-,-,-
96學年,連江縣,97,53,44,-,-,-,-,-,-,97,53,44,-,-,-,93,46,47,-,-,-,-,-,-,93,46,47,-,-,-
""
