學年別,縣市別,總計,幼兒(稚)園,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學,宗教研修學院,特殊教育學校,國小補校,國中補校,高級中等進修學校,空大及大專進修學校
98學年,臺南市,1167.12,506.70,278.97,102.48,-,85.40,28.47,5.69,5.69,17.08,-,5.69,34.16,34.16,62.63,-
98學年,金門縣,303.32,125.28,125.28,32.97,-,6.59,6.59,-,6.59,-,-,-,-,-,-,-
98學年,連江縣,659.72,173.61,277.78,173.61,-,34.72,-,-,-,-,-,-,-,-,-,-
97學年,總計,223.76,88.29,73.34,20.45,-,8.87,4.31,0.41,1.24,2.82,-,0.66,8.35,6.44,6.19,2.38
97學年,臺北市,2545.99,1169.98,562.91,228.11,-,183.96,62.55,7.36,25.75,66.23,-,14.72,58.87,44.15,73.58,47.83
97學年,高雄市,2467.57,1093.80,572.94,234.39,-,130.21,65.11,6.51,13.02,39.06,-,19.53,136.73,71.62,71.62,13.02
97學年,臺北縣,406.32,173.44,102.31,31.67,-,18.03,7.80,0.49,3.41,4.87,-,0.49,27.77,15.59,14.62,5.85
97學年,宜蘭縣,91.43,26.12,35.92,11.66,-,2.80,2.33,0.47,0.47,0.93,-,0.47,4.66,1.87,2.80,0.93
97學年,桃園縣,524.18,235.06,154.80,46.68,-,18.02,5.73,0.82,1.64,7.37,-,0.82,18.84,14.74,15.56,4.10
97學年,新竹縣,170.22,73.55,58.84,19.61,-,5.60,0.70,-,0.70,0.70,-,-,3.50,1.40,4.20,1.40
97學年,苗栗縣,164.26,57.13,65.92,16.48,-,4.94,3.85,0.55,1.10,0.55,-,0.55,7.14,1.10,3.85,1.10
97學年,臺中縣,213.51,65.81,80.92,22.42,-,10.72,2.44,-,0.49,2.44,-,0.97,10.72,7.31,7.31,1.95
97學年,彰化縣,380.68,112.62,162.88,36.30,-,9.31,10.24,-,0.93,3.72,-,1.86,13.03,13.03,13.96,2.79
97學年,南投縣,78.66,25.08,36.53,7.79,-,1.95,1.46,-,-,0.49,-,-,1.46,1.70,1.70,0.49
97學年,雲林縣,278.89,83.67,122.40,25.56,-,9.30,5.42,-,0.77,1.55,-,0.77,10.85,10.85,5.42,2.32
97學年,嘉義縣,156.18,61.52,66.78,11.57,-,2.63,2.10,-,1.05,1.05,-,-,3.16,3.68,1.58,1.05
97學年,臺南縣,259.92,113.09,80.85,20.83,-,8.93,5.46,0.50,0.99,3.97,-,0.50,8.93,5.46,7.94,2.48
97學年,高雄縣,178.32,76.63,54.43,15.40,-,5.01,2.86,0.72,0.72,2.15,-,0.36,5.73,7.88,2.86,3.58
97學年,屏東縣,151.68,50.44,59.81,12.97,-,3.96,2.88,0.36,1.44,1.08,-,-,7.21,6.49,2.88,2.16
97學年,臺東縣,64.01,27.59,25.89,5.97,-,1.42,1.14,0.28,-,0.28,-,-,-,0.57,0.85,-
97學年,花蓮縣,56.39,20.52,23.12,4.97,-,1.51,1.30,-,0.65,0.43,-,0.22,0.65,1.30,1.51,0.22
97學年,澎湖縣,654.24,126.12,323.18,110.35,-,7.88,7.88,-,-,7.88,-,-,39.41,31.53,-,-
97學年,基隆市,1190.13,421.82,323.90,97.92,-,52.73,30.13,-,15.06,7.53,-,7.53,82.86,82.86,37.66,30.13
97學年,新竹市,1517.00,768.10,297.64,124.82,-,96.01,19.20,-,-,57.61,-,-,57.61,19.20,57.61,19.20
97學年,臺中市,1725.56,783.23,409.97,146.86,-,85.67,24.48,6.12,12.24,48.95,-,12.24,55.07,61.19,48.95,30.59
97學年,嘉義市,1782.57,832.98,333.19,133.28,-,133.28,99.96,16.66,16.66,16.66,-,16.66,16.66,49.98,99.96,16.66
97學年,臺南市,1167.12,506.70,278.97,102.48,-,85.40,28.47,5.69,5.69,17.08,-,5.69,34.16,34.16,62.63,-
97學年,金門縣,303.32,125.28,125.28,32.97,-,6.59,6.59,-,6.59,-,-,-,-,-,-,-
97學年,連江縣,659.72,173.61,277.78,173.61,-,34.72,-,-,-,-,-,-,-,-,-,-
""
