學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
104學年,臺北市,39235,22198,17037,13491,7718,5773,12408,6980,5428,12708,7150,5558,511,256,255,117,94,23,12948,6957,5991,426,137,289,154,53,101,138,41,97,134,43,91,-,-,-,-,-,-,125,38,87,14828,10242,4586,4686,3344,1342,4784,3293,1491,4839,3343,1496,511,256,255,8,6,2,4806,3253,1553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23981,11819,12162,8651,4321,4330,7486,3646,3840,7735,3764,3971,-,-,-,109,88,21,8017,3666,4351
104學年,桃園市,36060,19601,16459,12868,7042,5826,11889,6554,5335,11285,5991,5294,-,-,-,18,14,4,11592,5931,5661,5850,3361,2489,1933,1120,813,1949,1158,791,1961,1076,885,-,-,-,7,7,-,1907,1024,883,1126,438,688,376,140,236,368,148,220,382,150,232,-,-,-,-,-,-,367,130,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29084,15802,13282,10559,5782,4777,9572,5248,4324,8942,4765,4177,-,-,-,11,7,4,9318,4777,4541
104學年,臺中市,54951,30123,24828,19182,10596,8586,18107,9823,8284,17545,9597,7948,-,-,-,117,107,10,18090,9485,8605,14176,9074,5102,4595,2965,1630,4632,2997,1635,4929,3093,1836,-,-,-,20,19,1,4895,3053,1842,221,81,140,73,25,48,71,26,45,77,30,47,-,-,-,-,-,-,70,26,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40554,20968,19586,14514,7606,6908,13404,6800,6604,12539,6474,6065,-,-,-,97,88,9,13125,6406,6719
104學年,臺南市,24022,13943,10079,8339,4868,3471,7574,4345,3229,8098,4722,3376,-,-,-,11,8,3,8794,4982,3812,11552,7188,4364,3799,2437,1362,3757,2348,1409,3985,2395,1590,-,-,-,11,8,3,3751,2297,1454,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12470,6755,5715,4540,2431,2109,3817,1997,1820,4113,2327,1786,-,-,-,-,-,-,5043,2685,2358
104學年,高雄市,39574,22778,16796,14387,8468,5919,12483,7098,5385,12668,7181,5487,-,-,-,36,31,5,13411,7420,5991,5400,3186,2214,1792,1082,710,1740,1040,700,1836,1036,800,-,-,-,32,28,4,1749,936,813,8809,5353,3456,3142,1949,1193,2884,1760,1124,2781,1642,1139,-,-,-,2,2,-,2582,1462,1120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25365,14239,11126,9453,5437,4016,7859,4298,3561,8051,4503,3548,-,-,-,2,1,1,9080,5022,4058
104學年,宜蘭縣,4899,3180,1719,1666,1095,571,1593,1023,570,1639,1061,578,-,-,-,1,1,-,1651,1019,632,4899,3180,1719,1666,1095,571,1593,1023,570,1639,1061,578,-,-,-,1,1,-,1651,1019,632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,5487,3357,2130,2029,1251,778,1740,1078,662,1705,1020,685,-,-,-,13,8,5,1788,1047,741,791,407,384,263,131,132,263,136,127,265,140,125,-,-,-,-,-,-,253,124,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,82,143,76,30,46,73,28,45,73,23,50,-,-,-,3,1,2,74,32,42,4471,2868,1603,1690,1090,600,1404,914,490,1367,857,510,-,-,-,10,7,3,1461,891,570
104學年,苗栗縣,8086,4674,3412,2773,1629,1144,2599,1531,1068,2703,1505,1198,-,-,-,11,9,2,2901,1551,1350,4771,2657,2114,1567,893,674,1557,884,673,1636,871,765,-,-,-,11,9,2,1553,772,781,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,16,22,38,16,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3277,2001,1276,1168,720,448,1042,647,395,1067,634,433,-,-,-,-,-,-,1348,779,569
104學年,彰化縣,19919,11173,8746,6788,3873,2915,6473,3578,2895,6639,3703,2936,-,-,-,19,19,-,7326,4047,3279,11420,6595,4825,3729,2180,1549,3808,2195,1613,3864,2201,1663,-,-,-,19,19,-,3867,2203,1664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8499,4578,3921,3059,1693,1366,2665,1383,1282,2775,1502,1273,-,-,-,-,-,-,3459,1844,1615
104學年,南投縣,8411,4504,3907,2991,1584,1407,2662,1443,1219,2740,1464,1276,-,-,-,18,13,5,2560,1252,1308,6190,3329,2861,2123,1122,1001,1958,1069,889,2091,1125,966,-,-,-,18,13,5,1813,888,925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2221,1175,1046,868,462,406,704,374,330,649,339,310,-,-,-,-,-,-,747,364,383
104學年,雲林縣,9430,5680,3750,3307,2016,1291,3082,1864,1218,3031,1791,1240,-,-,-,10,9,1,3159,1885,1274,5124,3066,2058,1640,965,675,1706,1038,668,1768,1054,714,-,-,-,10,9,1,1682,1014,668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4306,2614,1692,1667,1051,616,1376,826,550,1263,737,526,-,-,-,-,-,-,1477,871,606
104學年,嘉義縣,5244,3540,1704,1820,1227,593,1572,1033,539,1852,1280,572,-,-,-,-,-,-,1853,1210,643,1772,1501,271,595,494,101,579,491,88,598,516,82,-,-,-,-,-,-,627,529,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3472,2039,1433,1225,733,492,993,542,451,1254,764,490,-,-,-,-,-,-,1226,681,545
104學年,屏東縣,10010,6519,3491,3648,2416,1232,3176,2079,1097,3165,2003,1162,-,-,-,21,21,-,3261,2012,1249,5375,3812,1563,1877,1313,564,1756,1272,484,1721,1206,515,-,-,-,21,21,-,1601,1118,483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4635,2707,1928,1771,1103,668,1420,807,613,1444,797,647,-,-,-,-,-,-,1660,894,766
104學年,臺東縣,2349,1590,759,925,641,284,773,500,273,644,443,201,-,-,-,7,6,1,480,339,141,1312,819,493,559,344,215,420,258,162,328,213,115,-,-,-,5,4,1,215,141,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1037,771,266,366,297,69,353,242,111,316,230,86,-,-,-,2,2,-,265,198,67
104學年,花蓮縣,4184,2558,1626,1458,885,573,1403,866,537,1306,790,516,-,-,-,17,17,-,1264,743,521,3707,2240,1467,1316,788,528,1213,742,471,1161,693,468,-,-,-,17,17,-,1050,591,459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477,318,159,142,97,45,190,124,66,145,97,48,-,-,-,-,-,-,214,152,62
104學年,澎湖縣,1651,966,685,581,357,224,532,310,222,524,287,237,-,-,-,14,12,2,530,265,265,1651,966,685,581,357,224,532,310,222,524,287,237,-,-,-,14,12,2,530,265,265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,6555,3675,2880,2375,1326,1049,2144,1219,925,2030,1125,905,-,-,-,6,5,1,2084,1053,1031,2497,1419,1078,782,454,328,857,503,354,858,462,396,-,-,-,-,-,-,900,415,485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4058,2256,1802,1593,872,721,1287,716,571,1172,663,509,-,-,-,6,5,1,1184,638,546
104學年,新竹市,5764,3267,2497,2028,1160,868,1910,1095,815,1824,1010,814,-,-,-,2,2,-,1933,997,936,1757,1028,729,586,353,233,584,344,240,587,331,256,-,-,-,-,-,-,585,293,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368,163,205,124,58,66,124,54,70,120,51,69,-,-,-,-,-,-,111,40,71,3639,2076,1563,1318,749,569,1202,697,505,1117,628,489,-,-,-,2,2,-,1237,664,573
104學年,嘉義市,9204,4076,5128,3294,1508,1786,2856,1262,1594,3047,1299,1748,-,-,-,7,7,-,3123,1319,1804,4969,2118,2851,1672,767,905,1560,656,904,1730,688,1042,-,-,-,7,7,-,1696,662,1034,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4235,1958,2277,1622,741,881,1296,606,690,1317,611,706,-,-,-,-,-,-,1427,657,770
104學年,金門縣,961,577,384,347,205,142,325,202,123,287,168,119,-,-,-,2,2,-,290,173,117,961,577,384,347,205,142,325,202,123,287,168,119,-,-,-,2,2,-,290,173,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,345937,194292,151645,115597,66110,49487,112228,63127,49101,116849,64282,52567,776,374,402,487,399,88,113779,61649,52130,96778,57356,39422,32205,19647,12558,32423,19015,13408,32004,18574,13430,-,-,-,146,120,26,30637,17529,13108,35325,23256,12069,11872,7967,3905,11347,7441,3906,11453,7492,3961,601,308,293,52,48,4,10631,6793,3838,1752,692,1060,591,248,343,587,229,358,574,215,359,-,-,-,-,-,-,341,122,219,212082,112988,99094,70929,38248,32681,67871,36442,31429,72818,38001,34817,175,66,109,289,231,58,72170,37205,34965
103學年,新北市,42428,23548,18880,14334,8096,6238,13816,7628,6188,14062,7722,6340,175,66,109,41,36,5,13862,7392,6470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10843,7289,3554,3806,2641,1165,3543,2345,1198,3465,2277,1188,-,-,-,29,26,3,3139,1958,1181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31585,16259,15326,10528,5455,5073,10273,5283,4990,10597,5445,5152,175,66,109,12,10,2,10723,5434,5289
103學年,臺北市,40964,23098,17866,13378,7678,5700,13142,7416,5726,13710,7588,6122,601,308,293,133,108,25,14405,7570,6835,400,122,278,136,40,96,135,43,92,123,35,88,-,-,-,6,4,2,151,42,109,15786,10845,4941,5012,3476,1536,4911,3398,1513,5240,3642,1598,601,308,293,22,21,1,4934,3333,1601,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24778,12131,12647,8230,4162,4068,8096,3975,4121,8347,3911,4436,-,-,-,105,83,22,9320,4195,5125
103學年,臺中市,55661,30293,25368,19010,10446,8564,17916,9840,8076,18587,9881,8706,-,-,-,148,126,22,17784,9307,8477,14744,9376,5368,4758,3095,1663,4977,3126,1851,4995,3141,1854,-,-,-,14,14,-,4751,2941,1810,230,87,143,78,28,50,77,30,47,75,29,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40687,20830,19857,14174,7323,6851,12862,6684,6178,13517,6711,6806,-,-,-,134,112,22,13033,6366,6667
103學年,臺南市,25208,14565,10643,7953,4596,3357,8290,4852,3438,8949,5103,3846,-,-,-,16,14,2,8676,4888,3788,11753,7250,4503,3885,2443,1442,4026,2430,1596,3827,2363,1464,-,-,-,15,14,1,3842,2306,1536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13455,7315,6140,4068,2153,1915,4264,2422,1842,5122,2740,2382,-,-,-,1,-,1,4834,2582,2252
103學年,高雄市,40543,23018,17525,13446,7759,5687,13154,7471,5683,13937,7782,6155,-,-,-,6,6,-,13429,7527,5902,5504,3149,2355,1795,1085,710,1858,1050,808,1848,1011,837,-,-,-,3,3,-,1763,963,800,8466,5035,3431,2976,1822,1154,2816,1668,1148,2673,1544,1129,-,-,-,1,1,-,2558,1502,1056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26573,14834,11739,8675,4852,3823,8480,4753,3727,9416,5227,4189,-,-,-,2,2,-,9108,5062,4046
103學年,宜蘭縣,5178,3337,1841,1764,1161,603,1686,1100,586,1726,1074,652,-,-,-,2,2,-,1624,1000,624,5178,3337,1841,1764,1161,603,1686,1100,586,1726,1074,652,-,-,-,2,2,-,1624,1000,624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,36262,19488,16774,12583,7024,5559,11717,6263,5454,11950,6196,5754,-,-,-,12,5,7,11172,5813,5359,6056,3435,2621,2021,1197,824,2004,1110,894,2031,1128,903,-,-,-,-,-,-,1934,1008,926,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1162,456,706,388,162,226,389,152,237,385,142,243,-,-,-,-,-,-,155,47,108,29044,15597,13447,10174,5665,4509,9324,5001,4323,9534,4926,4608,-,-,-,12,5,7,9083,4758,4325
103學年,新竹縣,5488,3328,2160,1858,1159,699,1773,1067,706,1844,1090,754,-,-,-,13,12,1,1664,976,688,794,411,383,273,144,129,266,141,125,255,126,129,-,-,-,-,-,-,240,125,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228,87,141,74,29,45,76,25,51,78,33,45,-,-,-,-,-,-,67,32,35,4466,2830,1636,1511,986,525,1431,901,530,1511,931,580,-,-,-,13,12,1,1357,819,538
103學年,苗栗縣,8527,4826,3701,2696,1602,1094,2788,1557,1231,3025,1651,1374,-,-,-,18,16,2,2858,1544,1314,4889,2633,2256,1607,912,695,1654,886,768,1610,819,791,-,-,-,18,16,2,1425,753,672,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3638,2193,1445,1089,690,399,1134,671,463,1415,832,583,-,-,-,-,-,-,1433,791,642
103學年,彰化縣,21074,11764,9310,6778,3779,2999,6783,3794,2989,7497,4176,3321,-,-,-,16,15,1,7536,4192,3344,11776,6776,5000,3896,2252,1644,3895,2221,1674,3969,2288,1681,-,-,-,16,15,1,3902,2217,1685,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9298,4988,4310,2882,1527,1355,2888,1573,1315,3528,1888,1640,-,-,-,-,-,-,3634,1975,1659
103學年,南投縣,8307,4381,3926,2776,1512,1264,2815,1505,1310,2703,1355,1348,-,-,-,13,9,4,2544,1259,1285,6037,3202,2835,2009,1115,894,2120,1135,985,1895,943,952,-,-,-,13,9,4,1847,917,930,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2270,1179,1091,767,397,370,695,370,325,808,412,396,-,-,-,-,-,-,697,342,355
103學年,雲林縣,9642,5803,3839,3253,1998,1255,3145,1872,1273,3242,1932,1310,-,-,-,2,1,1,3374,2011,1363,5287,3206,2081,1762,1078,684,1788,1066,722,1735,1061,674,-,-,-,2,1,1,1778,1054,724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4355,2597,1758,1491,920,571,1357,806,551,1507,871,636,-,-,-,-,-,-,1596,957,639
103學年,嘉義縣,5508,3701,1807,1674,1107,567,1900,1315,585,1934,1279,655,-,-,-,-,-,-,1726,1194,532,1829,1558,271,588,497,91,604,522,82,637,539,98,-,-,-,-,-,-,612,518,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3679,2143,1536,1086,610,476,1296,793,503,1297,740,557,-,-,-,-,-,-,1114,676,438
103學年,屏東縣,10133,6504,3629,3396,2237,1159,3265,2075,1190,3451,2173,1278,-,-,-,21,19,2,3230,2022,1208,5346,3828,1518,1844,1342,502,1746,1226,520,1735,1241,494,-,-,-,21,19,2,1566,1104,462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4787,2676,2111,1552,895,657,1519,849,670,1716,932,784,-,-,-,-,-,-,1664,918,746
103學年,臺東縣,2172,1472,700,898,583,315,699,486,213,563,393,170,-,-,-,12,10,2,419,279,140,1156,748,408,507,319,188,369,246,123,272,176,96,-,-,-,8,7,1,189,130,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1016,724,292,391,264,127,330,240,90,291,217,74,-,-,-,4,3,1,230,149,81
103學年,花蓮縣,4364,2676,1688,1554,970,584,1421,874,547,1388,831,557,-,-,-,1,1,-,1323,748,575,3685,2209,1476,1317,810,507,1224,737,487,1143,661,482,-,-,-,1,1,-,1118,610,508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679,467,212,237,160,77,197,137,60,245,170,75,-,-,-,-,-,-,205,138,67
103學年,澎湖縣,1732,975,757,557,332,225,547,301,246,612,337,275,-,-,-,16,5,11,437,233,204,1732,975,757,557,332,225,547,301,246,612,337,275,-,-,-,16,5,11,437,233,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,6614,3651,2963,2302,1333,969,2092,1165,927,2217,1151,1066,-,-,-,3,2,1,2422,1180,1242,2772,1482,1290,923,549,374,885,475,410,964,458,506,-,-,-,-,-,-,911,437,474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3842,2169,1673,1379,784,595,1207,690,517,1253,693,560,-,-,-,3,2,1,1511,743,768
103學年,新竹市,5888,3237,2651,2032,1162,870,1864,1036,828,1989,1037,952,-,-,-,3,2,1,1865,954,911,1778,983,795,596,352,244,590,332,258,592,299,293,-,-,-,-,-,-,568,310,258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,149,213,129,57,72,122,52,70,111,40,71,-,-,-,-,-,-,119,43,76,3748,2105,1643,1307,753,554,1152,652,500,1286,698,588,-,-,-,3,2,1,1178,601,577
103學年,嘉義市,9278,4031,5247,3012,1357,1655,3112,1333,1779,3145,1333,1812,-,-,-,9,8,1,3110,1389,1721,5096,2080,3016,1624,705,919,1746,691,1055,1717,676,1041,-,-,-,9,8,1,1660,690,970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4182,1951,2231,1388,652,736,1366,642,724,1428,657,771,-,-,-,-,-,-,1450,699,751
103學年,金門縣,966,596,370,343,219,124,303,177,126,318,198,120,-,-,-,2,2,-,319,171,148,966,596,370,343,219,124,303,177,126,318,198,120,-,-,-,2,2,-,319,171,148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,360206,201077,159129,120404,68687,51717,120972,67101,53871,117605,64537,53068,801,408,393,424,344,80,111933,60618,51315,98252,57578,40674,33846,20042,13804,32705,19120,13585,31587,18318,13269,-,-,-,114,98,16,30309,17157,13152,35647,23347,12300,11759,7747,4012,11795,7774,4021,11419,7443,3976,628,341,287,46,42,4,10937,6970,3967,1548,595,953,618,246,372,586,225,361,344,124,220,-,-,-,-,-,-,72,36,36,224759,119557,105202,74181,40652,33529,75886,39982,35904,74255,38652,35603,173,67,106,264,204,60,70615,36455,34160
102學年,新北市,44726,24699,20027,15156,8496,6660,14755,8157,6598,14570,7918,6652,173,67,106,72,61,11,13721,7304,6417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10722,7030,3692,3680,2439,1241,3557,2351,1206,3447,2205,1242,-,-,-,38,35,3,3199,1957,1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34004,17669,16335,11476,6057,5419,11198,5806,5392,11123,5713,5410,173,67,106,34,26,8,10522,5347,5175
102學年,臺北市,44166,24606,19560,14091,8104,5987,14300,8003,6297,15031,8068,6963,628,341,287,116,90,26,14031,7458,6573,420,127,293,140,45,95,124,35,89,150,42,108,-,-,-,6,5,1,173,55,118,16497,11387,5110,5114,3567,1547,5433,3806,1627,5314,3666,1648,628,341,287,8,7,1,5131,3480,1651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27249,13092,14157,8837,4492,4345,8743,4162,4581,9567,4360,5207,-,-,-,102,78,24,8727,3923,4804
102學年,臺中市,56207,30351,25856,18935,10493,8442,19010,10166,8844,18154,9605,8549,-,-,-,108,87,21,16936,8801,8135,14972,9399,5573,5087,3195,1892,5058,3193,1865,4817,3001,1816,-,-,-,10,10,-,4769,2941,1828,155,60,95,80,31,49,75,29,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41080,20892,20188,13768,7267,6501,13877,6944,6933,13337,6604,6733,-,-,-,98,77,21,12167,5860,6307
102學年,臺南市,26718,15401,11317,8700,5113,3587,9157,5256,3901,8852,5023,3829,-,-,-,9,9,-,8182,4623,3559,11951,7294,4657,4153,2511,1642,3880,2410,1470,3911,2366,1545,-,-,-,7,7,-,3585,2120,1465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14767,8107,6660,4547,2602,1945,5277,2846,2431,4941,2657,2284,-,-,-,2,2,-,4597,2503,2094
102學年,高雄市,42723,24247,18476,14325,8239,6086,14491,8147,6344,13888,7848,6040,-,-,-,19,13,6,13705,7602,6103,5677,3190,2487,1961,1129,832,1874,1033,841,1839,1026,813,-,-,-,3,2,1,1759,967,792,8273,4870,3403,2885,1710,1175,2730,1588,1142,2658,1572,1086,-,-,-,-,-,-,2607,1533,1074,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28773,16187,12586,9479,5400,4079,9887,5526,4361,9391,5250,4141,-,-,-,16,11,5,9339,5102,4237
102學年,宜蘭縣,5356,3440,1916,1876,1253,623,1784,1128,656,1695,1058,637,-,-,-,1,1,-,1648,1000,648,5356,3440,1916,1876,1253,623,1784,1128,656,1695,1058,637,-,-,-,1,1,-,1648,1000,648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,桃園縣,36175,19227,16948,12426,6770,5656,12342,6466,5876,11406,5991,5415,-,-,-,1,-,1,10842,5774,5068,6184,3422,2762,2078,1160,918,2085,1174,911,2021,1088,933,-,-,-,-,-,-,1917,1015,902,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,963,362,601,413,165,248,392,148,244,158,49,109,-,-,-,-,-,-,-,-,-,29028,15443,13585,9935,5445,4490,9865,5144,4721,9227,4854,4373,-,-,-,1,-,1,8925,4759,4166
