學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,副學士(五專)計小計,副學士(五專)計男,副學士(五專)計女,副學士(五專)國立小計,副學士(五專)國立男,副學士(五專)國立女,副學士(五專)直轄市立小計,副學士(五專)直轄市立男,副學士(五專)直轄市立女,副學士(五專)私立小計,副學士(五專)私立男,副學士(五專)私立女,副學士(二專)計小計,副學士(二專)計男,副學士(二專)計女,副學士(二專)國立小計,副學士(二專)國立男,副學士(二專)國立女,副學士(二專)直轄市立小計,副學士(二專)直轄市立男,副學士(二專)直轄市立女,副學士(二專)私立小計,副學士(二專)私立男,副學士(二專)私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女
102學年,臺南市,31534,15091,16443,8150,4616,3534,-,-,-,23384,10475,12909,1334,143,1191,293,7,286,-,-,-,1041,136,905,251,89,162,83,9,74,-,-,-,168,80,88,24307,11422,12885,3755,2119,1636,-,-,-,20552,9303,11249,5243,3149,2094,3629,2202,1427,-,-,-,1614,947,667,399,288,111,390,279,111,-,-,-,9,9,-
102學年,高雄市,34089,16846,17243,14183,7784,6399,-,-,-,19906,9062,10844,2388,397,1991,112,65,47,-,-,-,2276,332,1944,512,273,239,152,56,96,-,-,-,360,217,143,24653,12211,12442,9080,4725,4355,-,-,-,15573,7486,8087,6246,3762,2484,4604,2774,1830,-,-,-,1642,988,654,290,203,87,235,164,71,-,-,-,55,39,16
102學年,宜蘭縣,3291,1688,1603,1322,890,432,-,-,-,1969,798,1171,723,154,569,-,-,-,-,-,-,723,154,569,53,32,21,-,-,-,-,-,-,53,32,21,1999,1202,797,1086,732,354,-,-,-,913,470,443,515,300,215,236,158,78,-,-,-,279,142,137,1,-,1,-,-,-,-,-,-,1,-,1
102學年,桃園縣,26566,13890,12676,3894,2584,1310,-,-,-,22672,11306,11366,1447,71,1376,-,-,-,-,-,-,1447,71,1376,258,152,106,-,-,-,-,-,-,258,152,106,19535,10155,9380,1787,1125,662,-,-,-,17748,9030,8718,4988,3246,1742,1903,1298,605,-,-,-,3085,1948,1137,338,266,72,204,161,43,-,-,-,134,105,29
102學年,新竹縣,4051,2286,1765,-,-,-,-,-,-,4051,2286,1765,141,57,84,-,-,-,-,-,-,141,57,84,134,69,65,-,-,-,-,-,-,134,69,65,3566,2007,1559,-,-,-,-,-,-,3566,2007,1559,210,153,57,-,-,-,-,-,-,210,153,57,-,-,-,-,-,-,-,-,-,-,-,-
102學年,苗栗縣,6021,2641,3380,1897,1314,583,-,-,-,4124,1327,2797,881,168,713,-,-,-,-,-,-,881,168,713,629,219,410,-,-,-,-,-,-,629,219,410,4192,2071,2121,1702,1181,521,-,-,-,2490,890,1600,318,182,136,194,132,62,-,-,-,124,50,74,1,1,-,1,1,-,-,-,-,-,-,-
102學年,彰化縣,9390,5203,4187,2075,1072,1003,-,-,-,7315,4131,3184,-,-,-,-,-,-,-,-,-,-,-,-,51,44,7,-,-,-,-,-,-,51,44,7,7402,4163,3239,1118,551,567,-,-,-,6284,3612,2672,1861,943,918,896,480,416,-,-,-,965,463,502,76,53,23,61,41,20,-,-,-,15,12,3
102學年,南投縣,2776,1622,1154,1450,731,719,-,-,-,1326,891,435,189,130,59,-,-,-,-,-,-,189,130,59,-,-,-,-,-,-,-,-,-,-,-,-,1953,1135,818,919,423,496,-,-,-,1034,712,322,599,337,262,496,288,208,-,-,-,103,49,54,35,20,15,35,20,15,-,-,-,-,-,-
102學年,雲林縣,6769,4158,2611,5258,3458,1800,-,-,-,1511,700,811,-,-,-,-,-,-,-,-,-,-,-,-,258,125,133,-,-,-,-,-,-,258,125,133,4692,2772,1920,3496,2231,1265,-,-,-,1196,541,655,1755,1220,535,1698,1186,512,-,-,-,57,34,23,64,41,23,64,41,23,-,-,-,-,-,-
102學年,嘉義縣,5981,3201,2780,3126,1709,1417,-,-,-,2855,1492,1363,-,-,-,-,-,-,-,-,-,-,-,-,73,38,35,-,-,-,-,-,-,73,38,35,3808,1984,1824,1530,766,764,-,-,-,2278,1218,1060,1983,1102,881,1484,869,615,-,-,-,499,233,266,117,77,40,112,74,38,-,-,-,5,3,2
102學年,屏東縣,9793,3794,5999,4864,2201,2663,-,-,-,4929,1593,3336,1127,210,917,-,-,-,-,-,-,1127,210,917,180,92,88,-,-,-,-,-,-,180,92,88,6940,2692,4248,3546,1513,2033,-,-,-,3394,1179,2215,1517,782,735,1289,670,619,-,-,-,228,112,116,29,18,11,29,18,11,-,-,-,-,-,-
102學年,臺東縣,1361,651,710,1361,651,710,-,-,-,-,-,-,26,6,20,26,6,20,-,-,-,-,-,-,197,108,89,197,108,89,-,-,-,-,-,-,811,424,387,811,424,387,-,-,-,-,-,-,318,110,208,318,110,208,-,-,-,-,-,-,9,3,6,9,3,6,-,-,-,-,-,-
102學年,花蓮縣,4800,2216,2584,2519,1255,1264,-,-,-,2281,961,1320,218,17,201,-,-,-,-,-,-,218,17,201,115,70,45,-,-,-,-,-,-,115,70,45,3364,1530,1834,1568,728,840,-,-,-,1796,802,994,1041,559,482,906,493,413,-,-,-,135,66,69,62,40,22,45,34,11,-,-,-,17,6,11
102學年,澎湖縣,674,341,333,674,341,333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,9,9,-,-,-,-,-,-,-,614,305,309,614,305,309,-,-,-,-,-,-,51,27,24,51,27,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,3759,1980,1779,2236,1532,704,-,-,-,1523,448,1075,344,72,272,-,-,-,-,-,-,344,72,272,-,-,-,-,-,-,-,-,-,-,-,-,2498,1288,1210,1341,920,421,-,-,-,1157,368,789,882,590,292,860,582,278,-,-,-,22,8,14,35,30,5,35,30,5,-,-,-,-,-,-
102學年,新竹市,13086,7632,5454,8027,5184,2843,-,-,-,5059,2448,2611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7530,4023,3507,3311,1990,1321,-,-,-,4219,2033,2186,4968,3120,1848,4158,2726,1432,-,-,-,810,394,416,588,489,99,558,468,90,-,-,-,30,21,9
102學年,嘉義市,4442,1868,2574,3059,1502,1557,-,-,-,1383,366,1017,538,36,502,-,-,-,-,-,-,538,36,502,57,17,40,-,-,-,-,-,-,57,17,40,3024,1454,1570,2236,1141,1095,-,-,-,788,313,475,802,349,453,802,349,453,-,-,-,-,-,-,21,12,9,21,12,9,-,-,-,-,-,-
102學年,金門縣,764,398,366,764,398,366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,700,360,340,700,360,340,-,-,-,-,-,-,64,38,26,64,38,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,309333,151921,157412,107295,58251,49044,1635,1065,570,200403,92605,107798,12733,2453,10280,1337,230,1107,-,-,-,11396,2223,9173,5342,2313,3029,837,262,575,-,-,-,4505,2051,2454,226799,109442,117357,62886,32477,30409,1004,628,376,162909,76337,86572,60218,34706,25512,38711,22743,15968,617,431,186,20890,11532,9358,4241,3007,1234,3524,2539,985,14,6,8,703,462,241
101學年,新北市,34418,16712,17706,3526,1345,2181,-,-,-,30892,15367,15525,1396,441,955,-,-,-,-,-,-,1396,441,955,821,346,475,-,-,-,-,-,-,821,346,475,28232,13796,14436,2602,919,1683,-,-,-,25630,12877,12753,3836,2047,1789,904,415,489,-,-,-,2932,1632,1300,133,82,51,20,11,9,-,-,-,113,71,42
101學年,臺北市,62057,29544,32513,27475,14162,13313,1635,1065,570,32947,14317,18630,1433,337,1096,311,54,257,-,-,-,1122,283,839,1164,429,735,123,31,92,-,-,-,1041,398,643,42179,19022,23157,14208,6736,7472,1004,628,376,26967,11658,15309,15786,8736,7050,11492,6413,5079,617,431,186,3677,1892,1785,1495,1020,475,1341,928,413,14,6,8,140,86,54
101學年,臺中市,44181,20139,24042,11777,5897,5880,-,-,-,32404,14242,18162,1071,196,875,613,98,515,-,-,-,458,98,360,406,133,273,267,61,206,-,-,-,139,72,67,35287,15635,19652,7801,3877,3924,-,-,-,27486,11758,15728,7060,3926,3134,2902,1718,1184,-,-,-,4158,2208,1950,357,249,108,194,143,51,-,-,-,163,106,57
101學年,臺南市,31910,15265,16645,8363,4738,3625,-,-,-,23547,10527,13020,1381,152,1229,288,6,282,-,-,-,1093,146,947,296,102,194,89,6,83,-,-,-,207,96,111,24456,11439,13017,3894,2148,1746,-,-,-,20562,9291,11271,5302,3209,2093,3629,2224,1405,-,-,-,1673,985,688,475,363,112,463,354,109,-,-,-,12,9,3
101學年,高雄市,33750,16792,16958,14014,7745,6269,-,-,-,19736,9047,10689,2408,464,1944,125,72,53,-,-,-,2283,392,1891,539,310,229,124,35,89,-,-,-,415,275,140,24525,12249,12276,9076,4833,4243,-,-,-,15449,7416,8033,5964,3553,2411,4426,2620,1806,-,-,-,1538,933,605,314,216,98,263,185,78,-,-,-,51,31,20
101學年,宜蘭縣,3363,1767,1596,1309,888,421,-,-,-,2054,879,1175,634,146,488,-,-,-,-,-,-,634,146,488,95,57,38,-,-,-,-,-,-,95,57,38,2018,1198,820,1030,693,337,-,-,-,988,505,483,613,365,248,279,195,84,-,-,-,334,170,164,3,1,2,-,-,-,-,-,-,3,1,2
101學年,桃園縣,26352,13877,12475,3918,2577,1341,-,-,-,22434,11300,11134,1234,29,1205,-,-,-,-,-,-,1234,29,1205,175,115,60,-,-,-,-,-,-,175,115,60,19303,10123,9180,1777,1121,656,-,-,-,17526,9002,8524,5276,3329,1947,1938,1291,647,-,-,-,3338,2038,1300,364,281,83,203,165,38,-,-,-,161,116,45
101學年,新竹縣,3953,2249,1704,-,-,-,-,-,-,3953,2249,1704,136,72,64,-,-,-,-,-,-,136,72,64,59,36,23,-,-,-,-,-,-,59,36,23,3508,1956,1552,-,-,-,-,-,-,3508,1956,1552,250,185,65,-,-,-,-,-,-,250,185,65,-,-,-,-,-,-,-,-,-,-,-,-
101學年,苗栗縣,5486,2480,3006,1671,1125,546,-,-,-,3815,1355,2460,846,191,655,-,-,-,-,-,-,846,191,655,668,207,461,-,-,-,-,-,-,668,207,461,3672,1927,1745,1497,1021,476,-,-,-,2175,906,1269,299,154,145,173,103,70,-,-,-,126,51,75,1,1,-,1,1,-,-,-,-,-,-,-
101學年,彰化縣,9395,5009,4386,2078,988,1090,-,-,-,7317,4021,3296,-,-,-,-,-,-,-,-,-,-,-,-,75,59,16,-,-,-,-,-,-,75,59,16,7156,3839,3317,984,442,542,-,-,-,6172,3397,2775,2091,1067,1024,1036,516,520,-,-,-,1055,551,504,73,44,29,58,30,28,-,-,-,15,14,1
101學年,南投縣,2662,1603,1059,1393,704,689,-,-,-,1269,899,370,161,113,48,-,-,-,-,-,-,161,113,48,2,2,-,-,-,-,-,-,-,2,2,-,1887,1131,756,876,395,481,-,-,-,1011,736,275,578,337,241,483,289,194,-,-,-,95,48,47,34,20,14,34,20,14,-,-,-,-,-,-
101學年,雲林縣,6746,4030,2716,5240,3386,1854,-,-,-,1506,644,862,-,-,-,-,-,-,-,-,-,-,-,-,186,92,94,-,-,-,-,-,-,186,92,94,4832,2774,2058,3547,2245,1302,-,-,-,1285,529,756,1666,1115,551,1631,1092,539,-,-,-,35,23,12,62,49,13,62,49,13,-,-,-,-,-,-
101學年,嘉義縣,5782,3208,2574,3110,1725,1385,-,-,-,2672,1483,1189,-,-,-,-,-,-,-,-,-,-,-,-,161,113,48,-,-,-,-,-,-,161,113,48,3561,1955,1606,1550,815,735,-,-,-,2011,1140,871,1942,1064,878,1446,836,610,-,-,-,496,228,268,118,76,42,114,74,40,-,-,-,4,2,2
101學年,屏東縣,10470,4160,6310,4977,2233,2744,-,-,-,5493,1927,3566,1039,204,835,-,-,-,-,-,-,1039,204,835,274,99,175,-,-,-,-,-,-,274,99,175,7626,3066,4560,3616,1527,2089,-,-,-,4010,1539,2471,1490,765,725,1320,680,640,-,-,-,170,85,85,41,26,15,41,26,15,-,-,-,-,-,-
101學年,臺東縣,1259,603,656,1259,603,656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,121,102,223,121,102,-,-,-,-,-,-,722,349,373,722,349,373,-,-,-,-,-,-,310,133,177,310,133,177,-,-,-,-,-,-,4,-,4,4,-,4,-,-,-,-,-,-
101學年,花蓮縣,4909,2349,2560,2447,1269,1178,-,-,-,2462,1080,1382,230,19,211,-,-,-,-,-,-,230,19,211,130,58,72,-,-,-,-,-,-,130,58,72,3458,1665,1793,1507,718,789,-,-,-,1951,947,1004,1039,568,471,905,522,383,-,-,-,134,46,88,52,39,13,35,29,6,-,-,-,17,10,7
101學年,澎湖縣,743,356,387,743,356,387,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,8,3,11,8,3,-,-,-,-,-,-,693,325,368,693,325,368,-,-,-,-,-,-,39,23,16,39,23,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,3702,1932,1770,2251,1545,706,-,-,-,1451,387,1064,273,43,230,-,-,-,-,-,-,273,43,230,19,1,18,-,-,-,-,-,-,19,1,18,2458,1251,1207,1331,914,417,-,-,-,1127,337,790,902,598,304,870,592,278,-,-,-,32,6,26,50,39,11,50,39,11,-,-,-,-,-,-
101學年,新竹市,13132,7661,5471,8008,5158,2850,-,-,-,5124,2503,2621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7588,4054,3534,3335,2018,1317,-,-,-,4253,2036,2217,4906,3123,1783,4059,2672,1387,-,-,-,847,451,396,638,484,154,614,468,146,-,-,-,24,16,8
101學年,嘉義市,4441,1894,2547,3114,1516,1598,-,-,-,1327,378,949,491,46,445,-,-,-,-,-,-,491,46,445,38,25,13,-,-,-,-,-,-,38,25,13,3063,1423,1640,2265,1116,1149,-,-,-,798,307,491,822,383,439,822,383,439,-,-,-,-,-,-,27,17,10,27,17,10,-,-,-,-,-,-
101學年,金門縣,622,291,331,622,291,331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,575,265,310,575,265,310,-,-,-,-,-,-,47,26,21,47,26,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,315564,154158,161406,106914,57948,48966,1682,562,1120,206968,95648,111320,13539,2694,10845,1325,236,1089,-,-,-,12214,2458,9756,5666,2479,3187,810,314,496,-,-,-,4856,2165,2691,232448,111692,120756,62761,32402,30359,1077,350,727,168610,78940,89670,60050,34524,25526,38793,22658,16135,590,202,388,20667,11664,9003,3861,2769,1092,3225,2338,887,15,10,5,621,421,200
100學年,新北市,34788,16686,18102,3447,1238,2209,-,-,-,31341,15448,15893,1167,445,722,-,-,-,-,-,-,1167,445,722,926,395,531,-,-,-,-,-,-,926,395,531,28703,13661,15042,2624,886,1738,-,-,-,26079,12775,13304,3851,2089,1762,804,346,458,-,-,-,3047,1743,1304,141,96,45,19,6,13,-,-,-,122,90,32
100學年,臺北市,62466,28728,33738,27084,13776,13308,1682,562,1120,33700,14390,19310,1434,294,1140,303,51,252,-,-,-,1131,243,888,1201,398,803,162,40,122,-,-,-,1039,358,681,42892,18776,24116,14032,6605,7427,1077,350,727,27783,11821,15962,15610,8355,7255,11389,6259,5130,590,202,388,3631,1894,1737,1329,905,424,1198,821,377,15,10,5,116,74,42
100學年,臺中市,44063,19851,24212,11833,5861,5972,-,-,-,32230,13990,18240,1402,220,1182,602,97,505,-,-,-,800,123,677,438,187,251,326,116,210,-,-,-,112,71,41,34905,15379,19526,7835,3880,3955,-,-,-,27070,11499,15571,6979,3832,3147,2863,1615,1248,-,-,-,4116,2217,1899,339,233,106,207,153,54,-,-,-,132,80,52
100學年,臺南市,33120,15756,17364,8081,4517,3564,-,-,-,25039,11239,13800,1663,167,1496,291,1,290,-,-,-,1372,166,1206,277,108,169,78,5,73,-,-,-,199,103,96,25459,11988,13471,3762,2058,1704,-,-,-,21697,9930,11767,5293,3174,2119,3532,2139,1393,-,-,-,1761,1035,726,428,319,109,418,314,104,-,-,-,10,5,5
100學年,高雄市,35133,17411,17722,14013,7823,6190,-,-,-,21120,9588,11532,2960,696,2264,129,87,42,-,-,-,2831,609,2222,500,293,207,2,1,1,-,-,-,498,292,206,25144,12506,12638,8950,4786,4164,-,-,-,16194,7720,8474,6218,3707,2511,4678,2775,1903,-,-,-,1540,932,608,311,209,102,254,174,80,-,-,-,57,35,22
100學年,宜蘭縣,3299,1797,1502,1253,848,405,-,-,-,2046,949,1097,521,122,399,-,-,-,-,-,-,521,122,399,99,59,40,-,-,-,-,-,-,99,59,40,2190,1331,859,1038,701,337,-,-,-,1152,630,522,485,283,202,215,147,68,-,-,-,270,136,134,4,2,2,-,-,-,-,-,-,4,2,2
100學年,桃園縣,26909,14150,12759,3877,2491,1386,-,-,-,23032,11659,11373,1369,23,1346,-,-,-,-,-,-,1369,23,1346,293,159,134,-,-,-,-,-,-,293,159,134,19739,10397,9342,1751,1072,679,-,-,-,17988,9325,8663,5201,3331,1870,1944,1275,669,-,-,-,3257,2056,1201,307,240,67,182,144,38,-,-,-,125,96,29
100學年,新竹縣,4240,2394,1846,-,-,-,-,-,-,4240,2394,1846,129,60,69,-,-,-,-,-,-,129,60,69,59,5,54,-,-,-,-,-,-,59,5,54,3846,2168,1678,-,-,-,-,-,-,3846,2168,1678,206,161,45,-,-,-,-,-,-,206,161,45,-,-,-,-,-,-,-,-,-,-,-,-
100學年,苗栗縣,5759,2712,3047,1814,1258,556,-,-,-,3945,1454,2491,739,172,567,-,-,-,-,-,-,739,172,567,602,188,414,1,1,-,-,-,-,601,187,414,4180,2202,1978,1658,1146,512,-,-,-,2522,1056,1466,238,150,88,155,111,44,-,-,-,83,39,44,-,-,-,-,-,-,-,-,-,-,-,-
100學年,彰化縣,9446,5275,4171,2162,1042,1120,-,-,-,7284,4233,3051,-,-,-,-,-,-,-,-,-,-,-,-,114,68,46,-,-,-,-,-,-,114,68,46,7237,4122,3115,1076,523,553,-,-,-,6161,3599,2562,2038,1058,980,1040,501,539,-,-,-,998,557,441,57,27,30,46,18,28,-,-,-,11,9,2
100學年,南投縣,2918,1722,1196,1531,754,777,-,-,-,1387,968,419,167,110,57,-,-,-,-,-,-,167,110,57,12,12,-,-,-,-,-,-,-,12,12,-,2079,1234,845,967,431,536,-,-,-,1112,803,309,633,348,285,537,305,232,-,-,-,96,43,53,27,18,9,27,18,9,-,-,-,-,-,-
100學年,雲林縣,6710,4024,2686,5286,3495,1791,-,-,-,1424,529,895,-,-,-,-,-,-,-,-,-,-,-,-,217,104,113,-,-,-,-,-,-,217,104,113,4802,2733,2069,3629,2323,1306,-,-,-,1173,410,763,1630,1149,481,1596,1134,462,-,-,-,34,15,19,61,38,23,61,38,23,-,-,-,-,-,-
100學年,嘉義縣,6155,3517,2638,3055,1733,1322,-,-,-,3100,1784,1316,16,15,1,-,-,-,-,-,-,16,15,1,142,106,36,-,-,-,-,-,-,142,106,36,3997,2247,1750,1552,815,737,-,-,-,2445,1432,1013,1902,1081,821,1410,853,557,-,-,-,492,228,264,98,68,30,93,65,28,-,-,-,5,3,2
100學年,屏東縣,10690,4522,6168,4799,2172,2627,-,-,-,5891,2350,3541,1033,237,796,-,-,-,-,-,-,1033,237,796,344,152,192,-,-,-,-,-,-,344,152,192,7829,3330,4499,3442,1432,2010,-,-,-,4387,1898,2489,1451,783,668,1324,720,604,-,-,-,127,63,64,33,20,13,33,20,13,-,-,-,-,-,-
100學年,臺東縣,1408,690,718,1408,690,718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232,145,87,232,145,87,-,-,-,-,-,-,781,390,391,781,390,391,-,-,-,-,-,-,394,154,240,394,154,240,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-
100學年,花蓮縣,4958,2284,2674,2450,1190,1260,-,-,-,2508,1094,1414,230,34,196,-,-,-,-,-,-,230,34,196,99,60,39,-,-,-,-,-,-,99,60,39,3557,1613,1944,1535,683,852,-,-,-,2022,930,1092,1034,552,482,892,491,401,-,-,-,142,61,81,38,25,13,23,16,7,-,-,-,15,9,6
100學年,澎湖縣,813,413,400,813,413,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3,9,6,3,-,-,-,-,-,-,747,366,381,747,366,381,-,-,-,-,-,-,57,41,16,57,41,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,3874,1983,1891,2335,1559,776,-,-,-,1539,424,1115,286,56,230,-,-,-,-,-,-,286,56,230,5,2,3,-,-,-,-,-,-,5,2,3,2590,1275,1315,1366,916,450,-,-,-,1224,359,865,956,627,329,932,620,312,-,-,-,24,7,17,37,23,14,37,23,14,-,-,-,-,-,-
100學年,新竹市,13832,8005,5827,8041,5279,2762,-,-,-,5791,2726,3065,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8234,4226,4008,3310,1995,1315,-,-,-,4924,2231,2693,4960,3237,1723,4117,2760,1357,-,-,-,843,477,366,638,542,96,614,524,90,-,-,-,24,18,6
100學年,嘉義市,4479,1976,2503,3128,1547,1581,-,-,-,1351,429,922,423,43,380,-,-,-,-,-,-,423,43,380,97,32,65,-,-,-,-,-,-,97,32,65,3067,1507,1560,2236,1153,1083,-,-,-,831,354,477,880,391,489,880,391,489,-,-,-,-,-,-,12,3,9,12,3,9,-,-,-,-,-,-
100學年,金門縣,504,262,242,504,262,242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,470,241,229,470,241,229,-,-,-,-,-,-,34,21,13,34,21,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,313211,154105,159106,105898,57646,48252,1662,674,988,205651,95785,109866,13356,2900,10456,1292,212,1080,-,-,-,12064,2688,9376,7107,3152,3955,1334,475,859,-,-,-,5773,2677,3096,228878,110300,118578,61175,31638,29537,987,432,555,166716,78230,88486,60024,34951,25073,38878,22933,15945,660,237,423,20486,11781,8705,3846,2802,1044,3219,2388,831,15,5,10,612,409,203
99學年,新北市,35157,16784,18373,3593,1306,2287,-,-,-,31564,15478,16086,1261,562,699,-,-,-,-,-,-,1261,562,699,1211,582,629,-,-,-,-,-,-,1211,582,629,28616,13403,15213,2666,899,1767,-,-,-,25950,12504,13446,3948,2165,1783,913,402,511,-,-,-,3035,1763,1272,121,72,49,14,5,9,-,-,-,107,67,40
99學年,臺北市,60839,28261,32578,27033,13977,13056,1662,674,988,32144,13610,18534,1216,248,968,299,44,255,-,-,-,917,204,713,1476,484,992,283,60,223,-,-,-,1193,424,769,41196,18044,23152,13722,6442,7280,987,432,555,26487,11170,15317,15603,8610,6993,11498,6609,4889,660,237,423,3445,1764,1681,1348,875,473,1231,822,409,15,5,10,102,48,54
99學年,臺中市,43830,19638,24192,11735,5804,5931,-,-,-,32095,13834,18261,1416,202,1214,617,86,531,-,-,-,799,116,683,709,294,415,522,174,348,-,-,-,187,120,67,34427,15005,19422,7541,3779,3762,-,-,-,26886,11226,15660,6950,3897,3053,2855,1610,1245,-,-,-,4095,2287,1808,328,240,88,200,155,45,-,-,-,128,85,43
99學年,臺南市,33134,16103,17031,7876,4442,3434,-,-,-,25258,11661,13597,1486,166,1320,246,-,246,-,-,-,1240,166,1074,337,123,214,90,4,86,-,-,-,247,119,128,25592,12280,13312,3568,2003,1565,-,-,-,22024,10277,11747,5309,3209,2100,3575,2122,1453,-,-,-,1734,1087,647,410,325,85,397,313,84,-,-,-,13,12,1
99學年,高雄市,34366,17091,17275,13850,7753,6097,-,-,-,20516,9338,11178,3099,765,2334,130,82,48,-,-,-,2969,683,2286,759,416,343,158,70,88,-,-,-,601,346,255,24153,12085,12068,8799,4742,4057,-,-,-,15354,7343,8011,6069,3631,2438,4538,2704,1834,-,-,-,1531,927,604,286,194,92,225,155,70,-,-,-,61,39,22
99學年,宜蘭縣,3371,1865,1506,1253,845,408,-,-,-,2118,1020,1098,472,121,351,-,-,-,-,-,-,472,121,351,183,70,113,-,-,-,-,-,-,183,70,113,2225,1390,835,1038,702,336,-,-,-,1187,688,499,489,283,206,215,143,72,-,-,-,274,140,134,2,1,1,-,-,-,-,-,-,2,1,1
99學年,桃園縣,26005,13741,12264,3737,2417,1320,-,-,-,22268,11324,10944,1232,5,1227,-,-,-,-,-,-,1232,5,1227,187,41,146,-,-,-,-,-,-,187,41,146,19117,10129,8988,1665,1013,652,-,-,-,17452,9116,8336,5135,3291,1844,1886,1250,636,-,-,-,3249,2041,1208,334,275,59,186,154,32,-,-,-,148,121,27
99學年,新竹縣,4491,2559,1932,-,-,-,-,-,-,4491,2559,1932,180,86,94,-,-,-,-,-,-,180,86,94,67,20,47,-,-,-,-,-,-,67,20,47,4024,2291,1733,-,-,-,-,-,-,4024,2291,1733,220,162,58,-,-,-,-,-,-,220,162,58,-,-,-,-,-,-,-,-,-,-,-,-
99學年,苗栗縣,5567,2723,2844,1714,1203,511,-,-,-,3853,1520,2333,781,195,586,-,-,-,-,-,-,781,195,586,589,250,339,-,-,-,-,-,-,589,250,339,3993,2155,1838,1572,1109,463,-,-,-,2421,1046,1375,204,123,81,142,94,48,-,-,-,62,29,33,-,-,-,-,-,-,-,-,-,-,-,-
99學年,彰化縣,9622,5504,4118,2189,1096,1093,-,-,-,7433,4408,3025,-,-,-,-,-,-,-,-,-,-,-,-,140,91,49,-,-,-,-,-,-,140,91,49,7294,4158,3136,1053,496,557,-,-,-,6241,3662,2579,2122,1220,902,1083,574,509,-,-,-,1039,646,393,66,35,31,53,26,27,-,-,-,13,9,4
99學年,南投縣,2845,1751,1094,1386,678,708,-,-,-,1459,1073,386,196,134,62,-,-,-,-,-,-,196,134,62,52,49,3,-,-,-,-,-,-,52,49,3,1987,1220,767,856,377,479,-,-,-,1131,843,288,593,332,261,513,285,228,-,-,-,80,47,33,17,16,1,17,16,1,-,-,-,-,-,-
