學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,專科學校計小計,專科學校計男,專科學校計女,專科學校國立小計,專科學校國立男,專科學校國立女,專科學校直轄市立小計,專科學校直轄市立男,專科學校直轄市立女,專科學校私立小計,專科學校私立男,專科學校私立女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院國立小計,獨立學院國立男,獨立學院國立女,獨立學院直轄市立小計,獨立學院直轄市立男,獨立學院直轄市立女,獨立學院私立小計,獨立學院私立男,獨立學院私立女,大學計小計,大學計男,大學計女,大學國立小計,大學國立男,大學國立女,大學直轄市立小計,大學直轄市立男,大學直轄市立女,大學私立小計,大學私立男,大學私立女
101學年,苗栗縣,54,42,12,12,11,1,-,-,-,42,31,11,10,6,4,-,-,-,-,-,-,10,6,4,15,11,4,-,-,-,-,-,-,15,11,4,29,25,4,12,11,1,-,-,-,17,14,3
101學年,彰化縣,102,81,21,24,16,8,-,-,-,78,65,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,81,21,24,16,8,-,-,-,78,65,13
101學年,南投縣,30,27,3,11,9,2,-,-,-,19,18,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,27,3,11,9,2,-,-,-,19,18,1
101學年,雲林縣,58,42,16,38,30,8,-,-,-,20,12,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,42,16,38,30,8,-,-,-,20,12,8
101學年,嘉義縣,59,48,11,17,11,6,-,-,-,42,37,5,-,-,-,-,-,-,-,-,-,-,-,-,15,12,3,-,-,-,-,-,-,15,12,3,44,36,8,17,11,6,-,-,-,27,25,2
101學年,屏東縣,123,97,26,42,28,14,-,-,-,81,69,12,10,8,2,-,-,-,-,-,-,10,8,2,36,31,5,13,9,4,-,-,-,23,22,1,77,58,19,29,19,10,-,-,-,48,39,9
101學年,臺東縣,24,17,7,24,17,7,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,9,5,14,9,5,-,-,-,-,-,-
101學年,花蓮縣,70,56,14,15,12,3,-,-,-,55,44,11,-,-,-,-,-,-,-,-,-,-,-,-,35,27,8,-,-,-,-,-,-,35,27,8,35,29,6,15,12,3,-,-,-,20,17,3
101學年,澎湖縣,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-
101學年,基隆市,45,35,10,17,14,3,-,-,-,28,21,7,-,-,-,-,-,-,-,-,-,-,-,-,28,21,7,-,-,-,-,-,-,28,21,7,17,14,3,17,14,3,-,-,-,-,-,-
101學年,新竹市,88,79,9,44,39,5,-,-,-,44,40,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,79,9,44,39,5,-,-,-,44,40,4
101學年,嘉義市,58,39,19,17,14,3,-,-,-,41,25,16,9,3,6,-,-,-,-,-,-,9,3,6,32,22,10,-,-,-,-,-,-,32,22,10,17,14,3,17,14,3,-,-,-,-,-,-
101學年,金門縣,10,10,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,10,10,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,2668,2093,575,843,633,210,26,16,10,1799,1444,355,155,84,71,34,15,19,-,-,-,121,69,52,417,330,87,67,44,23,13,8,5,337,278,59,2096,1679,417,742,574,168,13,8,5,1341,1097,244
100學年,新北市,254,207,47,29,23,6,-,-,-,225,184,41,10,2,8,-,-,-,-,-,-,10,2,8,88,77,11,-,-,-,-,-,-,88,77,11,156,128,28,29,23,6,-,-,-,127,105,22
100學年,臺北市,445,329,116,181,122,59,26,16,10,238,191,47,23,11,12,-,-,-,-,-,-,23,11,12,65,44,21,26,13,13,13,8,5,26,23,3,357,274,83,155,109,46,13,8,5,189,157,32
100學年,臺中市,384,290,94,111,81,30,-,-,-,273,209,64,13,3,10,13,3,10,-,-,-,-,-,-,32,25,7,32,25,7,-,-,-,-,-,-,339,262,77,66,53,13,-,-,-,273,209,64
100學年,臺南市,249,205,44,65,50,15,-,-,-,184,155,29,18,11,7,11,5,6,-,-,-,7,6,1,22,19,3,-,-,-,-,-,-,22,19,3,209,175,34,54,45,9,-,-,-,155,130,25
100學年,高雄市,304,236,68,111,86,25,-,-,-,193,150,43,29,18,11,-,-,-,-,-,-,29,18,11,37,26,11,-,-,-,-,-,-,37,26,11,238,192,46,111,86,25,-,-,-,127,106,21
100學年,宜蘭縣,55,45,10,15,14,1,-,-,-,40,31,9,16,10,6,-,-,-,-,-,-,16,10,6,14,13,1,-,-,-,-,-,-,14,13,1,25,22,3,15,14,1,-,-,-,10,8,2
100學年,桃園縣,216,175,41,38,29,9,-,-,-,178,146,32,7,4,3,-,-,-,-,-,-,7,4,3,17,14,3,-,-,-,-,-,-,17,14,3,192,157,35,38,29,9,-,-,-,154,128,26
100學年,新竹縣,28,23,5,-,-,-,-,-,-,28,23,5,-,-,-,-,-,-,-,-,-,-,-,-,14,10,4,-,-,-,-,-,-,14,10,4,14,13,1,-,-,-,-,-,-,14,13,1
100學年,苗栗縣,55,43,12,13,11,2,-,-,-,42,32,10,11,8,3,-,-,-,-,-,-,11,8,3,15,11,4,-,-,-,-,-,-,15,11,4,29,24,5,13,11,2,-,-,-,16,13,3
100學年,彰化縣,106,80,26,25,16,9,-,-,-,81,64,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,80,26,25,16,9,-,-,-,81,64,17
100學年,南投縣,41,37,4,20,17,3,-,-,-,21,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,37,4,20,17,3,-,-,-,21,20,1
100學年,雲林縣,54,42,12,36,31,5,-,-,-,18,11,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,42,12,36,31,5,-,-,-,18,11,7
100學年,嘉義縣,56,45,11,17,11,6,-,-,-,39,34,5,-,-,-,-,-,-,-,-,-,-,-,-,12,9,3,-,-,-,-,-,-,12,9,3,44,36,8,17,11,6,-,-,-,27,25,2
100學年,屏東縣,112,89,23,41,29,12,-,-,-,71,60,11,9,7,2,-,-,-,-,-,-,9,7,2,30,25,5,9,6,3,-,-,-,21,19,2,73,57,16,32,23,9,-,-,-,41,34,7
100學年,臺東縣,25,20,5,25,20,5,-,-,-,-,-,-,10,7,3,10,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,13,2,15,13,2,-,-,-,-,-,-
100學年,花蓮縣,66,52,14,13,9,4,-,-,-,53,43,10,-,-,-,-,-,-,-,-,-,-,-,-,32,25,7,-,-,-,-,-,-,32,25,7,34,27,7,13,9,4,-,-,-,21,18,3
100學年,澎湖縣,10,7,3,10,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,7,3,10,7,3,-,-,-,-,-,-
100學年,基隆市,44,34,10,17,13,4,-,-,-,27,21,6,-,-,-,-,-,-,-,-,-,-,-,-,27,21,6,-,-,-,-,-,-,27,21,6,17,13,4,17,13,4,-,-,-,-,-,-
100學年,新竹市,109,89,20,42,33,9,-,-,-,67,56,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,89,20,42,33,9,-,-,-,67,56,11
100學年,嘉義市,46,36,10,25,22,3,-,-,-,21,14,7,9,3,6,-,-,-,-,-,-,9,3,6,12,11,1,-,-,-,-,-,-,12,11,1,25,22,3,25,22,3,-,-,-,-,-,-
100學年,金門縣,9,9,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,9,9,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,2506,1993,513,820,629,191,26,17,9,1660,1347,313,141,79,62,35,15,20,-,-,-,106,64,42,485,385,100,84,57,27,15,10,5,386,318,68,1880,1529,351,701,557,144,11,7,4,1168,965,203
99學年,臺北市,450,330,120,193,136,57,26,17,9,231,177,54,21,10,11,-,-,-,-,-,-,21,10,11,69,46,23,27,14,13,15,10,5,27,22,5,360,274,86,166,122,44,11,7,4,183,145,38
99學年,高雄市,140,111,29,99,83,16,-,-,-,41,28,13,6,2,4,-,-,-,-,-,-,6,2,4,18,11,7,-,-,-,-,-,-,18,11,7,116,98,18,99,83,16,-,-,-,17,15,2
99學年,臺北縣,264,220,44,29,22,7,-,-,-,235,198,37,10,5,5,-,-,-,-,-,-,10,5,5,90,81,9,-,-,-,-,-,-,90,81,9,164,134,30,29,22,7,-,-,-,135,112,23
99學年,宜蘭縣,46,39,7,13,13,-,-,-,-,33,26,7,10,5,5,-,-,-,-,-,-,10,5,5,13,12,1,-,-,-,-,-,-,13,12,1,23,22,1,13,13,-,-,-,-,10,9,1
99學年,桃園縣,184,147,37,28,22,6,-,-,-,156,125,31,7,4,3,-,-,-,-,-,-,7,4,3,31,21,10,-,-,-,-,-,-,31,21,10,146,122,24,28,22,6,-,-,-,118,100,18
99學年,新竹縣,26,21,5,-,-,-,-,-,-,26,21,5,-,-,-,-,-,-,-,-,-,-,-,-,14,11,3,-,-,-,-,-,-,14,11,3,12,10,2,-,-,-,-,-,-,12,10,2
99學年,苗栗縣,50,37,13,12,9,3,-,-,-,38,28,10,7,5,2,-,-,-,-,-,-,7,5,2,17,12,5,-,-,-,-,-,-,17,12,5,26,20,6,12,9,3,-,-,-,14,11,3
99學年,臺中縣,117,96,21,19,15,4,-,-,-,98,81,17,-,-,-,-,-,-,-,-,-,-,-,-,16,15,1,-,-,-,-,-,-,16,15,1,101,81,20,19,15,4,-,-,-,82,66,16
99學年,彰化縣,108,85,23,25,18,7,-,-,-,83,67,16,-,-,-,-,-,-,-,-,-,-,-,-,18,16,2,-,-,-,-,-,-,18,16,2,90,69,21,25,18,7,-,-,-,65,51,14
99學年,南投縣,31,29,2,16,14,2,-,-,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,29,2,16,14,2,-,-,-,15,15,-
99學年,雲林縣,69,60,9,52,48,4,-,-,-,17,12,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,60,9,52,48,4,-,-,-,17,12,5
99學年,嘉義縣,57,49,8,17,13,4,-,-,-,40,36,4,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,-,-,-,-,-,-,11,9,2,46,40,6,17,13,4,-,-,-,29,27,2
99學年,臺南縣,154,124,30,10,6,4,-,-,-,144,118,26,6,5,1,-,-,-,-,-,-,6,5,1,9,7,2,-,-,-,-,-,-,9,7,2,139,112,27,10,6,4,-,-,-,129,106,23
99學年,高雄縣,145,117,28,10,6,4,-,-,-,135,111,24,21,17,4,-,-,-,-,-,-,21,17,4,18,13,5,-,-,-,-,-,-,18,13,5,106,87,19,10,6,4,-,-,-,96,81,15
99學年,屏東縣,109,94,15,42,34,8,-,-,-,67,60,7,9,8,1,-,-,-,-,-,-,9,8,1,34,30,4,11,8,3,-,-,-,23,22,1,66,56,10,31,26,5,-,-,-,35,30,5
99學年,臺東縣,28,23,5,28,23,5,-,-,-,-,-,-,12,9,3,12,9,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,14,2,16,14,2,-,-,-,-,-,-
99學年,花蓮縣,67,54,13,13,10,3,-,-,-,54,44,10,-,-,-,-,-,-,-,-,-,-,-,-,31,25,6,-,-,-,-,-,-,31,25,6,36,29,7,13,10,3,-,-,-,23,19,4
99學年,澎湖縣,8,6,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,2,8,6,2,-,-,-,-,-,-
99學年,基隆市,40,32,8,15,13,2,-,-,-,25,19,6,-,-,-,-,-,-,-,-,-,-,-,-,25,19,6,-,-,-,-,-,-,25,19,6,15,13,2,15,13,2,-,-,-,-,-,-
99學年,新竹市,81,65,16,36,27,9,-,-,-,45,38,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,65,16,36,27,9,-,-,-,45,38,7
99學年,臺中市,216,167,49,86,59,27,-,-,-,130,108,22,12,2,10,12,2,10,-,-,-,-,-,-,46,35,11,46,35,11,-,-,-,-,-,-,158,130,28,28,22,6,-,-,-,130,108,22
99學年,嘉義市,40,29,11,19,15,4,-,-,-,21,14,7,9,3,6,-,-,-,-,-,-,9,3,6,12,11,1,-,-,-,-,-,-,12,11,1,19,15,4,19,15,4,-,-,-,-,-,-
99學年,臺南市,66,48,18,40,27,13,-,-,-,26,21,5,11,4,7,11,4,7,-,-,-,-,-,-,13,11,2,-,-,-,-,-,-,13,11,2,42,33,9,29,23,6,-,-,-,13,10,3
99學年,金門縣,10,10,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,10,10,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,2450,1948,502,796,609,187,17,10,7,1637,1329,308,144,82,62,34,18,16,-,-,-,110,64,46,561,440,121,113,77,36,7,4,3,441,359,82,1745,1426,319,649,514,135,10,6,4,1086,906,180
98學年,臺北市,420,299,121,189,130,59,17,10,7,214,159,55,24,10,14,-,-,-,-,-,-,24,10,14,74,44,30,44,23,21,7,4,3,23,17,6,322,245,77,145,107,38,10,6,4,167,132,35
98學年,高雄市,137,104,33,92,76,16,-,-,-,45,28,17,10,3,7,-,-,-,-,-,-,10,3,7,34,22,12,16,12,4,-,-,-,18,10,8,93,79,14,76,64,12,-,-,-,17,15,2
98學年,臺北縣,286,241,45,26,19,7,-,-,-,260,222,38,10,6,4,-,-,-,-,-,-,10,6,4,90,78,12,-,-,-,-,-,-,90,78,12,186,157,29,26,19,7,-,-,-,160,138,22
98學年,宜蘭縣,43,35,8,12,11,1,-,-,-,31,24,7,9,4,5,-,-,-,-,-,-,9,4,5,12,11,1,-,-,-,-,-,-,12,11,1,22,20,2,12,11,1,-,-,-,10,9,1
98學年,桃園縣,191,158,33,35,32,3,-,-,-,156,126,30,8,3,5,-,-,-,-,-,-,8,3,5,32,23,9,-,-,-,-,-,-,32,23,9,151,132,19,35,32,3,-,-,-,116,100,16
98學年,新竹縣,22,15,7,-,-,-,-,-,-,22,15,7,-,-,-,-,-,-,-,-,-,-,-,-,10,7,3,-,-,-,-,-,-,10,7,3,12,8,4,-,-,-,-,-,-,12,8,4
98學年,苗栗縣,49,38,11,12,8,4,-,-,-,37,30,7,9,8,1,-,-,-,-,-,-,9,8,1,14,11,3,-,-,-,-,-,-,14,11,3,26,19,7,12,8,4,-,-,-,14,11,3
98學年,臺中縣,110,90,20,19,16,3,-,-,-,91,74,17,-,-,-,-,-,-,-,-,-,-,-,-,16,15,1,-,-,-,-,-,-,16,15,1,94,75,19,19,16,3,-,-,-,75,59,16
98學年,彰化縣,104,82,22,26,18,8,-,-,-,78,64,14,-,-,-,-,-,-,-,-,-,-,-,-,18,14,4,-,-,-,-,-,-,18,14,4,86,68,18,26,18,8,-,-,-,60,50,10
98學年,南投縣,31,27,4,16,12,4,-,-,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,27,4,16,12,4,-,-,-,15,15,-
98學年,雲林縣,58,49,9,40,34,6,-,-,-,18,15,3,-,-,-,-,-,-,-,-,-,-,-,-,18,15,3,-,-,-,-,-,-,18,15,3,40,34,6,40,34,6,-,-,-,-,-,-
98學年,嘉義縣,48,41,7,14,10,4,-,-,-,34,31,3,-,-,-,-,-,-,-,-,-,-,-,-,24,23,1,-,-,-,-,-,-,24,23,1,24,18,6,14,10,4,-,-,-,10,8,2
98學年,臺南縣,155,130,25,10,8,2,-,-,-,145,122,23,7,6,1,-,-,-,-,-,-,7,6,1,26,22,4,-,-,-,-,-,-,26,22,4,122,102,20,10,8,2,-,-,-,112,94,18
98學年,高雄縣,149,122,27,11,9,2,-,-,-,138,113,25,16,14,2,-,-,-,-,-,-,16,14,2,22,15,7,-,-,-,-,-,-,22,15,7,111,93,18,11,9,2,-,-,-,100,84,16
98學年,屏東縣,105,88,17,42,34,8,-,-,-,63,54,9,9,8,1,-,-,-,-,-,-,9,8,1,53,45,8,13,11,2,-,-,-,40,34,6,43,35,8,29,23,6,-,-,-,14,12,2
98學年,臺東縣,30,22,8,30,22,8,-,-,-,-,-,-,14,10,4,14,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,12,4,16,12,4,-,-,-,-,-,-
98學年,花蓮縣,53,44,9,9,8,1,-,-,-,44,36,8,-,-,-,-,-,-,-,-,-,-,-,-,25,21,4,-,-,-,-,-,-,25,21,4,28,23,5,9,8,1,-,-,-,19,15,4
98學年,澎湖縣,9,6,3,9,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3,9,6,3,-,-,-,-,-,-
98學年,基隆市,38,29,9,13,10,3,-,-,-,25,19,6,-,-,-,-,-,-,-,-,-,-,-,-,25,19,6,-,-,-,-,-,-,25,19,6,13,10,3,13,10,3,-,-,-,-,-,-
98學年,新竹市,82,67,15,37,30,7,-,-,-,45,37,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,67,15,37,30,7,-,-,-,45,37,8
98學年,臺中市,199,162,37,70,53,17,-,-,-,129,109,20,9,4,5,9,4,5,-,-,-,-,-,-,30,21,9,30,21,9,-,-,-,-,-,-,160,137,23,31,28,3,-,-,-,129,109,20
98學年,嘉義市,42,31,11,20,16,4,-,-,-,22,15,7,8,2,6,-,-,-,-,-,-,8,2,6,14,13,1,-,-,-,-,-,-,14,13,1,20,16,4,20,16,4,-,-,-,-,-,-
98學年,臺南市,79,58,21,54,37,17,-,-,-,25,21,4,11,4,7,11,4,7,-,-,-,-,-,-,14,11,3,-,-,-,-,-,-,14,11,3,54,43,11,43,33,10,-,-,-,11,10,1
98學年,金門縣,10,10,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,2450,1950,500,822,645,177,26,18,8,1602,1287,315,138,80,58,32,18,14,-,-,-,106,62,44,603,484,119,92,66,26,16,11,5,495,407,88,1709,1386,323,698,561,137,10,7,3,1001,818,183
97學年,臺北市,428,307,121,189,131,58,26,18,8,213,158,55,20,6,14,-,-,-,-,-,-,20,6,14,101,73,28,41,24,17,16,11,5,44,38,6,307,228,79,148,107,41,10,7,3,149,114,35
97學年,高雄市,141,110,31,96,80,16,-,-,-,45,30,15,10,3,7,-,-,-,-,-,-,10,3,7,33,23,10,15,11,4,-,-,-,18,12,6,98,84,14,81,69,12,-,-,-,17,15,2
97學年,臺北縣,237,194,43,26,20,6,-,-,-,211,174,37,10,5,5,-,-,-,-,-,-,10,5,5,76,65,11,-,-,-,-,-,-,76,65,11,151,124,27,26,20,6,-,-,-,125,104,21
97學年,宜蘭縣,40,35,5,12,12,-,-,-,-,28,23,5,5,3,2,-,-,-,-,-,-,5,3,2,13,12,1,-,-,-,-,-,-,13,12,1,22,20,2,12,12,-,-,-,-,10,8,2
97學年,桃園縣,179,149,30,36,31,5,-,-,-,143,118,25,7,2,5,-,-,-,-,-,-,7,2,5,30,22,8,-,-,-,-,-,-,30,22,8,142,125,17,36,31,5,-,-,-,106,94,12
97學年,新竹縣,22,17,5,-,-,-,-,-,-,22,17,5,-,-,-,-,-,-,-,-,-,-,-,-,10,9,1,-,-,-,-,-,-,10,9,1,12,8,4,-,-,-,-,-,-,12,8,4
97學年,苗栗縣,48,40,8,12,8,4,-,-,-,36,32,4,10,9,1,-,-,-,-,-,-,10,9,1,26,23,3,-,-,-,-,-,-,26,23,3,12,8,4,12,8,4,-,-,-,-,-,-
97學年,臺中縣,118,91,27,18,16,2,-,-,-,100,75,25,-,-,-,-,-,-,-,-,-,-,-,-,15,14,1,-,-,-,-,-,-,15,14,1,103,77,26,18,16,2,-,-,-,85,61,24
97學年,彰化縣,104,85,19,26,17,9,-,-,-,78,68,10,-,-,-,-,-,-,-,-,-,-,-,-,18,16,2,-,-,-,-,-,-,18,16,2,86,69,17,26,17,9,-,-,-,60,52,8
97學年,南投縣,32,28,4,16,12,4,-,-,-,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,28,4,16,12,4,-,-,-,16,16,-
97學年,雲林縣,73,64,9,57,52,5,-,-,-,16,12,4,-,-,-,-,-,-,-,-,-,-,-,-,16,12,4,-,-,-,-,-,-,16,12,4,57,52,5,57,52,5,-,-,-,-,-,-
97學年,嘉義縣,60,52,8,18,15,3,-,-,-,42,37,5,-,-,-,-,-,-,-,-,-,-,-,-,33,30,3,-,-,-,-,-,-,33,30,3,27,22,5,18,15,3,-,-,-,9,7,2
97學年,臺南縣,159,136,23,10,8,2,-,-,-,149,128,21,9,8,1,-,-,-,-,-,-,9,8,1,29,25,4,-,-,-,-,-,-,29,25,4,121,103,18,10,8,2,-,-,-,111,95,16
97學年,高雄縣,155,124,31,12,10,2,-,-,-,143,114,29,16,14,2,-,-,-,-,-,-,16,14,2,28,21,7,-,-,-,-,-,-,28,21,7,111,89,22,12,10,2,-,-,-,99,79,20
97學年,屏東縣,114,94,20,43,34,9,-,-,-,71,60,11,11,9,2,-,-,-,-,-,-,11,9,2,57,48,9,10,8,2,-,-,-,47,40,7,46,37,9,33,26,7,-,-,-,13,11,2
97學年,臺東縣,27,21,6,27,21,6,-,-,-,-,-,-,13,10,3,13,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,11,3,14,11,3,-,-,-,-,-,-
97學年,花蓮縣,63,43,20,14,11,3,-,-,-,49,32,17,-,-,-,-,-,-,-,-,-,-,-,-,28,19,9,-,-,-,-,-,-,28,19,9,35,24,11,14,11,3,-,-,-,21,13,8
97學年,澎湖縣,10,9,1,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,1,10,9,1,-,-,-,-,-,-
97學年,基隆市,32,22,10,12,10,2,-,-,-,20,12,8,-,-,-,-,-,-,-,-,-,-,-,-,20,12,8,-,-,-,-,-,-,20,12,8,12,10,2,12,10,2,-,-,-,-,-,-
97學年,新竹市,82,67,15,35,28,7,-,-,-,47,39,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,67,15,35,28,7,-,-,-,47,39,8
97學年,臺中市,195,161,34,70,57,13,-,-,-,125,104,21,9,3,6,9,3,6,-,-,-,-,-,-,31,27,4,15,14,1,-,-,-,16,13,3,155,131,24,46,40,6,-,-,-,109,91,18
97學年,嘉義市,42,32,10,20,16,4,-,-,-,22,16,6,8,3,5,-,-,-,-,-,-,8,3,5,14,13,1,-,-,-,-,-,-,14,13,1,20,16,4,20,16,4,-,-,-,-,-,-
97學年,臺南市,78,60,18,52,38,14,-,-,-,26,22,4,10,5,5,10,5,5,-,-,-,-,-,-,14,11,3,-,-,-,-,-,-,14,11,3,54,44,10,42,33,9,-,-,-,12,11,1
97學年,金門縣,11,9,2,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
