學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
101學年,數學及統計學門,15669,10514,5155,-,-,-,-,-,-,-,-,-,-,-,-,13111,8813,4298,2252,1456,796,306,245,61
101學年,電算機學門,76079,50685,25394,4571,2706,1865,1131,627,504,-,-,-,2227,1455,772,61457,41130,20327,6182,4401,1781,511,366,145
101學年,工程學門,285630,249740,35890,5566,5117,449,1482,1332,150,105,86,19,4212,3595,617,211864,186199,25665,50753,43110,7643,11648,10301,1347
101學年,建築及都市規劃學門,15391,8269,7122,178,135,43,163,103,60,-,-,-,142,78,64,12021,6313,5708,2609,1447,1162,278,193,85
101學年,農業科學學門,26458,13125,13333,165,69,96,175,91,84,-,-,-,4,4,-,21438,10441,10997,3810,1985,1825,866,535,331
101學年,獸醫學門,1867,1000,867,-,-,-,-,-,-,-,-,-,-,-,-,1370,687,683,357,220,137,140,93,47
101學年,醫藥衛生學門,122848,33954,88894,43285,5032,38253,1076,606,470,47,29,18,15409,1176,14233,52249,22693,29556,7217,2437,4780,3565,1981,1584
101學年,社會服務學門,31684,4266,27418,2783,139,2644,1777,193,1584,-,-,-,3394,261,3133,21656,3269,18387,1976,375,1601,98,29,69
101學年,民生學門,142239,57438,84801,12738,3367,9371,3925,1728,2197,20,7,13,4434,1636,2798,115928,48252,67676,5090,2381,2709,104,67,37
101學年,運輸服務學門,8833,4665,4168,306,200,106,152,120,32,73,65,8,370,212,158,6882,3406,3476,955,592,363,95,70,25
101學年,環境保護學門,2974,1890,1084,-,-,-,-,-,-,-,-,-,1,1,-,2264,1475,789,677,395,282,32,19,13
101學年,軍警國防安全學門,755,683,72,-,-,-,-,-,-,-,-,-,-,-,-,719,652,67,36,31,5,-,-,-
101學年,其他學門,1710,813,897,-,-,-,-,-,-,-,-,-,-,-,-,1547,758,789,147,48,99,16,7,9
100學年,總計,1352084,683367,668717,88070,21650,66420,13230,6377,6853,472,296,176,45575,14411,31164,986938,512749,474189,184113,104188,79925,33686,23696,9990
100學年,教育學門,40693,14191,26502,-,-,-,-,-,-,-,-,-,84,1,83,21701,7571,14130,16239,5315,10924,2669,1304,1365
100學年,藝術學門,27202,7695,19507,2224,547,1677,20,10,10,-,-,-,710,82,628,17366,5049,12317,6551,1861,4690,331,146,185
100學年,人文學門,116266,32205,84061,7817,1369,6448,182,59,123,-,-,-,2567,546,2021,89884,24728,65156,13453,4401,9052,2363,1102,1261
100學年,設計學門,54721,21283,33438,1695,684,1011,247,143,104,91,36,55,1075,469,606,47496,17842,29654,3690,1860,1830,427,249,178
100學年,社會及行為科學學門,49227,21278,27949,-,-,-,-,-,-,-,-,-,19,9,10,33904,14058,19846,13512,6105,7407,1792,1106,686
100學年,傳播學門,27018,10135,16883,-,-,-,3,2,1,30,13,17,239,106,133,23725,8847,14878,2922,1120,1802,99,47,52
100學年,商業及管理學門,239452,95961,143491,7743,1979,5764,2064,1057,1007,64,36,28,7911,2946,4965,188781,72931,115850,29993,15259,14734,2896,1753,1143
100學年,法律學門,20358,10012,10346,-,-,-,-,-,-,25,17,8,189,118,71,14267,6566,7701,5607,3110,2497,270,201,69
100學年,生命科學學門,23169,13041,10128,34,22,12,-,-,-,-,-,-,327,98,229,15697,8888,6809,4875,2585,2290,2236,1448,788
100學年,自然科學學門,24025,17909,6116,-,-,-,-,-,-,-,-,-,-,-,-,16549,12410,4139,5322,3770,1552,2154,1729,425
100學年,數學及統計學門,15910,10645,5265,-,-,-,-,-,-,-,-,-,-,-,-,13298,8919,4379,2285,1464,821,327,262,65
100學年,電算機學門,77611,50732,26879,5135,3024,2111,1307,779,528,16,16,-,2873,1857,1016,61422,40115,21307,6304,4535,1769,554,406,148
100學年,工程學門,295319,258892,36427,6241,5705,536,1656,1491,165,114,95,19,5467,4802,665,219043,192888,26155,50400,42913,7487,12398,10998,1400
100學年,建築及都市規劃學門,15631,8477,7154,201,153,48,204,139,65,-,-,-,160,100,60,11899,6288,5611,2871,1588,1283,296,209,87
100學年,農業科學學門,26446,13220,13226,139,58,81,182,101,81,-,-,-,45,27,18,21465,10623,10842,3758,1884,1874,857,527,330
100學年,獸醫學門,1892,996,896,-,-,-,-,-,-,-,-,-,-,-,-,1338,682,656,390,207,183,164,107,57
100學年,醫藥衛生學門,122639,33357,89282,43391,4876,38515,1160,588,572,47,27,20,15887,1037,14850,51343,22428,28915,7285,2477,4808,3526,1924,1602
100學年,社會服務學門,31134,3979,27155,2411,119,2292,1906,172,1734,-,-,-,2989,212,2777,21801,3098,18703,1934,356,1578,93,22,71
100學年,民生學門,128938,51158,77780,10747,2916,7831,4128,1708,2420,36,14,22,4632,1755,2877,104467,42442,62025,4846,2271,2575,82,52,30
100學年,運輸服務學門,8921,4751,4170,292,198,94,171,128,43,49,42,7,401,246,155,6943,3453,3490,958,607,351,107,77,30
100學年,環境保護學門,3239,2003,1236,-,-,-,-,-,-,-,-,-,-,-,-,2472,1563,909,739,422,317,28,18,10
100學年,軍警國防安全學門,681,623,58,-,-,-,-,-,-,-,-,-,-,-,-,650,597,53,31,26,5,-,-,-
100學年,其他學門,1592,824,768,-,-,-,-,-,-,-,-,-,-,-,-,1427,763,664,148,52,96,17,9,8
99學年,總計,1343603,681054,662549,86971,21975,64996,15818,7580,8238,423,262,161,50669,17346,33323,970544,504699,465845,185000,104894,80106,34178,24298,9880
