學年別,學科類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
100學年,總計,366449,203473,162976,131943,74320,57623,120191,66511,53680,113230,62060,51170,851,407,444,234,175,59,109837,59793,50044,105253,62109,43144,36571,21986,14585,34688,20390,14298,33922,19679,14243,-,-,-,72,54,18,33025,18586,14439,27712,17581,10131,9350,6034,3316,8956,5666,3290,8721,5525,3196,678,351,327,7,5,2,8327,5060,3267,499,198,301,354,130,224,71,35,36,74,33,41,-,-,-,-,-,-,-,-,-,232985,123585,109400,85668,46170,39498,76476,40420,36056,70513,36823,33690,173,56,117,155,116,39,68485,36147,32338
100學年,農業,10612,4924,5688,3643,1727,1916,3443,1608,1835,3520,1584,1936,-,-,-,6,5,1,3363,1415,1948,10228,4745,5483,3507,1657,1850,3320,1550,1770,3395,1533,1862,-,-,-,6,5,1,3246,1365,1881,384,179,205,136,70,66,123,58,65,125,51,74,-,-,-,-,-,-,117,50,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,工業,129116,116390,12726,46150,41593,4557,42376,38206,4170,40212,36241,3971,306,282,24,72,68,4,41153,36862,4291,51582,44087,7495,18096,15533,2563,16967,14504,2463,16483,14015,2468,-,-,-,36,35,1,16233,13665,2568,15859,14268,1591,5457,4902,555,5110,4579,531,4981,4501,480,306,282,24,5,4,1,4765,4238,527,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61675,58035,3640,22597,21158,1439,20299,19123,1176,18748,17725,1023,-,-,-,31,29,2,20155,18959,1196
100學年,商業,123089,42280,80809,43384,15692,27692,40551,13670,26881,38545,12759,25786,545,125,420,64,34,30,37256,11609,25647,32961,10037,22924,11300,3622,7678,10940,3271,7669,10698,3135,7563,-,-,-,23,9,14,10299,2708,7591,10527,2964,7563,3441,1013,2428,3405,965,2440,3307,916,2391,372,69,303,2,1,1,3148,721,2427,499,198,301,354,130,224,71,35,36,74,33,41,-,-,-,-,-,-,-,-,-,79102,29081,50021,28289,10927,17362,26135,9399,16736,24466,8675,15791,173,56,117,39,24,15,23809,8180,15629
100學年,家事,93976,34777,59199,34847,13224,21623,30768,11423,19345,28272,10065,18207,-,-,-,89,65,24,25678,8670,17008,7736,1249,6487,2698,447,2251,2548,418,2130,2486,382,2104,-,-,-,4,2,2,2482,323,2159,942,170,772,316,49,267,318,64,254,308,57,251,-,-,-,-,-,-,297,51,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85298,33358,51940,31833,12728,19105,27902,10941,16961,25478,9626,15852,-,-,-,85,63,22,22899,8296,14603
100學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,海事,2454,2029,425,878,744,134,807,657,150,766,625,141,-,-,-,3,3,-,654,502,152,2268,1852,416,818,685,133,737,591,146,710,573,137,-,-,-,3,3,-,631,481,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186,177,9,60,59,1,70,66,4,56,52,4,-,-,-,-,-,-,23,21,2
100學年,劇藝,7202,3073,4129,3041,1340,1701,2246,947,1299,1915,786,1129,-,-,-,-,-,-,1733,735,998,478,139,339,152,42,110,176,56,120,150,41,109,-,-,-,-,-,-,134,44,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6724,2934,3790,2889,1298,1591,2070,891,1179,1765,745,1020,-,-,-,-,-,-,1599,691,908
99學年,總計,362514,201424,161090,130424,73387,57037,117642,65050,52592,113264,62254,51010,832,440,392,352,293,59,104927,57841,47086,104327,60751,43576,35777,21175,14602,34524,20167,14357,33884,19293,14591,-,-,-,142,116,26,32472,18567,13905,25384,16530,8854,8510,5601,2909,8182,5414,2768,8007,5141,2866,672,363,309,13,11,2,7643,4805,2838,2351,848,1503,824,321,503,800,286,514,725,240,485,-,-,-,2,1,1,660,186,474,230452,123295,107157,85313,46290,39023,74136,39183,34953,70648,37580,33068,160,77,83,195,165,30,64152,34283,29869
99學年,農業,9868,4835,5033,3307,1697,1610,3339,1636,1703,3207,1491,1716,-,-,-,15,11,4,3066,1431,1635,9498,4671,4827,3179,1636,1543,3212,1583,1629,3092,1441,1651,-,-,-,15,11,4,2955,1393,1562,370,164,206,128,61,67,127,53,74,115,50,65,-,-,-,-,-,-,111,38,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,工業,138354,120422,17932,48522,42359,6163,44271,38548,5723,45014,39031,5983,378,324,54,169,160,9,42805,37342,5463,52705,43871,8834,18057,15091,2966,17340,14455,2885,17214,14237,2977,-,-,-,94,88,6,16503,13833,2670,16232,14179,2053,5498,4788,710,5264,4628,636,5153,4471,682,306,282,24,11,10,1,4854,4216,638,1144,569,575,390,203,187,375,179,196,377,186,191,-,-,-,2,1,1,330,129,201,68273,61803,6470,24577,22277,2300,21292,19286,2006,22270,20137,2133,72,42,30,62,61,1,21118,19164,1954
99學年,商業,172176,67445,104731,62956,25749,37207,56227,22136,34091,52396,19332,33064,454,116,338,143,112,31,47178,17087,30091,33413,9510,23903,11514,3447,8067,11097,3234,7863,10783,2821,7962,-,-,-,19,8,11,10306,2626,7680,7853,2039,5814,2563,698,1865,2485,684,1801,2437,575,1862,366,81,285,2,1,1,2398,517,1881,1207,279,928,434,118,316,425,107,318,348,54,294,-,-,-,-,-,-,330,57,273,129703,55617,74086,48445,21486,26959,42220,18111,24109,38828,15882,22946,88,35,53,122,103,19,34144,13887,20257
99學年,家事,32139,3577,28562,11830,1600,10230,10561,1056,9505,9734,919,8815,-,-,-,14,2,12,9355,788,8567,4763,283,4480,1631,118,1513,1558,88,1470,1571,76,1495,-,-,-,3,1,2,1581,58,1523,929,148,781,321,54,267,306,49,257,302,45,257,-,-,-,-,-,-,280,34,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26447,3146,23301,9878,1428,8450,8697,919,7778,7861,798,7063,-,-,-,11,1,10,7494,696,6798
99學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,海事,3642,2422,1220,1294,897,397,1237,831,406,1107,690,417,-,-,-,4,4,-,998,621,377,3476,2265,1211,1219,825,394,1169,767,402,1084,669,415,-,-,-,4,4,-,998,621,377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,157,9,75,72,3,68,64,4,23,21,2,-,-,-,-,-,-,-,-,-
99學年,劇藝,6335,2723,3612,2515,1085,1430,2007,843,1164,1806,791,1015,-,-,-,7,4,3,1525,572,953,472,151,321,177,58,119,148,40,108,140,49,91,-,-,-,7,4,3,129,36,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5863,2572,3291,2338,1027,1311,1859,803,1056,1666,742,924,-,-,-,-,-,-,1396,536,860
98學年,總計,354608,197745,156863,127244,71304,55940,117114,64793,52321,107588,59865,47723,810,389,421,1852,1394,458,103064,56560,46504,103506,60033,43473,35351,20729,14622,34399,19694,14705,33149,19119,14030,-,-,-,607,491,116,31923,18225,13698,25405,16461,8944,8445,5615,2830,8191,5286,2905,7993,5135,2858,652,314,338,124,111,13,7467,4674,2793,2262,763,1499,818,298,520,730,242,488,714,223,491,-,-,-,-,-,-,668,192,476,223435,120488,102947,82630,44662,37968,73794,39571,34223,65732,35388,30344,158,75,83,1121,792,329,63006,33469,29537
98學年,農業,9881,4752,5129,3421,1697,1724,3255,1530,1725,3142,1485,1657,-,-,-,63,40,23,2982,1380,1602,9517,4604,4913,3293,1644,1649,3135,1475,1660,3028,1445,1583,-,-,-,61,40,21,2875,1342,1533,364,148,216,128,53,75,120,55,65,114,40,74,-,-,-,2,-,2,107,38,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,工業,138703,121046,17657,47272,41337,5935,46343,40241,6102,43937,38429,5508,379,305,74,772,734,38,42500,37091,5409,52584,43875,8709,17762,14794,2968,17513,14505,3008,16936,14225,2711,-,-,-,373,351,22,16093,13478,2615,16263,14226,2037,5455,4795,660,5283,4586,697,5131,4488,643,289,256,33,105,101,4,4757,4100,657,1126,527,599,385,186,199,379,188,191,362,153,209,-,-,-,-,-,-,334,137,197,68730,62418,6312,23670,21562,2108,23168,20962,2206,21508,19563,1945,90,49,41,294,282,12,21316,19376,1940
98學年,商業,163973,63565,100408,60600,24882,35718,54165,20393,33772,48200,17778,30422,431,84,347,577,428,149,44876,16183,28693,32644,8921,23723,11292,3331,7961,10880,2875,8005,10406,2680,7726,-,-,-,66,35,31,10267,2689,7578,7855,1942,5913,2546,713,1833,2477,596,1881,2452,565,1887,363,58,305,17,10,7,2317,499,1818,1136,236,900,433,112,321,351,54,297,352,70,282,-,-,-,-,-,-,334,55,279,122338,52466,69872,46329,20726,25603,40457,16868,23589,34990,14463,20527,68,26,42,494,383,111,31958,12940,19018
98學年,家事,32483,3485,28998,12366,1512,10854,10283,1061,9222,9623,868,8755,-,-,-,211,44,167,10197,720,9477,4815,244,4571,1599,93,1506,1593,80,1513,1600,66,1534,-,-,-,23,5,18,1599,60,1539,923,145,778,316,54,262,311,49,262,296,42,254,-,-,-,-,-,-,286,37,249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26745,3096,23649,10451,1365,9086,8379,932,7447,7727,760,6967,-,-,-,188,39,149,8312,623,7689
98學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,海事,3619,2356,1263,1335,904,431,1157,729,428,1048,666,382,-,-,-,79,57,22,982,624,358,3514,2258,1256,1253,827,426,1134,708,426,1048,666,382,-,-,-,79,57,22,982,624,358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,98,7,82,77,5,23,21,2,-,-,-,-,-,-,-,-,-,-,-,-
98學年,劇藝,5949,2541,3408,2250,972,1278,1911,839,1072,1638,639,999,-,-,-,150,91,59,1527,562,965,432,131,301,152,40,112,144,51,93,131,37,94,-,-,-,5,3,2,107,32,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5517,2410,3107,2098,932,1166,1767,788,979,1507,602,905,-,-,-,145,88,57,1420,530,890
97學年,總計,346563,193827,152736,126471,71028,55443,111367,62314,49053,105542,58395,47147,1029,521,508,2154,1569,585,102190,55649,46541,102292,59181,43111,35121,20200,14921,33670,19513,14157,32632,18797,13835,-,-,-,869,671,198,31312,17688,13624,25241,16145,9096,8466,5493,2973,8160,5259,2901,7808,4928,2880,676,345,331,131,120,11,7415,4594,2821,2177,688,1489,738,242,496,730,233,497,709,213,496,-,-,-,-,-,-,682,200,482,216853,117813,99040,82146,45093,37053,68807,37309,31498,64393,34457,29936,353,176,177,1154,778,376,62781,33167,29614
97學年,農業,9718,4608,5110,3301,1545,1756,3216,1536,1680,3095,1449,1646,-,-,-,106,78,28,2904,1307,1597,9364,4471,4893,3181,1490,1691,3096,1495,1601,2981,1408,1573,-,-,-,106,78,28,2800,1281,1519,354,137,217,120,55,65,120,41,79,114,41,73,-,-,-,-,-,-,104,26,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,工業,139893,122323,17570,49710,43378,6332,45240,39622,5618,43554,38068,5486,437,371,66,952,884,68,42878,37674,5204,52041,43599,8442,17882,14839,3043,17199,14472,2727,16449,13824,2625,-,-,-,511,464,47,15550,13135,2415,16140,14059,2081,5477,4759,718,5254,4599,655,4980,4309,671,311,280,31,118,112,6,4665,4028,637,1115,500,615,383,186,197,373,162,211,359,152,207,-,-,-,-,-,-,344,146,198,70597,64165,6432,25968,23594,2374,22414,20389,2025,21766,19783,1983,126,91,35,323,308,15,22319,20365,1954
97學年,商業,155117,59050,96067,58253,22928,35325,49869,18751,31118,45699,16734,28965,558,150,408,738,487,251,43753,14997,28756,32060,8508,23552,11005,2939,8066,10517,2734,7783,10393,2766,7627,-,-,-,145,69,76,10090,2508,7582,7819,1803,6016,2546,626,1920,2484,574,1910,2411,530,1881,365,65,300,13,8,5,2374,502,1872,1062,188,874,355,56,299,357,71,286,350,61,289,-,-,-,-,-,-,338,54,284,114176,48551,65625,44347,19307,25040,36511,15372,21139,32545,13377,19168,193,85,108,580,410,170,30951,11933,19018
97學年,家事,32739,3259,29480,11775,1398,10377,10196,994,9202,10508,829,9679,34,-,34,226,38,188,10061,516,9545,5030,288,4742,1693,112,1581,1644,82,1562,1659,86,1573,-,-,-,34,8,26,1575,45,1530,928,146,782,323,53,270,302,45,257,303,48,255,-,-,-,-,-,-,272,38,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26781,2825,23956,9759,1233,8526,8250,867,7383,8546,695,7851,34,-,34,192,30,162,8214,433,7781
97學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,海事,3428,2213,1215,1234,790,444,1082,692,390,1045,682,363,-,-,-,67,49,18,1171,687,484,3406,2192,1214,1212,769,443,1082,692,390,1045,682,363,-,-,-,67,49,18,1171,687,484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,21,1,22,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,劇藝,5668,2374,3294,2198,989,1209,1764,719,1045,1641,633,1008,-,-,-,65,33,32,1423,468,955,391,123,268,148,51,97,132,38,94,105,31,74,-,-,-,6,3,3,126,32,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5277,2251,3026,2050,938,1112,1632,681,951,1536,602,934,-,-,-,59,30,29,1297,436,861
""
