學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
103學年,臺北市,270090,126865,143225,109768,56203,53565,7426,3096,4330,152896,67566,85330,11476,3351,8125,1982,484,1498,-,-,-,9494,2867,6627,2174,1045,1129,560,238,322,-,-,-,1614,807,807,196258,89708,106550,62042,30165,31877,4971,2275,2696,129245,57268,71977,49060,25517,23543,35611,18965,16646,2219,717,1502,11230,5835,5395,11122,7244,3878,9573,6351,3222,236,104,132,1313,789,524
103學年,臺中市,193300,90894,102406,48600,24759,23841,-,-,-,144700,66135,78565,4639,912,3727,3903,753,3150,-,-,-,736,159,577,811,281,530,468,81,387,-,-,-,343,200,143,165654,77083,88571,34601,18106,16495,-,-,-,131053,58977,72076,19342,10641,8701,8276,4844,3432,-,-,-,11066,5797,5269,2854,1977,877,1352,975,377,-,-,-,1502,1002,500
103學年,臺南市,136308,67071,69237,31278,17278,14000,-,-,-,105030,49793,55237,9326,1454,7872,1921,157,1764,-,-,-,7405,1297,6108,648,299,349,173,6,167,-,-,-,475,293,182,108864,54861,54003,16303,9263,7040,-,-,-,92561,45598,46963,14611,8406,6205,10154,5905,4249,-,-,-,4457,2501,1956,2859,2051,808,2727,1947,780,-,-,-,132,104,28
103學年,高雄市,150149,74452,75697,54343,30671,23672,-,-,-,95806,43781,52025,16610,3803,12807,719,501,218,-,-,-,15891,3302,12589,1133,730,403,243,101,142,-,-,-,890,629,261,112988,58489,54499,38595,21167,17428,-,-,-,74393,37322,37071,16978,9798,7180,12868,7589,5279,-,-,-,4110,2209,1901,2440,1632,808,1918,1313,605,-,-,-,522,319,203
103學年,宜蘭縣,15095,7422,7673,5533,3604,1929,-,-,-,9562,3818,5744,4542,1286,3256,-,-,-,-,-,-,4542,1286,3256,20,18,2,-,-,-,-,-,-,20,18,2,8859,5113,3746,4808,3083,1725,-,-,-,4051,2030,2021,1614,969,645,712,511,201,-,-,-,902,458,444,60,36,24,13,10,3,-,-,-,47,26,21
103學年,桃園縣,111459,59831,51628,14104,9417,4687,-,-,-,97355,50414,46941,7455,661,6794,-,-,-,-,-,-,7455,661,6794,520,309,211,-,-,-,-,-,-,520,309,211,87162,48000,39162,7690,4975,2715,-,-,-,79472,43025,36447,13787,8952,4835,5108,3452,1656,-,-,-,8679,5500,3179,2535,1909,626,1306,990,316,-,-,-,1229,919,310
103學年,新竹縣,17731,10665,7066,-,-,-,-,-,-,17731,10665,7066,1273,718,555,-,-,-,-,-,-,1273,718,555,218,92,126,-,-,-,-,-,-,218,92,126,15606,9369,6237,-,-,-,-,-,-,15606,9369,6237,634,486,148,-,-,-,-,-,-,634,486,148,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,22361,10750,11611,7993,5496,2497,-,-,-,14368,5254,9114,5989,1308,4681,-,-,-,-,-,-,5989,1308,4681,667,221,446,-,-,-,-,-,-,667,221,446,14966,8750,6216,7521,5165,2356,-,-,-,7445,3585,3860,733,466,267,466,326,140,-,-,-,267,140,127,6,5,1,6,5,1,-,-,-,-,-,-
103學年,彰化縣,39957,22871,17086,8085,4177,3908,-,-,-,31872,18694,13178,-,-,-,-,-,-,-,-,-,-,-,-,72,59,13,-,-,-,-,-,-,72,59,13,34182,19868,14314,4858,2539,2319,-,-,-,29324,17329,11995,5076,2537,2539,2762,1354,1408,-,-,-,2314,1183,1131,627,407,220,465,284,181,-,-,-,162,123,39
103學年,南投縣,12328,7275,5053,5982,2947,3035,-,-,-,6346,4328,2018,1129,873,256,-,-,-,-,-,-,1129,873,256,18,11,7,-,-,-,-,-,-,18,11,7,9124,5290,3834,4180,1961,2219,-,-,-,4944,3329,1615,1733,916,817,1478,801,677,-,-,-,255,115,140,324,185,139,324,185,139,-,-,-,-,-,-
103學年,雲林縣,26166,16461,9705,19808,13386,6422,-,-,-,6358,3075,3283,-,-,-,-,-,-,-,-,-,-,-,-,392,200,192,-,-,-,-,-,-,392,200,192,21196,13191,8005,15379,10393,4986,-,-,-,5817,2798,3019,4080,2723,1357,3931,2646,1285,-,-,-,149,77,72,498,347,151,498,347,151,-,-,-,-,-,-
103學年,嘉義縣,25481,14297,11184,11838,6619,5219,-,-,-,13643,7678,5965,-,-,-,-,-,-,-,-,-,-,-,-,42,30,12,-,-,-,-,-,-,42,30,12,18799,10506,8293,6631,3504,3127,-,-,-,12168,7002,5166,5991,3314,2677,4582,2685,1897,-,-,-,1409,629,780,649,447,202,625,430,195,-,-,-,24,17,7
103學年,屏東縣,42577,17312,25265,20233,9396,10837,-,-,-,22344,7916,14428,7932,1717,6215,-,-,-,-,-,-,7932,1717,6215,488,201,287,-,-,-,-,-,-,488,201,287,29886,13266,16620,16457,7486,8971,-,-,-,13429,5780,7649,3984,1934,2050,3489,1716,1773,-,-,-,495,218,277,287,194,93,287,194,93,-,-,-,-,-,-
103學年,臺東縣,5882,2885,2997,5882,2885,2997,-,-,-,-,-,-,613,319,294,613,319,294,-,-,-,-,-,-,615,390,225,615,390,225,-,-,-,-,-,-,3676,1827,1849,3676,1827,1849,-,-,-,-,-,-,934,332,602,934,332,602,-,-,-,-,-,-,44,17,27,44,17,27,-,-,-,-,-,-
103學年,花蓮縣,19915,9350,10565,10093,5207,4886,-,-,-,9822,4143,5679,1399,186,1213,-,-,-,-,-,-,1399,186,1213,348,175,173,-,-,-,-,-,-,348,175,173,14792,7160,7632,7302,3644,3658,-,-,-,7490,3516,3974,2891,1526,1365,2408,1314,1094,-,-,-,483,212,271,485,303,182,383,249,134,-,-,-,102,54,48
103學年,澎湖縣,3014,1659,1355,3014,1659,1355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,12,5,17,12,5,-,-,-,-,-,-,2865,1573,1292,2865,1573,1292,-,-,-,-,-,-,132,74,58,132,74,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,15693,8450,7243,8371,5843,2528,-,-,-,7322,2607,4715,2549,738,1811,-,-,-,-,-,-,2549,738,1811,-,-,-,-,-,-,-,-,-,-,-,-,10711,6022,4689,6045,4185,1860,-,-,-,4666,1837,2829,2099,1420,679,1992,1388,604,-,-,-,107,32,75,334,270,64,334,270,64,-,-,-,-,-,-
103學年,新竹市,52634,31243,21391,30417,19611,10806,-,-,-,22217,11632,10585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34513,19157,15356,14247,8592,5655,-,-,-,20266,10565,9701,14142,8929,5213,12339,7969,4370,-,-,-,1803,960,843,3979,3157,822,3831,3050,781,-,-,-,148,107,41
103學年,嘉義市,18928,8054,10874,12758,6437,6321,-,-,-,6170,1617,4553,3469,466,3003,-,-,-,-,-,-,3469,466,3003,73,26,47,-,-,-,-,-,-,73,26,47,12603,6214,6389,9975,5089,4886,-,-,-,2628,1125,1503,2589,1249,1340,2589,1249,1340,-,-,-,-,-,-,194,99,95,194,99,95,-,-,-,-,-,-
103學年,金門縣,4113,2185,1928,4113,2185,1928,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3864,2026,1838,3864,2026,1838,-,-,-,-,-,-,249,159,90,249,159,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,1345973,673876,672097,428300,234924,193376,7127,2986,4141,910546,435966,474580,90398,21900,68498,9039,2121,6918,-,-,-,81359,19779,61580,11261,5528,5733,2387,936,1451,-,-,-,8874,4592,4282,1035534,524160,511374,276483,147997,128486,4834,2201,2633,754217,373962,380255,177305,100398,76907,115252,66116,49136,2075,692,1383,59978,33590,26388,31475,21890,9585,25139,17754,7385,218,93,125,6118,4043,2075
102學年,新北市,157659,77682,79977,14984,5878,9106,-,-,-,142675,71804,70871,10979,3742,7237,-,-,-,-,-,-,10979,3742,7237,1850,886,964,-,-,-,-,-,-,1850,886,964,131034,65663,65371,11829,4432,7397,-,-,-,119205,61231,57974,12560,6637,5923,2901,1284,1617,-,-,-,9659,5353,4306,1236,754,482,254,162,92,-,-,-,982,592,390
102學年,臺北市,269300,127203,142097,109609,56235,53374,7127,2986,4141,152564,67982,84582,11423,3328,8095,2106,488,1618,-,-,-,9317,2840,6477,2287,1044,1243,592,243,349,-,-,-,1695,801,894,194617,89364,105253,61379,29861,31518,4834,2201,2633,128404,57302,71102,49474,25902,23572,35549,18966,16583,2075,692,1383,11850,6244,5606,11499,7565,3934,9983,6677,3306,218,93,125,1298,795,503
102學年,臺中市,192854,91323,101531,48397,24713,23684,-,-,-,144457,66610,77847,4916,1001,3915,3799,733,3066,-,-,-,1117,268,849,998,333,665,680,154,526,-,-,-,318,179,139,164151,76843,87308,34150,17849,16301,-,-,-,130001,58994,71007,19899,11126,8773,8355,4953,3402,-,-,-,11544,6173,5371,2890,2020,870,1413,1024,389,-,-,-,1477,996,481
102學年,臺南市,137689,67997,69692,31651,17520,14131,-,-,-,106038,50477,55561,9239,1404,7835,1875,128,1747,-,-,-,7364,1276,6088,580,236,344,189,15,174,-,-,-,391,221,170,109960,55503,54457,16445,9362,7083,-,-,-,93515,46141,47374,14878,8672,6206,10219,5922,4297,-,-,-,4659,2750,1909,3032,2182,850,2923,2093,830,-,-,-,109,89,20
102學年,高雄市,149479,74219,75260,54425,30655,23770,-,-,-,95054,43564,51490,16550,3704,12846,698,477,221,-,-,-,15852,3227,12625,1190,736,454,305,134,171,-,-,-,885,602,283,111667,57798,53869,38190,20842,17348,-,-,-,73477,36956,36521,17633,10324,7309,13295,7858,5437,-,-,-,4338,2466,1872,2439,1657,782,1937,1344,593,-,-,-,502,313,189
102學年,宜蘭縣,15681,7922,7759,5531,3661,1870,-,-,-,10150,4261,5889,4822,1429,3393,-,-,-,-,-,-,4822,1429,3393,80,57,23,-,-,-,-,-,-,80,57,23,9056,5392,3664,4822,3156,1666,-,-,-,4234,2236,1998,1674,1018,656,700,498,202,-,-,-,974,520,454,49,26,23,9,7,2,-,-,-,40,19,21
102學年,桃園縣,112302,60598,51704,14318,9609,4709,-,-,-,97984,50989,46995,7716,613,7103,-,-,-,-,-,-,7716,613,7103,635,397,238,-,-,-,-,-,-,635,397,238,87124,48235,38889,7698,5002,2696,-,-,-,79426,43233,36193,14186,9356,4830,5234,3545,1689,-,-,-,8952,5811,3141,2641,1997,644,1386,1062,324,-,-,-,1255,935,320
102學年,新竹縣,18152,10808,7344,-,-,-,-,-,-,18152,10808,7344,1468,836,632,-,-,-,-,-,-,1468,836,632,237,90,147,-,-,-,-,-,-,237,90,147,15786,9384,6402,-,-,-,-,-,-,15786,9384,6402,661,498,163,-,-,-,-,-,-,661,498,163,-,-,-,-,-,-,-,-,-,-,-,-
102學年,苗栗縣,23570,11478,12092,8139,5666,2473,-,-,-,15431,5812,9619,5879,1310,4569,-,-,-,-,-,-,5879,1310,4569,821,305,516,-,-,-,-,-,-,821,305,516,16119,9388,6731,7650,5322,2328,-,-,-,8469,4066,4403,744,469,275,482,338,144,-,-,-,262,131,131,7,6,1,7,6,1,-,-,-,-,-,-
102學年,彰化縣,39736,23035,16701,8121,4219,3902,-,-,-,31615,18816,12799,-,-,-,-,-,-,-,-,-,-,-,-,133,97,36,-,-,-,-,-,-,133,97,36,33830,19874,13956,4815,2494,2321,-,-,-,29015,17380,11635,5169,2670,2499,2865,1454,1411,-,-,-,2304,1216,1088,604,394,210,441,271,170,-,-,-,163,123,40
102學年,南投縣,12392,7421,4971,5900,2956,2944,-,-,-,6492,4465,2027,1265,956,309,-,-,-,-,-,-,1265,956,309,11,5,6,-,-,-,-,-,-,11,5,6,8958,5246,3712,4015,1877,2138,-,-,-,4943,3369,1574,1845,1023,822,1572,888,684,-,-,-,273,135,138,313,191,122,313,191,122,-,-,-,-,-,-
102學年,雲林縣,26151,16520,9631,19886,13420,6466,-,-,-,6265,3100,3165,-,-,-,-,-,-,-,-,-,-,-,-,610,331,279,-,-,-,-,-,-,610,331,279,20747,12920,7827,15235,10233,5002,-,-,-,5512,2687,2825,4285,2906,1379,4142,2824,1318,-,-,-,143,82,61,509,363,146,509,363,146,-,-,-,-,-,-
102學年,嘉義縣,25492,14352,11140,11989,6669,5320,-,-,-,13503,7683,5820,-,-,-,-,-,-,-,-,-,-,-,-,126,80,46,-,-,-,-,-,-,126,80,46,18445,10332,8113,6618,3464,3154,-,-,-,11827,6868,4959,6227,3457,2770,4704,2742,1962,-,-,-,1523,715,808,694,483,211,667,463,204,-,-,-,27,20,7
102學年,屏東縣,44184,18455,25729,20251,9405,10846,-,-,-,23933,9050,14883,8236,1926,6310,-,-,-,-,-,-,8236,1926,6310,599,292,307,-,-,-,-,-,-,599,292,307,30868,13920,16948,16172,7299,8873,-,-,-,14696,6621,8075,4200,2131,2069,3798,1920,1878,-,-,-,402,211,191,281,186,95,281,186,95,-,-,-,-,-,-
102學年,臺東縣,5997,2996,3001,5997,2996,3001,-,-,-,-,-,-,561,295,266,561,295,266,-,-,-,-,-,-,588,363,225,588,363,225,-,-,-,-,-,-,3712,1909,1803,3712,1909,1803,-,-,-,-,-,-,1092,412,680,1092,412,680,-,-,-,-,-,-,44,17,27,44,17,27,-,-,-,-,-,-
102學年,花蓮縣,20291,9620,10671,10186,5252,4934,-,-,-,10105,4368,5737,1326,160,1166,-,-,-,-,-,-,1326,160,1166,358,202,156,-,-,-,-,-,-,358,202,156,14956,7287,7669,7098,3519,3579,-,-,-,7858,3768,4090,3176,1680,1496,2720,1489,1231,-,-,-,456,191,265,475,291,184,368,244,124,-,-,-,107,47,60
102學年,澎湖縣,3008,1620,1388,3008,1620,1388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,27,6,33,27,6,-,-,-,-,-,-,2820,1509,1311,2820,1509,1311,-,-,-,-,-,-,155,84,71,155,84,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,15863,8473,7390,8240,5775,2465,-,-,-,7623,2698,4925,2646,769,1877,-,-,-,-,-,-,2646,769,1877,-,-,-,-,-,-,-,-,-,-,-,-,10701,5937,4764,5802,4037,1765,-,-,-,4899,1900,2999,2188,1510,678,2110,1481,629,-,-,-,78,29,49,328,257,71,328,257,71,-,-,-,-,-,-
102學年,新竹市,52935,31742,21193,30843,20041,10802,-,-,-,22092,11701,10391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34372,19246,15126,14338,8724,5614,-,-,-,20034,10522,9512,14329,9098,5231,12429,8033,4396,-,-,-,1900,1065,835,4234,3398,836,4076,3284,792,-,-,-,158,114,44
102學年,嘉義市,19299,8297,11002,12886,6519,6367,-,-,-,6413,1778,4635,3372,427,2945,-,-,-,-,-,-,3372,427,2945,125,47,78,-,-,-,-,-,-,125,47,78,12887,6432,6455,9971,5128,4843,-,-,-,2916,1304,1612,2715,1288,1427,2715,1288,1427,-,-,-,-,-,-,200,103,97,200,103,97,-,-,-,-,-,-
102學年,金門縣,3939,2115,1824,3939,2115,1824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3724,1978,1746,3724,1978,1746,-,-,-,-,-,-,215,137,78,215,137,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,1355290,683446,671844,429913,236441,193472,7113,2987,4126,918264,444018,474246,89060,21701,67359,8851,2042,6809,-,-,-,80209,19659,60550,12364,6088,6276,1926,720,1206,-,-,-,10438,5368,5070,1038041,528515,509526,275594,147604,127990,4754,2154,2600,757693,378757,378936,183094,104219,78875,117146,67298,49848,2131,727,1404,63817,36194,27623,32731,22923,9808,26396,18777,7619,228,106,122,6107,4040,2067
101學年,新北市,159316,79615,79701,15254,5938,9316,-,-,-,144062,73677,70385,10708,3843,6865,-,-,-,-,-,-,10708,3843,6865,2103,1015,1088,-,-,-,-,-,-,2103,1015,1088,132187,67046,65141,12039,4473,7566,-,-,-,120148,62573,57575,13092,6957,6135,2988,1326,1662,-,-,-,10104,5631,4473,1226,754,472,227,139,88,-,-,-,999,615,384
101學年,臺北市,269439,128173,141266,110054,56652,53402,7113,2987,4126,152272,68534,83738,10876,3213,7663,2125,487,1638,-,-,-,8751,2726,6025,2828,1229,1599,419,134,285,-,-,-,2409,1095,1314,193690,89564,104126,61540,30073,31467,4754,2154,2600,127396,57337,70059,50140,26322,23818,35568,18992,16576,2131,727,1404,12441,6603,5838,11905,7845,4060,10402,6966,3436,228,106,122,1275,773,502
101學年,臺中市,192681,91944,100737,47796,24580,23216,-,-,-,144885,67364,77521,5330,1137,4193,3732,735,2997,-,-,-,1598,402,1196,961,337,624,655,160,495,-,-,-,306,177,129,162611,76586,86025,33316,17429,15887,-,-,-,129295,59157,70138,20798,11786,9012,8573,5144,3429,-,-,-,12225,6642,5583,2981,2098,883,1520,1112,408,-,-,-,1461,986,475
101學年,臺南市,139330,68904,70426,32296,18007,14289,-,-,-,107034,50897,56137,9194,1314,7880,1833,104,1729,-,-,-,7361,1210,6151,589,210,379,191,18,173,-,-,-,398,192,206,110814,55873,54941,16750,9528,7222,-,-,-,94064,46345,47719,15395,9037,6358,10290,5975,4315,-,-,-,5105,3062,2043,3338,2470,868,3232,2382,850,-,-,-,106,88,18
101學年,高雄市,148736,74674,74062,54204,30674,23530,-,-,-,94532,44000,50532,16281,3603,12678,709,478,231,-,-,-,15572,3125,12447,1047,707,340,-,-,-,-,-,-,1047,707,340,111056,57988,53068,38126,20821,17305,-,-,-,72930,37167,35763,17872,10674,7198,13384,7979,5405,-,-,-,4488,2695,1793,2480,1702,778,1985,1396,589,-,-,-,495,306,189
101學年,宜蘭縣,16251,8323,7928,5564,3756,1808,-,-,-,10687,4567,6120,4900,1482,3418,-,-,-,-,-,-,4900,1482,3418,142,82,60,-,-,-,-,-,-,142,82,60,9325,5626,3699,4823,3232,1591,-,-,-,4502,2394,2108,1840,1108,732,729,515,214,-,-,-,1111,593,518,44,25,19,12,9,3,-,-,-,32,16,16
101學年,桃園縣,113537,61860,51677,14540,9790,4750,-,-,-,98997,52070,46927,7637,501,7136,-,-,-,-,-,-,7637,501,7136,567,376,191,-,-,-,-,-,-,567,376,191,87567,49089,38478,7737,5064,2673,-,-,-,79830,44025,35805,15003,9778,5225,5311,3562,1749,-,-,-,9692,6216,3476,2763,2116,647,1492,1164,328,-,-,-,1271,952,319
101學年,新竹縣,18781,11151,7630,-,-,-,-,-,-,18781,11151,7630,1472,836,636,-,-,-,-,-,-,1472,836,636,272,118,154,-,-,-,-,-,-,272,118,154,16321,9653,6668,-,-,-,-,-,-,16321,9653,6668,716,544,172,-,-,-,-,-,-,716,544,172,-,-,-,-,-,-,-,-,-,-,-,-
101學年,苗栗縣,24356,12004,12352,8055,5644,2411,-,-,-,16301,6360,9941,5667,1314,4353,-,-,-,-,-,-,5667,1314,4353,948,372,576,-,-,-,-,-,-,948,372,576,17043,9898,7145,7597,5328,2269,-,-,-,9446,4570,4876,689,412,277,449,308,141,-,-,-,240,104,136,9,8,1,9,8,1,-,-,-,-,-,-
101學年,彰化縣,40013,23096,16917,8281,4259,4022,-,-,-,31732,18837,12895,-,-,-,-,-,-,-,-,-,-,-,-,144,121,23,-,-,-,-,-,-,144,121,23,33604,19616,13988,4747,2439,2308,-,-,-,28857,17177,11680,5667,2977,2690,3095,1555,1540,-,-,-,2572,1422,1150,598,382,216,439,265,174,-,-,-,159,117,42
101學年,南投縣,12315,7505,4810,5838,2940,2898,-,-,-,6477,4565,1912,1344,1017,327,-,-,-,-,-,-,1344,1017,327,2,2,-,-,-,-,-,-,-,2,2,-,8810,5264,3546,3937,1852,2085,-,-,-,4873,3412,1461,1843,1031,812,1585,897,688,-,-,-,258,134,124,316,191,125,316,191,125,-,-,-,-,-,-
101學年,雲林縣,26601,16725,9876,20128,13470,6658,-,-,-,6473,3255,3218,-,-,-,-,-,-,-,-,-,-,-,-,626,359,267,-,-,-,-,-,-,626,359,267,20998,12958,8040,15288,10145,5143,-,-,-,5710,2813,2897,4472,3043,1429,4335,2960,1375,-,-,-,137,83,54,505,365,140,505,365,140,-,-,-,-,-,-
101學年,嘉義縣,25764,14629,11135,12136,6753,5383,-,-,-,13628,7876,5752,2,2,-,-,-,-,-,-,-,2,2,-,280,188,92,-,-,-,-,-,-,280,188,92,18319,10374,7945,6624,3504,3120,-,-,-,11695,6870,4825,6404,3539,2865,4778,2741,2037,-,-,-,1626,798,828,759,526,233,734,508,226,-,-,-,25,18,7
101學年,屏東縣,45393,18975,26418,20410,9398,11012,-,-,-,24983,9577,15406,8153,1909,6244,-,-,-,-,-,-,8153,1909,6244,665,296,369,-,-,-,-,-,-,665,296,369,31802,14244,17558,16039,7094,8945,-,-,-,15763,7150,8613,4508,2349,2159,4106,2127,1979,-,-,-,402,222,180,265,177,88,265,177,88,-,-,-,-,-,-
101學年,臺東縣,5924,2991,2933,5924,2991,2933,-,-,-,-,-,-,452,238,214,452,238,214,-,-,-,-,-,-,633,389,244,633,389,244,-,-,-,-,-,-,3611,1867,1744,3611,1867,1744,-,-,-,-,-,-,1186,478,708,1186,478,708,-,-,-,-,-,-,42,19,23,42,19,23,-,-,-,-,-,-
101學年,花蓮縣,20910,10146,10764,10356,5407,4949,-,-,-,10554,4739,5815,1291,148,1143,-,-,-,-,-,-,1291,148,1143,375,209,166,-,-,-,-,-,-,375,209,166,15278,7632,7646,6976,3491,3485,-,-,-,8302,4141,4161,3484,1866,1618,3008,1672,1336,-,-,-,476,194,282,482,291,191,372,244,128,-,-,-,110,47,63
101學年,澎湖縣,3041,1584,1457,3041,1584,1457,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,19,9,28,19,9,-,-,-,-,-,-,2879,1484,1395,2879,1484,1395,-,-,-,-,-,-,134,81,53,134,81,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,16086,8452,7634,8286,5807,2479,-,-,-,7800,2645,5155,2609,752,1857,-,-,-,-,-,-,2609,752,1857,19,1,18,-,-,-,-,-,-,19,1,18,10860,5873,4987,5755,4000,1755,-,-,-,5105,1873,3232,2246,1536,710,2179,1517,662,-,-,-,67,19,48,352,290,62,352,290,62,-,-,-,-,-,-
101學年,新竹市,53604,32197,21407,31019,20196,10823,-,-,-,22585,12001,10584,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34605,19399,15206,14351,8752,5599,-,-,-,20254,10647,9607,14541,9244,5297,12384,8012,4372,-,-,-,2157,1232,925,4458,3554,904,4284,3432,852,-,-,-,174,122,52
101學年,嘉義市,19514,8480,11034,13033,6577,6456,-,-,-,6481,1903,4578,3144,392,2752,-,-,-,-,-,-,3144,392,2752,135,58,77,-,-,-,-,-,-,135,58,77,13189,6597,6592,9987,5144,4843,-,-,-,3202,1453,1749,2838,1323,1515,2838,1323,1515,-,-,-,-,-,-,208,110,98,208,110,98,-,-,-,-,-,-
101學年,金門縣,3698,2018,1680,3698,2018,1680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3472,1884,1588,3472,1884,1588,-,-,-,-,-,-,226,134,92,226,134,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,1352084,683367,668717,429808,235668,194140,7053,2945,4108,915223,444754,470469,88070,21650,66420,8606,1922,6684,-,-,-,79464,19728,59736,13230,6377,6853,2093,840,1253,-,-,-,11137,5537,5600,1032985,527456,505529,274382,146765,127617,4668,2090,2578,753935,378601,375334,184113,104188,79925,117318,66589,50729,2169,751,1418,64626,36848,27778,33686,23696,9990,27409,19552,7857,216,104,112,6061,4040,2021
100學年,新北市,158618,79704,78914,14860,5669,9191,-,-,-,143758,74035,69723,10047,3879,6168,-,-,-,-,-,-,10047,3879,6168,2179,1024,1155,-,-,-,-,-,-,2179,1024,1155,132013,66987,65026,11775,4281,7494,-,-,-,120238,62706,57532,13146,7038,6108,2876,1265,1611,-,-,-,10270,5773,4497,1233,776,457,209,123,86,-,-,-,1024,653,371
100學年,臺北市,267477,126968,140509,109902,56235,53667,7053,2945,4108,150522,67788,82734,10365,3056,7309,2150,481,1669,-,-,-,8215,2575,5640,3092,1243,1849,438,121,317,-,-,-,2654,1122,1532,191945,88753,103192,61382,30001,31381,4668,2090,2578,125895,56662,69233,49974,25917,24057,35306,18510,16796,2169,751,1418,12499,6656,5843,12101,7999,4102,10626,7122,3504,216,104,112,1259,773,486
100學年,臺中市,192144,91608,100536,47831,24477,23354,-,-,-,144313,67131,77182,6103,1267,4836,3615,692,2923,-,-,-,2488,575,1913,1107,468,639,769,259,510,-,-,-,338,209,129,160963,76052,84911,33415,17441,15974,-,-,-,127548,58611,68937,20977,11734,9243,8444,4936,3508,-,-,-,12533,6798,5735,2994,2087,907,1588,1149,439,-,-,-,1406,938,468
100學年,臺南市,139162,68430,70732,32719,18283,14436,-,-,-,106443,50147,56296,9422,1265,8157,1780,93,1687,-,-,-,7642,1172,6470,607,228,379,186,14,172,-,-,-,421,214,207,109964,55161,54803,16916,9589,7327,-,-,-,93048,45572,47476,15592,9105,6487,10366,6002,4364,-,-,-,5226,3103,2123,3577,2671,906,3471,2585,886,-,-,-,106,86,20
100學年,高雄市,148700,74961,73739,54019,30459,23560,-,-,-,94681,44502,50179,16534,3819,12715,731,480,251,-,-,-,15803,3339,12464,1165,754,411,2,1,1,-,-,-,1163,753,410,110448,58046,52402,37704,20615,17089,-,-,-,72744,37431,35313,18025,10617,7408,13551,7941,5610,-,-,-,4474,2676,1798,2528,1725,803,2031,1422,609,-,-,-,497,303,194
