學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,專科計小計,專科計男,專科計女,專科國立小計,專科國立男,專科國立女,專科直轄市立小計,專科直轄市立男,專科直轄市立女,專科私立小計,專科私立男,專科私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
103學年,雲林縣,898,696,202,697,569,128,-,-,-,201,127,74,682,554,128,587,491,96,-,-,-,95,63,32,199,131,68,103,73,30,-,-,-,96,58,38,11,8,3,6,4,2,-,-,-,5,4,1,5,3,2,1,1,-,-,-,-,4,2,2,1,-,1,-,-,-,-,-,-,1,-,1
103學年,嘉義縣,1012,710,302,546,399,147,-,-,-,466,311,155,894,638,256,525,387,138,-,-,-,369,251,118,106,61,45,19,10,9,-,-,-,87,51,36,9,8,1,2,2,-,-,-,-,7,6,1,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-
103學年,屏東縣,1476,841,635,742,491,251,-,-,-,734,350,384,961,627,334,641,433,208,-,-,-,320,194,126,453,190,263,92,54,38,-,-,-,361,136,225,56,19,37,8,3,5,-,-,-,48,16,32,5,4,1,-,-,-,-,-,-,5,4,1,1,1,-,1,1,-,-,-,-,-,-,-
103學年,臺東縣,249,167,82,249,167,82,-,-,-,-,-,-,187,130,57,187,130,57,-,-,-,-,-,-,53,31,22,53,31,22,-,-,-,-,-,-,8,5,3,8,5,3,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,1044,582,462,525,336,189,-,-,-,519,246,273,837,500,337,481,312,169,-,-,-,356,188,168,180,68,112,40,22,18,-,-,-,140,46,94,19,6,13,3,1,2,-,-,-,16,5,11,5,5,-,1,1,-,-,-,-,4,4,-,3,3,-,-,-,-,-,-,-,3,3,-
103學年,澎湖縣,118,84,34,118,84,34,-,-,-,-,-,-,93,69,24,93,69,24,-,-,-,-,-,-,22,12,10,22,12,10,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,671,465,206,426,354,72,-,-,-,245,111,134,475,380,95,383,332,51,-,-,-,92,48,44,161,69,92,29,20,9,-,-,-,132,49,83,25,6,19,14,2,12,-,-,-,11,4,7,9,9,-,-,-,-,-,-,-,9,9,-,1,1,-,-,-,-,-,-,-,1,1,-
103學年,新竹市,2237,1586,651,1549,1168,381,-,-,-,688,418,270,1941,1435,506,1458,1117,341,-,-,-,483,318,165,266,130,136,79,41,38,-,-,-,187,89,98,26,17,9,12,10,2,-,-,-,14,7,7,2,2,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,2,-
103學年,嘉義市,684,405,279,491,336,155,-,-,-,193,69,124,511,350,161,460,325,135,-,-,-,51,25,26,133,49,84,28,11,17,-,-,-,105,38,67,37,3,34,3,-,3,-,-,-,34,3,31,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-
103學年,金門縣,138,107,31,138,107,31,-,-,-,-,-,-,119,92,27,119,92,27,-,-,-,-,-,-,17,13,4,17,13,4,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,50024,32528,17496,19453,13567,5886,345,182,163,30226,18779,11447,36352,25306,11046,16606,11979,4627,225,112,113,19521,13215,6306,11421,5831,5590,2220,1218,1002,108,61,47,9093,4552,4541,1997,1185,812,570,325,245,12,9,3,1415,851,564,165,132,33,31,24,7,-,-,-,134,108,26,89,74,15,26,21,5,-,-,-,63,53,10
102學年,新北市,4981,3162,1819,549,340,209,-,-,-,4432,2822,1610,3361,2263,1098,418,260,158,-,-,-,2943,2003,940,1448,778,670,106,64,42,-,-,-,1342,714,628,145,97,48,20,11,9,-,-,-,125,86,39,20,17,3,-,-,-,-,-,-,20,17,3,7,7,-,5,5,-,-,-,-,2,2,-
102學年,臺北市,11042,7075,3967,5814,3817,1997,345,182,163,4883,3076,1807,8443,5621,2822,4948,3369,1579,225,112,113,3270,2140,1130,2096,1128,968,618,301,317,108,61,47,1370,766,604,452,289,163,220,127,93,12,9,3,220,153,67,23,15,8,12,8,4,-,-,-,11,7,4,28,22,6,16,12,4,-,-,-,12,10,2
102學年,臺中市,6485,4224,2261,1796,1203,593,-,-,-,4689,3021,1668,4860,3323,1537,1396,1001,395,-,-,-,3464,2322,1142,1369,738,631,341,176,165,-,-,-,1028,562,466,230,146,84,55,23,32,-,-,-,175,123,52,20,13,7,4,3,1,-,-,-,16,10,6,6,4,2,-,-,-,-,-,-,6,4,2
102學年,臺南市,5090,3299,1791,1744,1227,517,-,-,-,3346,2072,1274,3435,2422,1013,1456,1046,410,-,-,-,1979,1376,603,1320,646,674,174,92,82,-,-,-,1146,554,592,300,204,96,108,84,24,-,-,-,192,120,72,23,17,6,3,3,-,-,-,-,20,14,6,12,10,2,3,2,1,-,-,-,9,8,1
102學年,高雄市,5466,3524,1942,2059,1502,557,-,-,-,3407,2022,1385,3786,2695,1091,1755,1315,440,-,-,-,2031,1380,651,1343,657,686,240,156,84,-,-,-,1103,501,602,305,145,160,59,26,33,-,-,-,246,119,127,19,16,3,5,5,-,-,-,-,14,11,3,13,11,2,-,-,-,-,-,-,13,11,2
102學年,宜蘭縣,674,445,229,243,184,59,-,-,-,431,261,170,408,322,86,181,151,30,-,-,-,227,171,56,236,105,131,58,31,27,-,-,-,178,74,104,25,13,12,4,2,2,-,-,-,21,11,10,4,4,-,-,-,-,-,-,-,4,4,-,1,1,-,-,-,-,-,-,-,1,1,-
102學年,桃園縣,4183,2747,1436,761,589,172,-,-,-,3422,2158,1264,3047,2199,848,669,543,126,-,-,-,2378,1656,722,895,407,488,74,39,35,-,-,-,821,368,453,225,126,99,18,7,11,-,-,-,207,119,88,11,10,1,-,-,-,-,-,-,11,10,1,5,5,-,-,-,-,-,-,-,5,5,-
102學年,新竹縣,592,396,196,-,-,-,-,-,-,592,396,196,339,246,93,-,-,-,-,-,-,339,246,93,231,135,96,-,-,-,-,-,-,231,135,96,20,13,7,-,-,-,-,-,-,20,13,7,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,苗栗縣,810,504,306,295,229,66,-,-,-,515,275,240,435,306,129,212,173,39,-,-,-,223,133,90,335,169,166,72,48,24,-,-,-,263,121,142,32,22,10,10,7,3,-,-,-,22,15,7,7,6,1,1,1,-,-,-,-,6,5,1,1,1,-,-,-,-,-,-,-,1,1,-
102學年,彰化縣,1381,959,422,386,264,122,-,-,-,995,695,300,1052,761,291,372,259,113,-,-,-,680,502,178,288,162,126,12,5,7,-,-,-,276,157,119,31,27,4,2,-,2,-,-,-,29,27,2,6,6,-,-,-,-,-,-,-,6,6,-,4,3,1,-,-,-,-,-,-,4,3,1
102學年,南投縣,464,336,128,260,174,86,-,-,-,204,162,42,364,261,103,249,167,82,-,-,-,115,94,21,86,65,21,10,7,3,-,-,-,76,58,18,14,10,4,1,-,1,-,-,-,13,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,雲林縣,916,708,208,701,575,126,-,-,-,215,133,82,688,560,128,586,492,94,-,-,-,102,68,34,210,139,71,106,77,29,-,-,-,104,62,42,12,7,5,8,5,3,-,-,-,4,2,2,4,2,2,1,1,-,-,-,-,3,1,2,2,-,2,-,-,-,-,-,-,2,-,2
102學年,嘉義縣,1071,740,331,549,400,149,-,-,-,522,340,182,923,655,268,525,387,138,-,-,-,398,268,130,132,72,60,22,11,11,-,-,-,110,61,49,11,8,3,2,2,-,-,-,-,9,6,3,3,3,-,-,-,-,-,-,-,3,3,-,2,2,-,-,-,-,-,-,-,2,2,-
102學年,屏東縣,1613,955,658,746,497,249,-,-,-,867,458,409,1009,685,324,636,436,200,-,-,-,373,249,124,536,233,303,98,55,43,-,-,-,438,178,260,57,27,30,9,4,5,-,-,-,48,23,25,8,7,1,1,-,1,-,-,-,7,7,-,3,3,-,2,2,-,-,-,-,1,1,-
102學年,臺東縣,249,165,84,249,165,84,-,-,-,-,-,-,183,124,59,183,124,59,-,-,-,-,-,-,57,36,21,57,36,21,-,-,-,-,-,-,8,4,4,8,4,4,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,花蓮縣,1079,603,476,545,341,204,-,-,-,534,262,272,849,511,338,498,318,180,-,-,-,351,193,158,202,78,124,41,21,20,-,-,-,161,57,104,24,10,14,6,2,4,-,-,-,18,8,10,2,2,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,2,-
102學年,澎湖縣,121,83,38,121,83,38,-,-,-,-,-,-,91,67,24,91,67,24,-,-,-,-,-,-,26,13,13,26,13,13,-,-,-,-,-,-,3,2,1,3,2,1,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,680,465,215,426,352,74,-,-,-,254,113,141,480,384,96,382,331,51,-,-,-,98,53,45,166,66,100,31,17,14,-,-,-,135,49,86,27,8,19,13,4,9,-,-,-,14,4,10,6,6,-,-,-,-,-,-,-,6,6,-,1,1,-,-,-,-,-,-,-,1,1,-
102學年,新竹市,2273,1615,658,1560,1175,385,-,-,-,713,440,273,1966,1459,507,1463,1122,341,-,-,-,503,337,166,276,137,139,83,43,40,-,-,-,193,94,99,29,17,12,14,10,4,-,-,-,15,7,8,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-
102學年,嘉義市,723,424,299,518,351,167,-,-,-,205,73,132,519,355,164,472,331,141,-,-,-,47,24,23,155,57,98,37,16,21,-,-,-,118,41,77,46,9,37,9,4,5,-,-,-,37,5,32,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-
102學年,金門縣,131,99,32,131,99,32,-,-,-,-,-,-,114,87,27,114,87,27,-,-,-,-,-,-,14,10,4,14,10,4,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,50158,32757,17401,19397,13557,5840,336,177,159,30425,19023,11402,35735,25121,10614,16284,11822,4462,220,110,110,19231,13189,6042,11950,6147,5803,2393,1332,1061,104,60,44,9453,4755,4698,2219,1289,930,665,363,302,12,7,5,1542,919,623,185,143,42,35,24,11,-,-,-,150,119,31,69,57,12,20,16,4,-,-,-,49,41,8
101學年,新北市,4980,3198,1782,533,340,193,-,-,-,4447,2858,1589,3288,2256,1032,408,259,149,-,-,-,2880,1997,883,1453,783,670,98,63,35,-,-,-,1355,720,635,204,130,74,22,15,7,-,-,-,182,115,67,29,23,6,2,-,2,-,-,-,27,23,4,6,6,-,3,3,-,-,-,-,3,3,-
101學年,臺北市,11001,7095,3906,5814,3830,1984,336,177,159,4851,3088,1763,8241,5533,2708,4881,3342,1539,220,110,110,3140,2081,1059,2234,1222,1012,671,336,335,104,60,44,1459,826,633,480,307,173,239,136,103,12,7,5,229,164,65,23,16,7,10,7,3,-,-,-,13,9,4,23,17,6,13,9,4,-,-,-,10,8,2
101學年,臺中市,6524,4223,2301,1786,1190,596,-,-,-,4738,3033,1705,4776,3289,1487,1353,976,377,-,-,-,3423,2313,1110,1433,753,680,355,186,169,-,-,-,1078,567,511,283,161,122,71,23,48,-,-,-,212,138,74,28,17,11,7,5,2,-,-,-,21,12,9,4,3,1,-,-,-,-,-,-,4,3,1
101學年,臺南市,5121,3313,1808,1742,1216,526,-,-,-,3379,2097,1282,3351,2371,980,1416,1029,387,-,-,-,1935,1342,593,1420,712,708,196,95,101,-,-,-,1224,617,607,321,209,112,128,90,38,-,-,-,193,119,74,25,17,8,1,1,-,-,-,-,24,16,8,4,4,-,1,1,-,-,-,-,3,3,-
101學年,高雄市,5475,3557,1918,2073,1526,547,-,-,-,3402,2031,1371,3755,2706,1049,1738,1321,417,-,-,-,2017,1385,632,1366,674,692,260,168,92,-,-,-,1106,506,600,323,151,172,67,30,37,-,-,-,256,121,135,23,20,3,7,6,1,-,-,-,16,14,2,8,6,2,1,1,-,-,-,-,7,5,2
101學年,宜蘭縣,686,459,227,239,182,57,-,-,-,447,277,170,393,314,79,176,146,30,-,-,-,217,168,49,253,121,132,57,32,25,-,-,-,196,89,107,37,21,16,6,4,2,-,-,-,31,17,14,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-
101學年,桃園縣,4202,2766,1436,755,579,176,-,-,-,3447,2187,1260,2998,2190,808,657,531,126,-,-,-,2341,1659,682,951,430,521,80,41,39,-,-,-,871,389,482,238,132,106,18,7,11,-,-,-,220,125,95,12,11,1,-,-,-,-,-,-,12,11,1,3,3,-,-,-,-,-,-,-,3,3,-
101學年,新竹縣,614,411,203,-,-,-,-,-,-,614,411,203,358,262,96,-,-,-,-,-,-,358,262,96,232,132,100,-,-,-,-,-,-,232,132,100,22,15,7,-,-,-,-,-,-,22,15,7,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,苗栗縣,840,533,307,291,228,63,-,-,-,549,305,244,448,323,125,208,173,35,-,-,-,240,150,90,353,180,173,72,47,25,-,-,-,281,133,148,33,24,9,10,7,3,-,-,-,23,17,6,5,5,-,1,1,-,-,-,-,4,4,-,1,1,-,-,-,-,-,-,-,1,1,-
101學年,彰化縣,1357,943,414,390,259,131,-,-,-,967,684,283,1014,743,271,352,243,109,-,-,-,662,500,162,306,168,138,35,15,20,-,-,-,271,153,118,26,23,3,3,1,2,-,-,-,23,22,1,6,6,-,-,-,-,-,-,-,6,6,-,5,3,2,-,-,-,-,-,-,5,3,2
101學年,南投縣,480,348,132,274,186,88,-,-,-,206,162,44,373,271,102,254,173,81,-,-,-,119,98,21,93,68,25,18,12,6,-,-,-,75,56,19,13,8,5,2,1,1,-,-,-,11,7,4,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,雲林縣,916,713,203,699,577,122,-,-,-,217,136,81,684,562,122,581,492,89,-,-,-,103,70,33,208,140,68,101,77,24,-,-,-,107,63,44,21,10,11,16,7,9,-,-,-,5,3,2,2,1,1,1,1,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,1,-,1
101學年,嘉義縣,1075,745,330,545,402,143,-,-,-,530,343,187,932,662,270,521,388,133,-,-,-,411,274,137,132,74,58,22,12,10,-,-,-,110,62,48,6,4,2,2,2,-,-,-,-,4,2,2,2,2,-,-,-,-,-,-,-,2,2,-,3,3,-,-,-,-,-,-,-,3,3,-
101學年,屏東縣,1661,993,668,751,500,251,-,-,-,910,493,417,1017,699,318,630,433,197,-,-,-,387,266,121,571,251,320,104,59,45,-,-,-,467,192,275,64,35,29,14,6,8,-,-,-,50,29,21,6,5,1,1,-,1,-,-,-,5,5,-,3,3,-,2,2,-,-,-,-,1,1,-
101學年,臺東縣,242,161,81,242,161,81,-,-,-,-,-,-,171,116,55,171,116,55,-,-,-,-,-,-,63,40,23,63,40,23,-,-,-,-,-,-,8,5,3,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,花蓮縣,1084,611,473,536,337,199,-,-,-,548,274,274,841,509,332,493,316,177,-,-,-,348,193,155,211,84,127,38,20,18,-,-,-,173,64,109,21,9,12,4,1,3,-,-,-,17,8,9,7,5,2,1,-,1,-,-,-,6,5,1,4,4,-,-,-,-,-,-,-,4,4,-
101學年,澎湖縣,110,77,33,110,77,33,-,-,-,-,-,-,88,64,24,88,64,24,-,-,-,-,-,-,19,10,9,19,10,9,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,684,468,216,424,349,75,-,-,-,260,119,141,478,383,95,374,324,50,-,-,-,104,59,45,169,69,100,30,20,10,-,-,-,139,49,90,31,10,21,20,5,15,-,-,-,11,5,6,5,5,-,-,-,-,-,-,-,5,5,-,1,1,-,-,-,-,-,-,-,1,1,-
101學年,新竹市,2252,1612,640,1547,1164,383,-,-,-,705,448,257,1941,1451,490,1440,1105,335,-,-,-,501,346,155,275,137,138,88,45,43,-,-,-,187,92,95,32,21,11,19,14,5,-,-,-,13,7,6,2,1,1,-,-,-,-,-,-,2,1,1,2,2,-,-,-,-,-,-,-,2,2,-
101學年,嘉義市,735,438,297,527,361,166,-,-,-,208,77,131,490,338,152,445,312,133,-,-,-,45,26,19,190,87,103,68,42,26,-,-,-,122,45,77,53,11,42,13,6,7,-,-,-,40,5,35,2,2,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,金門縣,119,93,26,119,93,26,-,-,-,-,-,-,98,79,19,98,79,19,-,-,-,-,-,-,18,12,6,18,12,6,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,50332,33080,17252,19283,13498,5785,337,181,156,30712,19401,11311,35202,24943,10259,16007,11680,4327,209,105,104,18986,13158,5828,12404,6461,5943,2492,1380,1112,110,63,47,9802,5018,4784,2476,1478,998,729,395,334,18,13,5,1729,1070,659,177,137,40,35,27,8,-,-,-,142,110,32,73,61,12,20,16,4,-,-,-,53,45,8
100學年,新北市,5058,3275,1783,525,320,205,-,-,-,4533,2955,1578,3277,2250,1027,374,235,139,-,-,-,2903,2015,888,1539,859,680,117,63,54,-,-,-,1422,796,626,200,128,72,29,17,12,-,-,-,171,111,60,35,31,4,2,2,-,-,-,-,33,29,4,7,7,-,3,3,-,-,-,-,4,4,-
100學年,臺北市,10935,7073,3862,5836,3872,1964,337,181,156,4762,3020,1742,8058,5434,2624,4851,3348,1503,209,105,104,2998,1981,1017,2264,1260,1004,706,357,349,110,63,47,1448,840,608,568,346,222,256,150,106,18,13,5,294,183,111,23,17,6,9,7,2,-,-,-,14,10,4,22,16,6,14,10,4,-,-,-,8,6,2
100學年,臺中市,6578,4245,2333,1791,1185,606,-,-,-,4787,3060,1727,4661,3245,1416,1309,950,359,-,-,-,3352,2295,1057,1549,811,738,385,199,186,-,-,-,1164,612,552,334,169,165,91,33,58,-,-,-,243,136,107,30,17,13,6,3,3,-,-,-,24,14,10,4,3,1,-,-,-,-,-,-,4,3,1
100學年,臺南市,5136,3351,1785,1715,1212,503,-,-,-,3421,2139,1282,3341,2402,939,1376,1016,360,-,-,-,1965,1386,579,1429,714,715,200,101,99,-,-,-,1229,613,616,340,215,125,136,92,44,-,-,-,204,123,81,19,13,6,2,2,-,-,-,-,17,11,6,7,7,-,1,1,-,-,-,-,6,6,-
100學年,高雄市,5461,3580,1881,2070,1518,552,-,-,-,3391,2062,1329,3702,2675,1027,1706,1299,407,-,-,-,1996,1376,620,1432,719,713,286,180,106,-,-,-,1146,539,607,302,166,136,71,33,38,-,-,-,231,133,98,19,16,3,7,6,1,-,-,-,12,10,2,6,4,2,-,-,-,-,-,-,6,4,2
100學年,宜蘭縣,683,458,225,239,181,58,-,-,-,444,277,167,393,315,78,173,145,28,-,-,-,220,170,50,247,118,129,58,32,26,-,-,-,189,86,103,40,22,18,8,4,4,-,-,-,32,18,14,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-
100學年,桃園縣,4224,2814,1410,756,580,176,-,-,-,3468,2234,1234,2956,2180,776,656,531,125,-,-,-,2300,1649,651,981,448,533,79,41,38,-,-,-,902,407,495,276,176,100,21,8,13,-,-,-,255,168,87,10,9,1,-,-,-,-,-,-,10,9,1,1,1,-,-,-,-,-,-,-,1,1,-
100學年,新竹縣,634,425,209,-,-,-,-,-,-,634,425,209,357,260,97,-,-,-,-,-,-,357,260,97,251,148,103,-,-,-,-,-,-,251,148,103,25,16,9,-,-,-,-,-,-,25,16,9,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,苗栗縣,868,552,316,295,231,64,-,-,-,573,321,252,442,328,114,202,170,32,-,-,-,240,158,82,383,194,189,80,51,29,-,-,-,303,143,160,39,26,13,12,9,3,-,-,-,27,17,10,4,4,-,1,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,彰化縣,1374,970,404,389,260,129,-,-,-,985,710,275,1013,759,254,350,244,106,-,-,-,663,515,148,322,180,142,35,15,20,-,-,-,287,165,122,30,24,6,4,1,3,-,-,-,26,23,3,4,4,-,-,-,-,-,-,-,4,4,-,5,3,2,-,-,-,-,-,-,5,3,2
100學年,南投縣,493,364,129,266,184,82,-,-,-,227,180,47,375,281,94,252,176,76,-,-,-,123,105,18,105,73,32,14,8,6,-,-,-,91,65,26,12,9,3,-,-,-,-,-,-,12,9,3,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,雲林縣,909,711,198,705,586,119,-,-,-,204,125,79,673,557,116,578,495,83,-,-,-,95,62,33,211,141,70,109,82,27,-,-,-,102,59,43,20,10,10,17,8,9,-,-,-,3,2,1,4,3,1,1,1,-,-,-,-,3,2,1,1,-,1,-,-,-,-,-,-,1,-,1
100學年,嘉義縣,1084,762,322,557,412,145,-,-,-,527,350,177,902,654,248,528,396,132,-,-,-,374,258,116,166,94,72,27,14,13,-,-,-,139,80,59,10,8,2,2,2,-,-,-,-,8,6,2,2,2,-,-,-,-,-,-,-,2,2,-,4,4,-,-,-,-,-,-,-,4,4,-
100學年,屏東縣,1650,995,655,750,494,256,-,-,-,900,501,399,1005,691,314,619,422,197,-,-,-,386,269,117,558,242,316,113,63,50,-,-,-,445,179,266,77,53,24,14,6,8,-,-,-,63,47,16,6,5,1,2,1,1,-,-,-,4,4,-,4,4,-,2,2,-,-,-,-,2,2,-
100學年,臺東縣,234,156,78,234,156,78,-,-,-,-,-,-,163,110,53,163,110,53,-,-,-,-,-,-,63,40,23,63,40,23,-,-,-,-,-,-,8,6,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,花蓮縣,1169,699,470,480,295,185,-,-,-,689,404,285,840,521,319,458,286,172,-,-,-,382,235,147,240,105,135,17,8,9,-,-,-,223,97,126,76,64,12,4,1,3,-,-,-,72,63,9,8,4,4,1,-,1,-,-,-,7,4,3,5,5,-,-,-,-,-,-,-,5,5,-
100學年,澎湖縣,112,82,30,112,82,30,-,-,-,-,-,-,90,69,21,90,69,21,-,-,-,-,-,-,18,9,9,18,9,9,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,681,461,220,419,345,74,-,-,-,262,116,146,474,377,97,368,319,49,-,-,-,106,58,48,170,70,100,29,21,8,-,-,-,141,49,92,29,6,23,22,5,17,-,-,-,7,1,6,2,2,-,-,-,-,-,-,-,2,2,-,6,6,-,-,-,-,-,-,-,6,6,-
100學年,新竹市,2207,1595,612,1514,1148,366,-,-,-,693,447,246,1919,1441,478,1432,1096,336,-,-,-,487,345,142,254,133,121,63,39,24,-,-,-,191,94,97,31,19,12,18,12,6,-,-,-,13,7,6,3,2,1,1,1,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,嘉義市,740,432,308,528,357,171,-,-,-,212,75,137,477,326,151,438,305,133,-,-,-,39,21,18,205,92,113,76,46,30,-,-,-,129,46,83,56,12,44,13,5,8,-,-,-,43,7,36,2,2,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,金門縣,102,80,22,102,80,22,-,-,-,-,-,-,84,68,16,84,68,16,-,-,-,-,-,-,17,11,6,17,11,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,50684,33455,17229,19040,13363,5677,335,184,151,31309,19908,11401,34400,24633,9767,15482,11356,4126,208,108,100,18710,13169,5541,13228,6960,6268,2692,1519,1173,106,63,43,10430,5378,5052,2788,1664,1124,811,448,363,21,13,8,1956,1203,753,205,149,56,43,31,12,-,-,-,162,118,44,63,49,14,12,9,3,-,-,-,51,40,11
99學年,臺北市,10967,7142,3825,5833,3889,1944,335,184,151,4799,3069,1730,7852,5348,2504,4702,3266,1436,208,108,100,2942,1974,968,2405,1358,1047,816,433,383,106,63,43,1483,862,621,664,405,259,299,178,121,21,13,8,344,214,130,24,17,7,8,7,1,-,-,-,16,10,6,22,14,8,8,5,3,-,-,-,14,9,5
99學年,高雄市,2668,1799,869,1793,1317,476,-,-,-,875,482,393,1950,1390,560,1424,1086,338,-,-,-,526,304,222,503,275,228,271,178,93,-,-,-,232,97,135,204,125,79,87,44,43,-,-,-,117,81,36,10,8,2,10,8,2,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-
99學年,臺北縣,5027,3269,1758,509,312,197,-,-,-,4518,2957,1561,3082,2184,898,357,228,129,-,-,-,2725,1956,769,1677,912,765,120,69,51,-,-,-,1557,843,714,228,138,90,30,13,17,-,-,-,198,125,73,34,29,5,1,1,-,-,-,-,33,28,5,6,6,-,1,1,-,-,-,-,5,5,-
