學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
104學年,花蓮縣,2682,1364,1318,893,433,460,825,428,397,964,503,461,-,-,-,973,475,498,255,147,108,49,32,17,41,25,16,165,90,75,-,-,-,150,80,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,15,4,-,4,9,-,9,2,-,2,-,-,-,3,-,3,2412,1217,1195,840,401,439,775,403,372,797,413,384,-,-,-,820,395,425
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,416,153,263,125,50,75,149,54,95,142,49,93,-,-,-,151,58,93,416,153,263,125,50,75,149,54,95,142,49,93,-,-,-,151,58,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,3630,1568,2062,1215,503,712,1292,558,734,1122,507,615,1,-,1,1259,486,773,926,450,476,306,153,153,295,151,144,325,146,179,-,-,-,312,137,175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2704,1118,1586,909,350,559,997,407,590,797,361,436,1,-,1,947,349,598
104學年,嘉義市,1660,672,988,556,226,330,496,206,290,607,240,367,1,-,1,684,276,408,1295,508,787,418,151,267,419,170,249,457,187,270,1,-,1,471,193,278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,164,201,138,75,63,77,36,41,150,53,97,-,-,-,213,83,130
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,335,208,127,131,83,48,114,67,47,90,58,32,-,-,-,129,66,63,335,208,127,131,83,48,114,67,47,90,58,32,-,-,-,129,66,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,65042,31121,33921,18449,8794,9655,22018,10683,11335,24479,11569,12910,96,75,21,25399,11635,13764,27751,12940,14811,7961,3676,4285,9361,4314,5047,10387,4919,5468,42,31,11,10728,4895,5833,9956,5236,4720,3294,1750,1544,3358,1733,1625,3296,1746,1550,8,7,1,3342,1641,1701,1544,687,857,503,209,294,607,296,311,434,182,252,-,-,-,394,177,217,25791,12258,13533,6691,3159,3532,8692,4340,4352,10362,4722,5640,46,37,9,10935,4922,6013
103學年,新北市,5682,2779,2903,1835,876,959,1997,984,1013,1847,916,931,3,3,-,1728,751,977,1629,763,866,515,226,289,555,276,279,559,261,298,-,-,-,480,218,262,2195,1101,1094,849,426,423,765,381,384,580,293,287,1,1,-,535,223,312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1858,915,943,471,224,247,677,327,350,708,362,346,2,2,-,713,310,403
103學年,臺北市,5500,2706,2794,1584,845,739,1710,821,889,2198,1033,1165,8,7,1,2315,1000,1315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4054,2372,1682,1256,776,480,1327,733,594,1464,857,607,7,6,1,1490,816,674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1446,334,1112,328,69,259,383,88,295,734,176,558,1,1,-,825,184,641
103學年,臺中市,4029,1838,2191,668,291,377,1680,761,919,1681,786,895,-,-,-,1887,850,1037,1513,589,924,478,187,291,511,186,325,524,216,308,-,-,-,508,223,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,92,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2516,1249,1267,190,104,86,1169,575,594,1157,570,587,-,-,-,1169,535,634
103學年,臺南市,6636,2781,3855,2131,973,1158,2240,929,1311,2258,875,1383,7,4,3,2446,959,1487,4826,2305,2521,1584,750,834,1642,782,860,1594,769,825,6,4,2,1629,746,883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1810,476,1334,547,223,324,598,147,451,664,106,558,1,-,1,817,213,604
103學年,高雄市,6577,3335,3242,1896,967,929,2122,1135,987,2559,1233,1326,-,-,-,2657,1280,1377,236,104,132,-,-,-,-,-,-,236,104,132,-,-,-,235,98,137,3707,1763,1944,1189,548,641,1266,619,647,1252,596,656,-,-,-,1107,510,597,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2634,1468,1166,707,419,288,856,516,340,1071,533,538,-,-,-,1315,672,643
103學年,宜蘭縣,1569,742,827,508,272,236,521,241,280,538,227,311,2,2,-,525,249,276,1436,671,765,463,249,214,473,212,261,498,208,290,2,2,-,486,230,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,71,62,45,23,22,48,29,19,40,19,21,-,-,-,39,19,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,5449,3120,2329,1212,613,599,1953,1172,781,2244,1302,942,40,33,7,2214,1226,988,2159,1061,1098,631,298,333,694,336,358,834,427,407,-,-,-,802,412,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3290,2059,1231,581,315,266,1259,836,423,1410,875,535,40,33,7,1412,814,598
103學年,新竹縣,3884,1953,1931,768,373,395,1415,733,682,1701,847,854,-,-,-,1735,876,859,1628,793,835,158,74,84,735,352,383,735,367,368,-,-,-,691,317,374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2256,1160,1096,610,299,311,680,381,299,966,480,486,-,-,-,1044,559,485
103學年,苗栗縣,2247,1109,1138,694,327,367,747,383,364,806,399,407,-,-,-,1391,621,770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,598,240,358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1343,582,761,434,176,258,531,254,277,378,152,226,-,-,-,340,145,195,904,527,377,260,151,109,216,129,87,428,247,181,-,-,-,453,236,217
103學年,彰化縣,5004,2207,2797,1582,673,909,1688,767,921,1731,765,966,3,2,1,1677,738,939,3614,1618,1996,1172,508,664,1219,554,665,1220,554,666,3,2,1,1185,531,654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1390,589,801,410,165,245,469,213,256,511,211,300,-,-,-,492,207,285
103學年,南投縣,1408,643,765,293,124,169,351,148,203,760,368,392,4,3,1,746,340,406,1408,643,765,293,124,169,351,148,203,760,368,392,4,3,1,746,340,406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,1994,989,1005,664,318,346,618,308,310,707,359,348,5,4,1,723,359,364,977,523,454,316,160,156,308,164,144,348,195,153,5,4,1,341,162,179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1017,466,551,348,158,190,310,144,166,359,164,195,-,-,-,382,197,185
103學年,嘉義縣,483,264,219,160,82,78,151,84,67,172,98,74,-,-,-,221,96,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,483,264,219,160,82,78,151,84,67,172,98,74,-,-,-,221,96,125
103學年,屏東縣,1696,737,959,428,184,244,592,246,346,665,300,365,11,7,4,701,330,371,1696,737,959,428,184,244,592,246,346,665,300,365,11,7,4,701,330,371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,3575,1706,1869,1026,481,545,1211,570,641,1330,647,683,8,8,-,1279,546,733,3116,1534,1582,865,421,444,1077,516,561,1166,589,577,8,8,-,1138,503,635,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,34,8,12,10,2,17,13,4,13,11,2,-,-,-,14,13,1,417,138,279,149,50,99,117,41,76,151,47,104,-,-,-,127,30,97
103學年,花蓮縣,2913,1484,1429,869,452,417,1018,522,496,1024,510,514,2,-,2,1041,514,527,409,232,177,54,34,20,181,99,82,172,99,73,2,-,2,158,85,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,26,12,-,12,11,-,11,3,-,3,-,-,-,1,-,1,2478,1252,1226,803,418,385,826,423,403,849,411,438,-,-,-,882,429,453
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,459,173,286,157,62,95,147,51,96,155,60,95,-,-,-,156,59,97,459,173,286,157,62,95,147,51,96,155,60,95,-,-,-,156,59,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,3794,1628,2166,1358,605,753,1152,524,628,1281,497,784,3,2,1,1186,505,681,947,443,504,305,157,148,325,145,180,316,140,176,1,1,-,323,146,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2847,1185,1662,1053,448,605,827,379,448,965,357,608,2,1,1,863,359,504
103學年,嘉義市,1808,735,1073,503,210,293,613,245,368,692,280,412,-,-,-,663,278,385,1363,559,804,429,176,253,459,188,271,475,195,280,-,-,-,443,197,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,176,269,74,34,40,154,57,97,217,85,132,-,-,-,220,81,139
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,335,192,143,113,66,47,92,59,33,130,67,63,-,-,-,108,58,50,335,192,143,113,66,47,92,59,33,130,67,63,-,-,-,108,58,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,73891,35238,38653,22590,11037,11553,25099,11976,13123,26160,12192,13968,42,33,9,26197,11883,14314,31216,14659,16557,9511,4406,5105,10640,5092,5548,11034,5135,5899,31,26,5,10734,4826,5908,10348,5367,4981,3437,1785,1652,3407,1823,1584,3503,1758,1745,1,1,-,3342,1724,1618,1499,689,810,646,316,330,454,194,260,399,179,220,-,-,-,594,268,326,30828,14523,16305,8996,4530,4466,10598,4867,5731,11224,5120,6104,10,6,4,11527,5065,6462
102學年,新北市,5763,2766,2997,2075,1030,1045,1901,945,956,1787,791,996,-,-,-,1822,824,998,1627,773,854,555,275,280,571,265,306,501,233,268,-,-,-,504,234,270,1985,966,1019,810,414,396,608,309,299,567,243,324,-,-,-,605,259,346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2151,1027,1124,710,341,369,722,371,351,719,315,404,-,-,-,713,331,382
102學年,臺北市,6418,2996,3422,1747,847,900,2262,1074,1188,2408,1074,1334,1,1,-,2301,1025,1276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4420,2510,1910,1353,750,603,1501,885,616,1565,874,691,1,1,-,1410,851,559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,486,1512,394,97,297,761,189,572,843,200,643,-,-,-,891,174,717
102學年,臺中市,5254,2402,2852,1675,754,921,1693,798,895,1886,850,1036,-,-,-,1843,778,1065,1542,623,919,511,185,326,524,216,308,507,222,285,-,-,-,485,165,320,210,92,118,-,-,-,-,-,-,210,92,118,-,-,-,227,97,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3502,1687,1815,1164,569,595,1169,582,587,1169,536,633,-,-,-,1131,516,615
102學年,臺南市,7073,2851,4222,2274,958,1316,2291,893,1398,2506,998,1508,2,2,-,2736,1018,1718,4953,2359,2594,1651,789,862,1622,789,833,1678,779,899,2,2,-,1751,785,966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2120,492,1628,623,169,454,669,104,565,828,219,609,-,-,-,985,233,752
102學年,高雄市,7528,3779,3749,2175,1165,1010,2627,1283,1344,2726,1331,1395,-,-,-,2794,1397,1397,474,204,270,-,-,-,238,105,133,236,99,137,-,-,-,226,97,129,3733,1799,1934,1274,621,653,1298,629,669,1161,549,612,-,-,-,1100,517,583,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3321,1776,1545,901,544,357,1091,549,542,1329,683,646,-,-,-,1468,783,685
102學年,宜蘭縣,1683,780,903,549,254,295,569,246,323,565,280,285,-,-,-,484,228,256,1533,697,836,489,216,273,522,222,300,522,259,263,-,-,-,442,211,231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,83,67,60,38,22,47,24,23,43,21,22,-,-,-,42,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,桃園縣,6689,3912,2777,1995,1191,804,2345,1386,959,2349,1335,1014,-,-,-,2292,1257,1035,2425,1244,1181,691,325,366,885,470,415,849,449,400,-,-,-,762,370,392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4264,2668,1596,1304,866,438,1460,916,544,1500,886,614,-,-,-,1530,887,643
102學年,新竹縣,4921,2511,2410,1445,757,688,1716,859,857,1760,895,865,-,-,-,1517,756,761,2191,1061,1130,737,353,384,739,372,367,715,336,379,-,-,-,675,328,347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2730,1450,1280,708,404,304,977,487,490,1045,559,486,-,-,-,842,428,414
102學年,苗栗縣,3128,1510,1618,822,425,397,830,413,417,1476,672,804,-,-,-,1439,638,801,626,264,362,-,-,-,-,-,-,626,264,362,-,-,-,591,237,354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1291,569,722,560,265,295,390,159,231,341,145,196,-,-,-,315,135,180,1211,677,534,262,160,102,440,254,186,509,263,246,-,-,-,533,266,267
102學年,彰化縣,5149,2305,2844,1699,773,926,1754,780,974,1694,750,944,2,2,-,1676,741,935,3679,1673,2006,1236,562,674,1240,567,673,1201,542,659,2,2,-,1190,538,652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1470,632,838,463,211,252,514,213,301,493,208,285,-,-,-,486,203,283
102學年,南投縣,1913,897,1016,364,160,204,778,381,397,771,356,415,-,-,-,770,339,431,1913,897,1016,364,160,204,778,381,397,771,356,415,-,-,-,770,339,431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,雲林縣,2076,1047,1029,624,311,313,719,370,349,729,364,365,4,2,2,652,298,354,1021,539,482,314,167,147,356,203,153,347,167,180,4,2,2,300,136,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1055,508,547,310,144,166,363,167,196,382,197,185,-,-,-,352,162,190
102學年,嘉義縣,563,286,277,165,90,75,175,99,76,223,97,126,-,-,-,220,102,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,563,286,277,165,90,75,175,99,76,223,97,126,-,-,-,220,102,118
102學年,屏東縣,2039,935,1104,628,274,354,678,306,372,710,337,373,23,18,5,711,294,417,2030,930,1100,628,274,354,678,306,372,710,337,373,14,13,1,618,243,375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,9,5,4,93,51,42
102學年,臺東縣,3968,1857,2111,1255,596,659,1375,674,701,1336,586,750,2,1,1,1337,625,712,3506,1694,1812,1119,541,578,1210,620,590,1175,532,643,2,1,1,1171,567,604,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,37,7,16,13,3,14,11,3,14,13,1,-,-,-,16,15,1,418,126,292,120,42,78,151,43,108,147,41,106,-,-,-,150,43,107
102學年,花蓮縣,3226,1632,1594,1054,546,508,1074,535,539,1097,550,547,1,1,-,1032,498,534,519,289,230,162,93,69,187,104,83,169,91,78,1,1,-,163,83,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,14,10,-,10,3,-,3,1,-,1,-,-,-,-,-,-,2693,1343,1350,882,453,429,884,431,453,927,459,468,-,-,-,869,415,454
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,475,178,297,153,54,99,161,62,99,161,62,99,-,-,-,137,32,105,475,178,297,153,54,99,161,62,99,161,62,99,-,-,-,137,32,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,新竹市,3697,1580,2117,1171,535,636,1322,518,804,1203,526,677,1,1,-,1557,633,924,961,440,521,330,148,182,318,141,177,313,151,162,-,-,-,300,153,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,101,120,2736,1140,1596,841,387,454,1004,377,627,890,375,515,1,1,-,1036,379,657
102學年,嘉義市,1982,813,1169,616,245,371,696,284,412,665,280,385,5,4,1,777,351,426,1395,593,802,467,192,275,478,199,279,445,198,247,5,4,1,549,259,290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,587,220,367,149,53,96,218,85,133,220,82,138,-,-,-,228,92,136
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,346,201,145,104,72,32,133,70,63,108,58,50,1,1,-,100,49,51,346,201,145,104,72,32,133,70,63,108,58,50,1,1,-,100,49,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,79519,37392,42127,25815,12374,13441,26824,12653,14171,26857,12347,14510,23,18,5,27467,12561,14906,33601,15818,17783,10942,5267,5675,11411,5383,6028,11230,5154,6076,18,14,4,11592,5275,6317,10065,5289,4776,3291,1757,1534,3500,1805,1695,3273,1726,1547,1,1,-,3092,1573,1519,1517,678,839,497,214,283,420,192,228,600,272,328,-,-,-,628,276,352,34336,15607,18729,11085,5136,5949,11493,5273,6220,11754,5195,6559,4,3,1,12155,5437,6718
101學年,新北市,5626,2640,2986,1928,963,965,1842,830,1012,1855,846,1009,1,1,-,1898,848,1050,2020,928,1092,723,342,381,630,284,346,666,301,365,1,1,-,663,295,368,1424,672,752,481,244,237,468,214,254,475,214,261,-,-,-,445,190,255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2182,1040,1142,724,377,347,744,332,412,714,331,383,-,-,-,790,363,427
101學年,臺北市,7108,3255,3853,2284,1076,1208,2476,1119,1357,2348,1060,1288,-,-,-,2290,944,1346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4533,2657,1876,1504,884,620,1613,915,698,1416,858,558,-,-,-,1307,757,550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2575,598,1977,780,192,588,863,204,659,932,202,730,-,-,-,983,187,796
101學年,臺中市,5482,2462,3020,1708,803,905,1918,871,1047,1856,788,1068,-,-,-,1751,786,965,1528,610,918,530,218,312,512,226,286,486,166,320,-,-,-,492,199,293,449,198,251,-,-,-,216,97,119,233,101,132,-,-,-,228,102,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3505,1654,1851,1178,585,593,1190,548,642,1137,521,616,-,-,-,1031,485,546
101學年,臺南市,7664,2992,4672,2324,908,1416,2557,1033,1524,2780,1048,1732,3,3,-,2769,977,1792,5134,2414,2720,1635,794,841,1709,805,904,1787,812,975,3,3,-,1901,776,1125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2530,578,1952,689,114,575,848,228,620,993,236,757,-,-,-,868,201,667
101學年,高雄市,8329,4138,4191,2683,1326,1357,2785,1375,1410,2860,1436,1424,1,1,-,3083,1511,1572,704,305,399,238,105,133,235,99,136,231,101,130,-,-,-,221,98,123,3659,1762,1897,1306,629,677,1203,579,624,1149,553,596,1,1,-,1112,524,588,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3966,2071,1895,1139,592,547,1347,697,650,1480,782,698,-,-,-,1750,889,861
101學年,宜蘭縣,1727,832,895,614,275,339,599,305,294,513,252,261,1,-,1,504,221,283,1558,746,812,545,238,307,544,275,269,468,233,235,1,-,1,451,201,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169,86,83,69,37,32,55,30,25,45,19,26,-,-,-,53,20,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,桃園縣,7217,4131,3086,2395,1404,991,2435,1393,1042,2386,1333,1053,1,1,-,2684,1497,1187,2576,1351,1225,886,467,419,884,478,406,806,406,400,-,-,-,764,361,403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4641,2780,1861,1509,937,572,1551,915,636,1580,927,653,1,1,-,1920,1136,784
101學年,新竹縣,5094,2589,2505,1751,883,868,1794,925,869,1549,781,768,-,-,-,1491,778,713,2164,1065,1099,730,364,366,728,349,379,706,352,354,-,-,-,693,368,325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2930,1524,1406,1021,519,502,1066,576,490,843,429,414,-,-,-,798,410,388
101學年,苗栗縣,3851,1800,2051,892,448,444,1470,681,789,1489,671,818,-,-,-,1557,697,860,1269,538,731,-,-,-,632,269,363,637,269,368,-,-,-,568,221,347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1074,453,621,409,168,241,348,149,199,317,136,181,-,-,-,348,145,203,1508,809,699,483,280,203,490,263,227,535,266,269,-,-,-,641,331,310
101學年,彰化縣,5179,2309,2870,1776,796,980,1716,763,953,1687,750,937,-,-,-,1642,697,945,3666,1671,1995,1252,575,677,1214,550,664,1200,546,654,-,-,-,1160,526,634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1513,638,875,524,221,303,502,213,289,487,204,283,-,-,-,482,171,311
101學年,南投縣,2357,1108,1249,788,390,398,787,369,418,782,349,433,-,-,-,1096,526,570,2357,1108,1249,788,390,398,787,369,418,782,349,433,-,-,-,1096,526,570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
